Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56,Lap 57,Lap 58,Lap 59,Lap 60,Lap 61,Lap 62,Lap 63,Lap 64,Lap 65,Lap 66,Lap 67,Lap 68,Lap 69,Lap 70,Lap 71
alonso,1:18.154,1:12.211,1:12.052,1:11.424,1:11.403,1:11.379,1:11.555,1:11.643,1:11.645,1:11.736,1:11.727,1:11.981,1:11.730,1:11.865,1:11.808,1:11.620,1:11.550,1:11.549,1:11.550,1:11.308,1:11.566,1:11.387,1:11.274,1:10.998,1:11.441,1:11.373,1:15.012,1:27.076,1:10.717,1:10.309,1:09.788,1:09.911,1:10.449,1:10.390,1:10.461,1:10.315,1:10.042,1:10.168,1:10.088,1:10.084,1:11.059,1:10.675,1:11.511,1:10.346,1:10.237,1:10.175,1:10.278,1:09.921,1:10.031,1:10.047,1:10.097,1:10.023,1:10.531,1:11.037,1:10.604,1:10.052,1:09.762,1:10.304,1:09.837,1:10.026,1:09.749,1:09.894,1:09.801,1:10.115,1:09.903,1:10.073,1:10.003,1:09.957,1:10.678,1:10.634,
bottas,1:16.145,1:11.634,1:11.394,1:10.555,1:10.541,1:10.935,1:11.229,1:10.883,1:10.981,1:11.425,1:11.214,1:10.924,1:10.632,1:10.122,1:10.066,1:10.163,1:10.371,1:10.319,1:10.372,1:10.192,1:09.921,1:09.846,1:10.362,1:10.270,1:10.199,1:10.561,1:12.657,1:26.779,1:09.071,1:09.363,1:09.237,1:09.277,1:08.782,1:09.126,1:09.592,1:09.156,1:09.345,1:08.876,1:08.799,1:08.772,1:08.904,1:08.874,1:08.619,1:09.104,1:09.460,1:09.350,1:09.603,1:09.060,1:09.104,1:09.254,1:09.350,1:09.328,1:09.605,1:09.497,1:09.612,1:09.529,1:10.553,1:09.862,1:09.628,1:09.559,1:09.717,1:09.740,1:09.524,1:09.398,1:09.824,1:09.707,1:09.851,1:10.285,1:10.236,1:09.914,1:09.693
gasly,2:03.661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giovinazzi,1:23.170,1:13.034,1:13.004,1:11.342,1:11.994,1:11.709,1:11.600,1:12.059,1:12.268,1:11.804,1:11.377,1:11.495,1:11.689,1:11.900,1:11.700,1:11.577,1:11.371,1:12.070,1:11.711,1:11.669,1:11.644,1:12.527,1:15.053,1:27.861,1:11.172,1:10.451,1:10.374,1:10.522,1:10.295,1:10.196,1:10.306,1:10.219,1:10.133,1:10.080,1:10.250,1:11.549,1:10.040,1:11.627,1:09.723,1:09.908,1:09.866,1:09.827,1:09.922,1:09.976,1:11.260,1:10.030,1:10.171,1:10.052,1:10.044,1:10.286,1:10.069,1:09.877,1:10.037,1:10.322,1:10.718,1:10.203,1:11.176,1:11.452,1:11.769,1:10.636,1:10.305,1:11.768,1:10.508,1:12.123,1:10.256,1:10.615,1:10.514,1:10.629,1:10.427,1:10.636,
hamilton,1:13.718,1:10.511,1:10.045,1:09.945,1:09.865,1:10.428,1:09.846,1:09.921,1:09.923,1:09.752,1:10.079,1:09.795,1:09.695,1:09.693,1:10.079,1:09.938,1:09.892,1:10.212,1:10.267,1:09.866,1:09.613,1:09.877,1:09.767,1:09.904,1:10.594,1:09.635,1:10.234,1:13.529,1:25.983,1:09.066,1:09.145,1:09.287,1:08.362,1:09.132,1:08.710,1:08.477,1:08.517,1:08.764,1:08.922,1:08.792,1:08.553,1:08.482,1:08.880,1:08.633,1:09.365,1:08.764,1:08.837,1:08.888,1:08.934,1:08.701,1:09.481,1:08.992,1:09.263,1:09.180,1:09.023,1:08.969,1:09.001,1:09.424,1:09.208,1:09.394,1:09.300,1:09.587,1:09.412,1:09.383,1:10.602,1:09.787,1:09.765,1:09.454,1:13.177,1:27.391,1:07.058
latifi,1:55.792,1:33.471,1:10.589,1:10.789,1:15.037,1:11.681,1:11.794,1:11.802,1:11.483,1:13.742,1:15.167,1:11.946,1:11.941,1:11.864,1:11.565,1:11.499,1:11.690,1:11.705,1:11.525,1:11.304,1:11.363,1:11.616,1:11.808,1:11.773,1:15.151,1:28.392,1:14.562,1:14.987,1:10.534,1:10.233,1:10.426,1:10.145,1:10.197,1:10.104,1:10.324,1:11.820,1:12.193,1:11.786,1:14.913,1:10.463,1:12.257,1:10.612,1:10.621,1:10.427,1:11.953,1:11.662,1:10.556,1:10.283,1:10.426,1:10.793,1:10.500,1:10.281,1:10.477,1:10.283,1:10.266,1:10.226,1:10.643,1:11.105,1:10.967,1:10.567,1:11.038,1:11.263,1:11.147,1:10.648,1:11.569,1:11.487,1:10.363,1:10.834,,,
leclerc,1:20.376,1:34.842,1:10.361,1:10.686,1:10.429,1:10.576,1:10.567,1:10.496,1:10.584,1:10.676,1:10.626,1:11.821,1:11.135,1:10.825,1:10.789,1:10.759,1:10.952,1:11.163,1:10.900,1:10.849,1:11.216,1:10.777,1:10.880,1:10.899,1:11.015,1:10.903,1:10.916,1:11.108,1:10.968,1:10.979,1:10.946,1:11.846,1:11.664,1:10.894,1:10.985,1:11.169,1:13.991,1:26.500,1:09.344,1:09.263,1:08.833,1:09.368,1:09.196,1:09.561,1:09.047,1:09.299,1:09.457,1:09.518,1:09.411,1:09.844,1:09.968,1:10.244,1:10.368,1:09.486,1:08.874,1:09.420,1:09.130,1:09.816,1:09.089,1:08.954,1:09.010,1:08.925,1:08.871,1:08.738,1:08.880,1:08.847,1:08.969,1:08.792,1:09.356,1:08.811,
max_verstappen,1:12.767,1:10.031,1:09.834,1:09.606,1:09.666,1:09.855,1:09.872,1:09.885,1:09.747,1:09.887,1:09.901,1:09.888,1:09.747,1:09.611,1:09.713,1:09.652,1:09.737,1:09.825,1:10.014,1:09.898,1:09.585,1:09.564,1:09.760,1:09.930,1:09.940,1:09.852,1:09.852,1:10.257,1:13.454,1:25.881,1:09.041,1:09.166,1:08.992,1:08.782,1:08.670,1:08.731,1:08.711,1:08.669,1:08.792,1:08.541,1:08.594,1:08.445,1:08.761,1:08.399,1:08.523,1:08.591,1:08.459,1:08.710,1:08.942,1:08.536,1:08.728,1:08.726,1:09.170,1:08.825,1:08.695,1:08.849,1:08.787,1:08.609,1:08.809,1:08.753,1:08.742,1:09.148,1:08.881,1:08.978,1:08.841,1:08.772,1:09.282,1:08.017,1:09.167,1:09.301,1:10.579
mazepin,1:21.215,1:14.069,1:13.473,1:12.839,1:11.994,1:12.170,1:12.229,1:12.528,1:12.227,1:12.539,1:12.247,1:12.513,1:12.594,1:13.407,1:12.691,1:12.308,1:12.459,1:12.659,1:13.208,1:12.431,1:16.100,1:31.879,1:12.879,1:12.036,1:11.702,1:11.943,1:11.804,1:11.708,1:11.417,1:11.611,1:11.479,1:12.583,1:12.220,1:11.297,1:11.324,1:11.258,1:11.156,1:11.172,1:10.951,1:11.075,1:13.241,1:11.812,1:11.458,1:11.283,1:11.370,1:12.175,1:11.760,1:12.311,1:11.892,1:13.478,1:12.360,1:11.949,1:13.812,1:16.211,1:15.471,1:12.978,1:12.101,1:12.055,1:12.238,1:12.698,1:12.006,1:11.943,1:13.299,1:12.136,1:12.794,1:13.097,1:11.621,1:11.876,,,
mick_schumacher,1:21.602,1:14.258,1:14.098,1:12.273,1:12.183,1:12.279,1:12.253,1:12.493,1:12.490,1:12.627,1:12.566,1:12.518,1:13.210,1:12.524,1:12.412,1:12.431,1:12.513,1:12.272,1:13.229,1:12.366,1:12.694,1:11.455,1:13.658,1:11.861,1:14.178,1:12.830,1:11.819,1:11.673,1:11.831,1:12.755,1:11.826,1:12.703,1:14.883,1:29.635,1:10.371,1:10.394,1:10.553,1:10.997,1:10.670,1:10.759,1:10.928,1:10.804,1:10.845,1:10.807,1:11.040,1:11.217,1:11.135,1:13.216,1:12.573,1:11.058,1:12.923,1:12.727,1:10.691,1:10.169,1:10.145,1:10.175,1:10.005,1:10.211,1:10.256,1:10.485,1:12.079,1:10.078,1:10.541,1:10.549,1:10.629,1:10.175,1:10.184,1:12.874,1:13.200,,
