Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56,Lap 57,Lap 58,Lap 59,Lap 60,Lap 61,Lap 62,Lap 63,Lap 64,Lap 65,Lap 66,Lap 67,Lap 68,Lap 69,Lap 70,Lap 71
norris,1:14.772,1:11.113,1:10.768,1:10.731,1:10.642,1:10.971,1:10.987,1:11.203,1:11.146,1:12.782,1:12.985,1:11.654,1:11.209,1:11.127,1:11.010,1:11.046,1:10.832,1:10.917,1:10.733,1:10.914,1:10.858,1:10.724,1:10.789,1:10.826,1:10.907,1:10.933,1:10.865,1:10.892,1:11.096,1:11.068,1:14.670,1:29.165,1:10.958,1:10.016,1:09.733,1:09.750,1:09.737,1:09.758,1:09.795,1:09.742,1:09.915,1:10.024,1:09.761,1:10.028,1:09.986,1:09.859,1:09.334,1:09.493,1:09.778,1:09.359,1:09.427,1:09.561,1:09.285,1:11.193,1:09.613,1:09.207,1:09.206,1:09.171,1:09.315,1:09.224,1:09.334,1:09.161,1:09.057,1:09.132,1:08.903,1:09.045,1:09.175,1:09.511,1:09.318,1:09.082,
ocon,1:20.716,1:14.030,1:12.752,1:11.742,1:11.803,1:11.972,1:12.313,1:12.055,1:12.110,1:11.414,1:11.414,1:11.726,1:11.462,1:11.541,1:11.775,1:11.719,1:11.808,1:11.915,1:11.750,1:11.390,1:11.460,1:11.428,1:11.343,1:12.535,1:11.288,1:11.499,1:11.312,1:12.407,1:11.156,1:10.967,1:10.919,1:10.810,1:11.091,1:11.153,1:11.096,1:14.260,1:26.363,1:09.756,1:09.698,1:09.787,1:09.688,1:10.079,1:09.960,1:09.840,1:09.598,1:10.177,1:10.045,1:09.990,1:09.985,1:09.947,1:09.880,1:10.085,1:11.492,1:11.675,1:10.158,1:10.359,1:09.767,1:09.922,1:10.298,1:10.399,1:09.992,1:10.107,1:09.960,1:09.805,1:09.772,1:10.001,1:11.088,1:09.832,1:09.747,1:09.576,
perez,1:15.588,1:11.136,1:10.891,1:10.517,1:10.836,1:10.817,1:10.913,1:11.295,1:11.141,1:10.776,1:10.726,1:10.271,1:10.063,1:10.234,1:10.063,1:10.249,1:10.229,1:10.207,1:10.349,1:10.454,1:10.355,1:10.218,1:10.179,1:10.598,1:10.804,1:15.077,1:28.279,1:09.651,1:09.602,1:09.619,1:09.667,1:09.197,1:09.593,1:09.174,1:09.284,1:09.113,1:09.029,1:08.822,1:09.009,1:08.942,1:08.866,1:08.702,1:08.812,1:08.860,1:08.926,1:09.181,1:09.168,1:09.195,1:09.081,1:09.227,1:09.394,1:09.441,1:09.565,1:13.230,1:24.482,1:08.049,1:07.894,1:08.203,1:08.492,1:08.567,1:09.342,1:07.987,1:08.741,1:08.517,1:09.323,1:08.583,1:08.940,1:08.282,1:08.585,1:08.885,1:08.872
raikkonen,1:20.271,1:13.895,1:12.626,1:11.665,1:12.003,1:11.790,1:11.965,1:11.785,1:11.895,1:11.345,1:11.216,1:11.590,1:11.394,1:11.456,1:11.545,1:11.857,1:11.763,1:11.660,1:11.772,1:11.467,1:11.470,1:11.349,1:11.038,1:11.394,1:11.261,1:11.559,1:11.112,1:11.173,1:11.054,1:11.206,1:10.867,1:12.440,1:11.203,1:10.703,1:10.851,1:14.571,1:27.223,1:10.489,1:09.826,1:09.496,1:10.745,1:10.342,1:10.054,1:09.921,1:09.811,1:10.047,1:10.049,1:10.051,1:09.923,1:10.008,1:09.724,1:09.934,1:09.976,1:10.010,1:10.121,1:09.872,1:09.128,1:09.604,1:09.987,1:10.083,1:10.054,1:09.930,1:09.552,1:09.813,1:10.153,1:10.365,1:09.250,1:09.984,1:09.956,1:09.516,
ricciardo,1:19.085,1:12.863,1:12.114,1:11.919,1:11.310,1:11.518,1:16.008,1:11.900,1:11.895,1:11.472,1:11.282,1:11.782,1:11.456,1:11.350,1:11.564,1:11.478,1:11.994,1:11.761,1:11.825,1:11.348,1:11.478,1:11.518,1:10.943,1:11.606,1:11.110,1:11.111,1:11.237,1:11.026,1:11.180,1:11.174,1:11.064,1:11.911,1:11.518,1:10.957,1:10.943,1:11.081,1:10.519,1:10.263,1:10.456,1:10.842,1:14.260,1:28.262,1:09.998,1:09.721,1:09.305,1:09.600,1:09.665,1:09.505,1:10.046,1:09.846,1:09.527,1:09.950,1:09.662,1:10.057,1:09.793,1:09.804,1:10.038,1:09.305,1:09.853,1:10.241,1:09.538,1:09.620,1:09.567,1:09.751,1:10.558,1:11.289,1:10.322,1:10.173,1:11.922,1:10.467,
russell,1:18.529,1:12.909,1:12.054,1:11.764,1:11.423,1:11.489,1:11.805,1:11.541,1:11.669,1:11.423,1:11.757,1:11.890,1:11.657,1:11.555,1:11.614,1:11.543,1:12.000,1:11.821,1:11.565,1:11.471,1:11.189,1:11.204,1:11.145,1:11.228,1:14.570,1:46.305,1:52.255,1:10.499,1:10.596,1:10.736,1:11.425,1:11.512,1:11.009,1:10.878,1:11.073,1:18.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sainz,1:19.536,1:13.640,1:12.358,1:11.914,1:11.698,1:11.498,1:12.116,1:11.252,1:11.558,1:11.416,1:11.406,1:11.571,1:11.756,1:11.448,1:11.868,1:11.523,1:11.869,1:11.551,1:11.828,1:11.518,1:11.277,1:11.138,1:11.210,1:11.182,1:11.581,1:11.780,1:10.371,1:10.609,1:10.080,1:09.977,1:09.948,1:09.716,1:09.911,1:09.830,1:10.020,1:09.996,1:10.107,1:10.073,1:10.109,1:10.256,1:14.124,1:26.680,1:09.583,1:09.084,1:11.303,1:09.384,1:09.365,1:09.154,1:09.091,1:09.262,1:09.311,1:09.156,1:08.636,1:08.943,1:09.113,1:08.849,1:08.945,1:09.028,1:09.427,1:09.256,1:09.255,1:09.476,1:09.181,1:08.609,1:09.184,1:09.010,1:09.102,1:08.928,1:08.956,1:09.353,
stroll,1:17.559,1:11.745,1:11.486,1:11.308,1:11.206,1:11.251,1:11.650,1:11.553,1:11.460,1:11.384,1:11.903,1:12.322,1:11.908,1:11.806,1:11.643,1:11.567,1:11.614,1:11.649,1:11.636,1:11.450,1:11.568,1:11.401,1:11.322,1:11.247,1:11.355,1:11.669,1:11.505,1:14.631,1:26.477,1:10.409,1:10.188,1:09.787,1:10.153,1:10.300,1:10.510,1:10.262,1:09.881,1:10.248,1:09.966,1:10.056,1:10.065,1:11.535,1:09.811,1:12.188,1:10.361,1:10.108,1:10.107,1:10.085,1:10.391,1:09.959,1:10.126,1:10.235,1:10.050,1:10.265,1:09.911,1:09.903,1:09.877,1:09.986,1:11.090,1:10.365,1:09.907,1:09.853,1:09.942,1:09.922,1:09.952,1:10.124,1:10.080,1:10.050,1:11.845,1:09.993,
tsunoda,1:19.228,1:13.388,1:12.095,1:11.987,1:11.674,1:11.431,1:11.304,1:11.602,1:11.617,1:11.426,1:11.486,1:11.822,1:11.630,1:11.614,1:11.719,1:11.635,1:11.818,1:11.723,1:11.753,1:11.495,1:11.247,1:11.220,1:11.060,1:11.442,1:11.554,1:14.591,1:26.992,1:10.925,1:10.719,1:10.478,1:10.192,1:10.102,1:10.306,1:10.021,1:09.948,1:10.171,1:10.258,1:10.007,1:10.015,1:11.729,1:09.650,1:11.564,1:10.268,1:10.395,1:10.029,1:10.095,1:10.636,1:10.046,1:10.144,1:10.033,1:10.161,1:10.195,1:10.420,1:11.456,1:10.333,1:10.249,1:09.873,1:09.931,1:09.901,1:09.842,1:09.877,1:09.978,1:09.968,1:09.762,1:09.806,1:10.069,1:09.791,1:09.821,1:10.426,1:10.631,
vettel,1:19.760,1:13.886,1:12.430,1:11.809,1:11.844,1:11.749,1:12.105,1:11.539,1:11.845,1:11.210,1:11.315,1:11.542,1:11.469,1:11.449,1:11.748,1:11.814,1:11.961,1:11.494,1:11.681,1:11.218,1:11.436,1:11.305,1:11.133,1:11.319,1:11.542,1:11.745,1:14.363,1:26.773,1:09.978,1:10.233,1:10.344,1:10.480,1:10.396,1:10.064,1:09.921,1:10.299,1:10.120,1:10.173,1:11.380,1:10.113,1:11.538,1:10.205,1:10.033,1:10.202,1:10.028,1:10.083,1:10.193,1:10.121,1:11.225,1:10.648,1:10.202,1:10.053,1:10.165,1:10.158,1:10.690,1:10.344,1:09.983,1:09.936,1:10.103,1:10.199,1:10.120,1:10.307,1:09.946,1:09.821,1:10.068,1:10.273,1:11.239,1:10.913,1:12.548,1:09.881,
