Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56,Lap 57,Lap 58,Lap 59,Lap 60,Lap 61,Lap 62,Lap 63,Lap 64,Lap 65,Lap 66,Lap 67,Lap 68,Lap 69,Lap 70,Lap 71
alonso,2:04.519,2:12.938,2:06.512,1:53.425,1:24.482,1:24.699,1:25.095,1:24.180,1:24.340,1:23.512,1:23.340,1:23.128,1:23.068,1:23.046,1:22.840,1:22.759,1:22.508,1:22.249,1:22.384,1:22.597,1:22.677,1:22.587,1:22.726,1:22.531,1:22.565,1:22.288,1:22.092,1:22.637,1:22.382,1:22.720,1:22.507,1:23.832,1:21.843,1:21.940,1:22.123,1:21.991,1:22.348,1:22.147,1:25.985,1:41.483,1:21.093,1:21.878,1:20.935,1:21.026,1:21.501,1:21.530,1:21.839,1:23.159,1:21.197,1:21.160,1:20.814,1:20.863,1:20.888,1:20.711,1:21.062,1:21.165,1:21.542,1:21.360,1:21.061,1:21.331,1:21.259,1:21.027,1:21.201,1:24.494,1:21.222,1:20.936,1:20.975,1:20.836,1:20.841,1:20.844,
bottas,2:14.035,2:13.728,2:06.091,1:46.596,1:28.582,1:24.490,1:24.597,1:24.159,1:24.930,1:25.882,1:25.858,1:24.191,1:23.715,1:23.201,1:23.181,1:22.954,1:23.342,1:23.035,1:23.734,1:23.658,1:22.769,1:23.117,1:23.338,1:23.160,1:23.951,1:23.000,1:23.878,1:23.691,1:22.748,1:22.828,1:22.153,1:23.215,1:22.943,1:22.624,1:22.554,1:21.846,1:21.870,1:23.676,1:21.125,1:24.441,1:52.388,1:20.199,1:20.213,1:20.049,1:20.747,1:19.761,1:20.514,1:20.952,1:21.260,1:20.545,1:21.314,1:21.848,1:22.228,1:22.038,1:21.488,1:21.829,1:22.037,1:21.990,1:23.225,1:23.797,1:22.889,1:22.045,1:23.135,1:42.702,1:19.829,1:19.941,1:27.069,1:49.327,1:17.774,,
gasly,1:49.377,2:11.585,2:06.479,2:04.978,1:23.821,1:22.924,1:22.552,1:22.722,1:22.245,1:22.099,1:21.772,1:22.282,1:22.171,1:22.243,1:22.103,1:22.291,1:22.304,1:21.835,1:21.948,1:22.048,1:22.067,1:22.477,1:22.512,1:22.708,1:22.255,1:22.126,1:21.946,1:22.243,1:22.633,1:22.027,1:25.268,1:40.943,1:20.590,1:20.944,1:20.916,1:21.134,1:21.436,1:21.561,1:21.304,1:21.428,1:21.075,1:21.070,1:21.022,1:21.454,1:20.967,1:21.230,1:21.345,1:21.491,1:21.651,1:21.875,1:20.999,1:21.123,1:20.974,1:20.943,1:20.902,1:20.992,1:20.760,1:20.796,1:21.321,1:22.111,1:21.335,1:20.920,1:21.109,1:21.105,1:20.899,1:20.510,1:20.758,1:20.640,1:20.892,1:20.878,1:21.487
giovinazzi,1:53.070,2:12.779,2:04.534,2:03.307,1:25.306,1:24.034,1:23.690,1:23.404,1:23.016,1:23.049,1:23.015,1:23.012,1:23.269,1:23.226,1:23.070,1:26.592,1:42.892,1:22.758,1:23.541,1:23.639,1:23.369,1:23.161,1:23.473,1:23.463,1:23.451,1:23.378,1:23.413,1:23.754,1:23.231,1:24.860,1:22.988,1:22.696,1:22.946,1:22.415,1:22.595,1:22.547,1:22.609,1:24.758,1:24.100,1:22.557,1:22.301,1:21.974,1:22.169,1:23.752,1:22.160,1:22.599,1:24.172,1:22.539,1:22.348,1:22.042,1:21.998,1:21.925,1:21.978,1:21.883,1:21.922,1:22.007,1:21.905,1:21.827,1:21.938,1:21.744,1:21.826,1:21.681,1:21.703,1:22.017,1:21.732,1:21.586,1:21.669,1:21.523,1:21.692,1:22.506,
hamilton,1:46.593,2:11.403,2:06.513,2:06.587,1:22.545,1:22.254,1:21.947,1:21.735,1:21.520,1:21.105,1:21.141,1:21.261,1:21.985,1:21.981,1:21.575,1:21.526,1:21.274,1:21.203,1:21.619,1:22.030,1:21.387,1:21.930,1:21.627,1:21.398,1:21.430,1:21.846,1:21.394,1:21.595,1:25.054,1:41.412,1:19.953,1:20.218,1:20.456,1:20.526,1:20.527,1:20.312,1:20.542,1:21.570,1:20.944,1:20.209,1:20.378,1:20.412,1:20.209,1:20.965,1:19.834,1:20.683,1:20.970,1:20.419,1:20.672,1:20.461,1:20.111,1:20.224,1:20.130,1:20.628,1:20.281,1:20.577,1:21.141,1:20.427,1:20.727,1:20.749,1:20.961,1:20.220,1:19.981,1:20.330,1:20.320,1:19.820,1:20.127,1:20.430,1:20.236,1:20.319,1:20.772
latifi,2:05.882,2:13.925,2:05.761,1:52.508,1:26.310,1:24.715,1:25.014,1:24.823,1:25.663,1:26.788,1:29.274,1:42.777,1:26.423,1:23.775,1:23.655,1:23.662,1:23.529,1:23.504,1:25.335,1:23.837,1:25.337,1:25.514,1:23.893,1:23.678,1:23.897,1:23.494,1:23.281,1:23.193,1:25.862,1:24.803,1:25.286,1:23.358,1:23.132,1:23.439,1:23.082,1:23.002,1:26.576,1:25.313,1:23.031,1:22.974,1:22.954,1:24.058,1:23.281,1:22.981,1:23.100,1:25.266,1:25.860,1:24.002,1:26.713,1:41.487,1:21.607,1:22.244,1:21.645,1:21.631,1:21.713,1:21.625,1:21.575,1:21.867,1:22.320,1:21.974,1:21.700,1:21.695,1:21.624,1:21.568,1:21.677,1:21.546,1:21.550,1:22.126,1:21.682,,
leclerc,1:50.713,2:13.504,2:04.991,2:03.704,1:24.225,1:23.510,1:23.144,1:23.369,1:22.526,1:22.402,1:22.200,1:22.288,1:22.502,1:22.383,1:22.029,1:22.187,1:22.077,1:22.212,1:22.280,1:22.193,1:22.147,1:21.994,1:22.143,1:22.314,1:22.655,1:22.426,1:21.903,1:21.884,1:21.941,1:25.742,1:40.475,1:21.048,1:21.269,1:21.116,1:21.263,1:21.188,1:21.970,1:21.571,1:21.405,1:21.373,1:21.043,1:21.301,1:21.071,1:21.730,1:21.448,1:21.595,1:21.613,1:22.013,1:21.627,1:21.918,1:21.508,1:22.030,1:22.188,1:22.025,1:21.215,1:21.612,1:23.770,1:21.404,1:21.278,1:21.342,1:21.689,1:20.936,1:20.665,1:21.098,1:21.196,1:21.193,1:21.035,1:21.111,1:21.285,1:21.478,1:22.440
max_verstappen,1:44.815,2:11.572,2:06.284,2:07.504,1:21.615,1:21.635,1:21.622,1:21.520,1:21.051,1:21.144,1:20.958,1:21.014,1:21.209,1:21.158,1:21.100,1:21.026,1:21.447,1:21.600,1:20.685,1:21.126,1:21.231,1:21.316,1:21.417,1:21.759,1:21.457,1:21.491,1:21.267,1:21.203,1:21.029,1:21.328,1:21.981,1:21.223,1:24.863,1:38.828,1:21.003,1:20.266,1:20.261,1:20.083,1:20.340,1:20.200,1:20.069,1:20.025,1:19.989,1:20.356,1:19.846,1:20.180,1:20.211,1:20.557,1:19.921,1:20.877,1:20.406,1:18.999,1:20.231,1:20.045,1:20.078,1:19.988,1:20.039,1:19.839,1:20.249,1:20.413,1:20.287,1:20.340,1:19.825,1:19.704,1:19.210,1:20.303,1:23.083,1:21.109,1:19.360,1:20.414,1:20.502
mazepin,2:02.852,2:13.765,2:06.290,1:54.272,1:26.483,1:24.468,1:24.794,1:24.931,1:24.575,1:24.640,1:26.125,1:27.389,1:28.452,1:47.051,1:24.046,1:23.950,1:23.595,1:25.023,1:24.291,1:27.683,1:24.818,1:24.593,1:24.146,1:26.295,1:27.684,1:24.150,1:23.815,1:24.640,1:24.173,1:26.041,1:27.601,1:25.428,1:23.857,1:25.612,1:23.704,1:25.886,1:25.706,1:23.889,1:23.303,1:23.590,1:24.919,1:23.765,1:25.515,1:24.263,1:26.742,1:23.851,1:24.914,1:27.144,1:24.883,1:23.914,1:25.839,1:23.914,1:26.870,1:24.483,1:24.033,1:27.951,1:25.761,1:28.202,1:44.484,1:22.469,1:21.402,1:22.079,1:22.487,1:22.172,1:22.449,1:22.458,1:23.050,1:22.784,,,
norris,2:09.119,2:14.433,2:06.894,1:48.618,1:25.845,1:24.996,1:25.009,1:24.583,1:23.954,1:24.142,1:23.465,1:23.464,1:23.449,1:24.378,1:22.701,1:22.972,1:22.795,1:22.749,1:22.582,1:22.714,1:22.613,1:22.557,1:22.601,1:22.520,1:22.569,1:22.349,1:22.281,1:22.351,1:22.463,1:22.435,1:22.300,1:22.228,1:22.296,1:22.374,1:21.961,1:22.009,1:22.332,1:21.990,1:22.082,1:22.170,1:22.140,1:21.910,1:21.920,1:25.402,1:40.837,1:20.803,1:21.003,1:21.067,1:21.033,1:20.880,1:21.129,1:20.860,1:20.806,1:20.840,1:21.033,1:20.904,1:20.964,1:20.791,1:20.825,1:21.306,1:24.415,1:21.137,1:20.906,1:21.279,1:20.925,1:21.234,1:20.617,1:21.143,1:20.784,1:21.076,
