Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50
norris,1:40.157,1:35.867,1:35.600,1:35.385,1:35.346,1:35.333,1:35.547,1:35.314,1:35.794,2:06.861,2:57.625,2:44.073,3:06.378,19:59.791,3:34.915,21:47.962,2:01.196,1:37.185,1:36.056,1:35.193,1:35.504,1:34.775,1:57.055,1:47.080,1:36.035,1:36.317,1:50.818,1:32.998,2:02.122,2:07.591,2:07.594,1:54.679,1:32.933,1:32.828,1:50.999,1:33.675,1:33.149,1:32.502,1:32.305,1:32.135,1:32.443,1:32.602,1:32.002,1:32.345,1:32.198,1:32.035,1:32.028,1:32.263,1:31.914,1:31.974
ocon,1:41.170,1:36.208,1:35.655,1:35.587,1:35.327,1:35.374,1:35.468,1:35.277,1:35.242,2:05.014,2:38.831,2:48.154,2:56.663,19:54.256,3:26.892,21:35.166,2:44.267,1:35.131,1:33.886,1:33.702,1:33.580,1:33.649,1:46.410,1:53.191,1:33.097,1:33.117,1:38.862,1:39.141,1:51.215,2:07.399,2:07.097,2:06.209,1:34.864,1:33.659,1:40.211,1:38.191,1:32.600,1:32.667,1:32.526,1:32.838,1:32.598,1:32.555,1:32.547,1:32.562,1:32.243,1:32.412,1:31.797,1:32.534,1:32.487,1:33.223
perez,1:39.056,1:35.303,1:34.461,1:34.474,1:34.356,1:34.171,1:35.151,1:34.421,1:34.138,2:05.840,2:56.055,2:46.473,3:00.851,19:57.659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raikkonen,1:44.906,1:38.815,1:36.194,1:36.074,1:36.009,1:36.009,1:35.535,1:36.066,1:35.288,2:09.976,2:39.099,2:46.631,3:03.504,19:59.343,3:28.633,21:45.960,2:13.924,1:37.081,1:35.674,1:35.361,1:34.936,1:34.281,1:57.410,1:47.877,1:35.026,1:51.330,2:19.182,1:45.064,2:06.890,2:07.224,2:05.720,1:44.660,1:33.988,1:33.559,1:46.273,1:33.082,1:34.075,1:33.511,1:34.042,1:34.309,1:35.527,1:33.597,1:34.183,1:32.892,1:32.778,1:37.705,1:34.670,1:35.530,1:34.075,
ricciardo,1:42.224,1:37.187,1:35.879,1:35.324,1:35.382,1:34.918,1:35.553,1:35.081,1:34.915,2:04.764,2:39.350,2:48.915,2:59.302,19:53.150,3:30.743,21:42.823,2:30.837,1:34.564,1:33.987,1:33.589,1:33.964,1:33.505,1:45.604,1:53.522,1:33.484,1:33.496,1:40.828,1:37.306,1:52.454,2:07.251,2:06.995,2:06.925,1:33.471,1:33.443,1:39.221,1:37.947,1:33.337,1:34.017,1:34.680,1:34.573,1:33.247,1:33.124,1:32.716,1:32.978,1:32.957,1:32.788,1:32.777,1:32.892,1:33.100,1:34.150
russell,1:46.800,1:39.616,1:37.844,1:37.524,1:36.668,1:36.152,1:36.130,1:36.160,1:42.388,2:20.006,2:26.698,2:43.823,3:14.010,19:54.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sainz,1:44.856,1:37.854,1:36.003,1:35.619,1:35.145,1:35.029,1:36.543,1:35.355,1:34.932,2:06.526,2:40.983,2:46.182,3:00.919,19:57.796,3:28.704,21:45.516,2:22.900,1:36.253,1:35.356,1:34.916,1:34.493,1:33.969,1:54.738,1:51.082,1:33.311,1:33.014,1:48.286,1:33.043,1:58.045,2:08.736,2:08.169,1:58.478,1:32.814,1:32.292,1:46.186,1:33.549,1:31.851,1:32.194,1:32.209,1:32.348,1:32.086,1:32.287,1:32.125,1:32.012,1:32.041,1:31.935,1:32.313,1:32.411,1:32.896,1:35.424
stroll,1:46.177,1:39.250,1:39.266,1:35.852,1:36.551,1:35.825,1:35.818,1:35.907,1:42.354,2:27.675,2:22.383,2:44.326,3:24.891,19:45.303,3:19.187,21:45.112,2:05.491,1:37.049,1:35.575,1:35.120,1:34.766,1:34.699,1:55.617,1:49.205,1:34.708,1:34.727,1:50.281,1:35.382,2:03.542,2:04.984,2:06.640,1:58.181,1:34.041,1:33.569,1:50.932,1:33.966,1:35.178,1:33.365,1:33.650,1:33.381,1:33.329,1:33.223,1:33.075,1:33.704,1:32.804,1:33.359,1:33.483,1:33.018,1:32.844,1:33.565
tsunoda,1:44.425,1:37.397,1:36.504,1:37.094,1:35.827,1:35.405,1:35.847,1:35.720,1:35.805,2:08.549,2:39.700,2:45.032,3:02.949,19:57.906,3:36.141,21:45.885,2:09.430,1:36.474,1:35.041,1:34.744,1:34.592,1:33.928,2:46.858,2:01.649,1:34.173,1:40.268,1:44.139,1:47.750,2:06.496,2:07.974,2:05.914,1:37.981,1:33.208,1:33.095,1:44.602,1:32.542,1:32.869,1:32.814,1:32.964,1:32.955,1:32.843,1:32.633,1:32.930,1:32.506,1:33.021,1:32.676,1:32.593,1:33.621,1:32.930,
vettel,1:45.422,1:39.283,1:36.568,1:36.236,1:36.005,1:36.067,1:35.685,1:35.665,1:37.402,2:07.238,2:41.126,2:44.852,3:04.929,20:00.770,3:20.719,21:45.577,2:16.045,1:35.872,1:35.046,1:34.457,1:34.592,1:34.389,2:02.002,1:47.953,1:35.286,1:43.635,1:54.364,1:35.397,2:05.773,2:06.515,2:07.101,1:51.300,1:34.903,1:35.678,1:49.652,1:34.370,1:34.426,1:34.189,1:34.205,1:34.445,1:34.030,1:34.180,1:34.954,1:41.485,,,,,,
