Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56
norris,1:48.365,1:44.746,1:43.728,1:42.990,1:43.297,1:43.399,1:43.063,1:44.775,1:43.888,1:43.368,2:00.686,1:42.244,1:42.419,1:42.984,1:41.986,1:42.375,1:42.021,1:41.803,1:41.577,1:41.828,1:41.972,1:41.811,1:41.400,1:41.515,1:43.332,1:42.000,1:50.136,1:42.317,1:42.453,1:43.499,2:03.844,1:41.524,1:41.184,1:40.948,1:41.426,1:41.316,1:40.498,1:40.735,1:40.631,1:40.275,1:40.228,1:40.442,1:40.405,1:40.738,1:40.634,1:40.448,1:40.853,1:40.876,1:41.000,1:40.983,1:41.434,1:41.119,1:41.381,1:41.713,1:42.035,1:42.300
ocon,1:51.703,1:47.036,1:45.117,2:19.657,1:43.728,1:45.194,1:44.221,1:43.816,1:43.610,1:43.365,1:43.478,1:44.096,1:43.225,1:43.427,1:43.854,1:43.967,1:43.598,1:44.415,1:44.169,1:44.441,1:44.775,1:44.430,1:44.498,1:44.096,1:46.417,2:12.872,1:44.363,1:42.194,1:42.448,1:42.427,1:42.714,1:42.599,1:43.075,1:43.903,1:42.623,1:42.401,1:42.705,1:44.403,1:42.425,2:05.186,,,,,,,,,,,,,,,,
perez,1:44.121,1:42.284,1:41.373,1:41.388,1:41.604,1:42.040,1:41.608,1:42.247,1:42.181,1:42.049,1:42.269,1:43.229,2:01.373,1:40.287,1:40.889,1:41.070,1:41.032,1:40.812,1:40.949,1:41.116,1:41.327,1:40.993,1:41.468,1:41.442,1:41.784,1:41.622,1:48.071,1:46.295,1:41.519,1:44.262,2:00.031,1:39.566,1:40.025,1:41.176,1:40.182,1:40.434,1:39.981,1:40.268,1:40.488,1:40.563,1:40.671,1:41.319,1:40.754,1:40.390,1:41.123,1:40.296,1:40.044,1:40.512,1:40.625,1:40.867,1:40.874,1:40.644,1:41.887,1:40.717,1:41.296,1:41.338
raikkonen,1:51.046,1:47.155,1:45.068,1:44.708,1:44.330,1:44.269,1:44.314,1:44.192,1:43.134,1:43.749,1:42.973,1:43.712,2:02.425,1:43.301,1:43.525,1:43.605,1:43.463,1:43.239,1:41.958,1:42.757,1:43.085,1:42.824,1:42.439,1:42.342,1:42.685,1:42.594,1:52.415,1:42.373,1:42.658,1:43.484,1:43.887,2:02.846,1:42.505,1:42.636,1:42.012,1:41.583,1:41.622,1:41.688,1:41.692,1:41.585,1:43.477,1:43.828,1:41.340,1:41.662,1:41.608,1:41.537,1:41.762,1:41.699,1:41.798,1:42.041,1:41.970,1:54.741,1:47.316,1:44.323,1:48.214,
ricciardo,1:46.819,1:43.222,1:42.958,1:43.120,1:43.158,1:43.193,1:43.189,1:43.337,1:43.137,1:42.696,1:43.576,2:01.477,1:42.161,1:41.928,1:42.067,1:42.514,1:42.136,1:42.082,1:41.712,1:41.570,1:42.034,1:42.066,1:41.626,1:41.861,1:42.241,1:42.420,1:50.799,1:41.659,1:41.671,1:41.874,2:01.159,1:41.824,1:41.318,1:41.309,1:41.647,1:40.810,1:41.020,1:41.088,1:41.315,1:40.706,1:40.491,1:41.492,1:40.345,1:40.420,1:40.603,1:40.710,1:40.774,1:41.284,1:40.919,1:41.443,1:41.118,1:41.203,1:41.621,1:41.447,1:41.036,1:42.001
russell,1:52.586,1:46.652,1:46.087,1:44.340,1:44.108,1:44.695,1:44.401,1:44.608,1:45.120,2:00.961,1:42.649,1:43.064,1:43.993,1:43.719,1:43.716,1:44.142,1:43.723,1:43.523,1:43.549,1:43.845,1:44.368,1:43.726,1:43.665,1:44.190,1:44.917,1:44.819,1:52.520,1:43.873,1:45.184,1:44.184,1:46.447,2:02.344,1:41.877,1:41.790,1:41.972,1:41.120,1:41.936,1:42.011,1:41.571,1:42.221,1:44.771,1:42.371,1:42.028,1:41.691,1:41.559,1:42.903,1:41.930,1:41.709,1:41.996,1:42.592,1:42.059,1:42.305,1:43.350,1:42.804,1:43.467,
sainz,1:47.574,1:44.017,1:43.655,1:43.116,1:43.126,1:43.167,1:43.021,1:45.682,1:42.646,1:42.900,1:42.767,2:00.995,1:41.894,1:41.943,1:42.107,1:42.141,1:41.794,1:41.468,1:41.520,1:41.542,1:42.084,1:42.077,1:41.536,1:42.365,1:42.372,1:42.356,1:50.541,1:41.767,1:42.079,2:03.446,1:41.436,1:41.407,1:40.594,1:41.100,1:41.315,1:40.816,1:40.517,1:40.931,1:41.056,1:40.377,1:40.709,1:41.257,1:40.542,1:40.892,1:40.961,1:40.851,1:40.795,1:41.350,1:41.347,1:41.114,1:41.237,1:41.941,1:41.880,1:42.690,1:42.834,1:42.450
stroll,1:54.903,1:45.909,1:46.300,1:45.040,1:45.118,1:44.676,1:44.431,1:44.038,1:44.009,1:43.925,1:43.513,1:45.106,1:44.213,1:44.028,1:44.039,1:44.273,1:44.270,1:46.355,2:02.242,1:43.419,1:43.098,1:42.419,1:42.164,1:42.669,1:42.927,1:43.496,1:52.200,1:43.470,1:43.550,1:42.586,1:42.684,1:42.311,1:44.478,1:44.675,2:00.077,1:41.189,1:41.478,1:41.570,1:41.450,1:41.341,1:43.090,1:42.410,1:41.895,1:43.711,1:41.716,1:41.337,1:41.381,1:41.480,1:43.408,1:42.296,1:41.884,1:42.893,1:42.615,1:42.169,1:43.869,
tsunoda,1:48.808,1:45.603,1:44.335,1:43.747,1:44.162,1:44.277,1:44.283,1:44.101,1:44.391,2:02.899,1:42.046,1:42.704,1:42.855,1:43.349,1:43.815,1:43.680,1:43.759,1:42.885,1:43.698,1:43.265,1:43.049,1:43.118,1:42.439,1:42.629,1:42.666,1:42.993,1:51.664,1:42.797,1:42.618,1:43.395,1:44.043,1:44.153,2:04.229,1:42.217,1:42.024,1:41.711,1:41.660,1:41.594,1:41.480,1:41.413,1:41.697,1:43.927,1:42.614,1:41.312,1:41.331,1:41.478,1:41.151,1:41.716,1:41.531,1:41.853,1:41.872,1:41.808,1:42.403,1:42.385,1:42.449,
vettel,1:52.788,1:46.841,1:46.358,1:44.512,1:44.105,1:44.481,1:44.703,1:44.456,1:43.263,1:44.342,1:43.092,1:45.147,1:44.886,1:43.673,1:43.938,1:44.258,1:44.163,2:03.827,1:42.988,1:42.789,1:42.722,1:42.658,1:43.334,1:43.038,1:43.148,1:43.699,1:50.579,1:42.398,1:42.059,1:42.170,1:42.470,1:42.253,1:42.212,1:42.411,1:42.456,1:42.384,1:42.504,1:43.198,2:02.366,1:40.481,1:41.121,1:41.158,1:40.820,1:41.163,1:40.883,1:40.857,1:41.331,1:41.448,1:41.888,1:40.921,1:41.439,1:41.108,1:41.507,1:41.686,1:41.639,
