Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56
alonso,1:53.468,1:46.669,1:46.334,1:44.801,1:44.110,1:44.428,1:44.494,2:00.655,1:42.851,1:43.369,1:43.148,1:43.047,1:43.121,1:43.227,1:43.889,1:45.177,1:43.335,1:43.333,1:43.541,1:43.500,1:43.400,1:43.564,1:46.618,1:43.832,1:43.025,1:42.948,1:51.749,1:42.779,2:00.282,1:40.865,1:41.851,1:41.352,1:41.993,1:42.100,1:41.817,1:41.575,1:41.529,1:41.914,1:41.448,1:59.279,1:40.118,1:40.701,1:40.499,1:40.612,1:40.417,1:40.067,1:40.326,1:40.675,1:45.442,,,,,,,
bottas,1:49.072,1:47.529,1:45.047,1:44.057,1:43.705,1:43.866,1:44.200,1:44.276,1:44.381,1:44.082,1:42.186,1:42.494,1:43.775,1:43.002,1:42.902,2:02.707,1:42.018,1:43.136,1:41.567,1:41.281,1:41.544,1:41.498,1:40.737,1:40.733,1:41.161,1:40.852,1:48.609,1:40.626,1:40.829,1:41.162,1:40.631,1:40.703,1:42.111,1:41.145,2:00.983,1:40.165,1:40.216,1:40.249,1:40.247,1:40.181,1:40.147,1:40.676,1:40.464,1:40.326,1:41.268,1:40.578,1:41.358,1:41.813,1:41.138,1:40.244,1:41.414,1:41.905,1:41.781,1:42.807,1:40.291,1:40.805
gasly,1:49.796,1:47.388,1:43.167,1:43.219,1:43.970,1:44.237,1:44.368,1:44.557,1:44.149,1:43.462,2:02.604,1:42.015,1:44.982,2:29.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giovinazzi,1:50.440,1:47.255,1:44.965,1:44.531,1:44.263,1:44.285,1:44.131,1:44.455,2:02.202,1:43.096,1:43.440,1:43.189,1:43.484,1:43.260,1:43.894,1:43.880,1:43.300,1:43.397,1:44.648,1:45.524,1:44.476,1:43.737,1:43.507,1:43.908,1:45.277,1:44.481,2:10.997,1:40.792,1:41.701,1:41.632,1:41.560,1:41.602,1:41.925,1:41.932,1:41.964,1:41.689,1:41.527,1:43.930,1:41.719,1:41.475,1:42.689,1:41.831,1:41.767,1:41.145,1:41.776,1:41.289,1:41.544,1:41.790,1:41.918,1:43.225,1:42.423,1:42.435,1:42.805,1:44.755,1:42.751,
hamilton,1:41.458,1:42.040,1:41.250,1:41.071,1:41.628,1:41.906,1:41.677,1:41.763,1:41.590,1:41.732,1:41.822,1:42.073,1:42.177,2:01.383,1:40.336,1:40.808,1:40.906,1:40.559,1:40.850,1:40.432,1:40.807,1:40.768,1:40.196,1:40.422,1:40.242,1:40.878,1:41.212,1:50.366,1:40.504,1:40.081,1:40.582,1:40.866,1:40.796,1:41.465,1:41.225,1:41.373,1:41.436,2:00.017,1:40.304,1:39.668,1:38.485,1:38.808,1:39.781,1:39.229,1:39.025,1:38.892,1:38.807,1:38.845,1:38.923,1:38.878,1:39.601,1:39.265,1:39.170,1:39.423,1:39.962,1:40.122
latifi,1:55.415,1:46.931,1:46.217,1:45.602,1:45.267,2:10.949,1:43.694,1:43.366,1:43.442,1:43.427,1:43.666,1:43.525,1:44.045,1:44.131,1:44.068,1:44.190,1:43.980,1:43.989,1:44.421,1:44.021,1:44.310,1:44.527,1:44.726,1:44.598,1:45.229,2:09.179,1:45.211,1:42.693,1:42.989,1:42.760,1:45.076,1:43.223,1:42.888,1:43.914,1:42.535,1:42.464,1:42.768,1:42.825,1:43.866,1:42.041,1:42.738,1:42.643,1:42.282,1:42.198,1:42.091,1:41.818,1:42.268,1:42.511,1:43.241,1:47.707,1:45.107,1:44.111,1:43.915,1:45.003,1:43.709,
leclerc,1:45.695,1:43.439,1:42.544,1:42.876,1:43.070,1:42.894,1:42.758,1:42.504,1:42.881,1:42.274,1:42.056,1:42.831,2:00.732,1:41.037,1:41.634,1:41.629,1:41.035,1:41.107,1:41.120,1:41.107,1:41.164,1:41.691,1:41.065,1:41.198,1:41.194,1:40.933,1:52.284,1:41.371,1:41.033,1:42.445,1:42.246,1:42.603,1:59.567,1:40.065,1:40.519,1:40.184,1:40.061,1:40.957,1:41.103,1:40.229,1:39.303,1:40.484,1:40.573,1:40.335,1:40.162,1:40.010,1:39.753,1:40.281,1:40.245,1:40.712,1:40.778,1:40.632,1:41.265,1:41.776,1:41.912,1:43.442
max_verstappen,1:42.612,1:41.750,1:41.271,1:41.125,1:41.482,1:41.830,1:41.741,1:41.932,1:41.568,1:41.710,1:58.851,1:40.426,1:40.102,1:40.411,1:40.736,1:40.872,1:40.891,1:40.798,1:40.659,1:41.038,1:40.802,1:40.991,1:40.837,1:40.838,1:41.215,1:41.493,1:40.653,1:50.440,1:41.165,1:59.712,1:40.355,1:40.452,1:40.126,1:40.150,1:40.490,1:40.266,1:40.012,1:40.077,1:40.687,1:39.955,1:40.374,1:40.216,1:40.207,1:39.661,1:39.564,1:39.509,1:39.138,1:39.226,1:39.102,1:39.238,1:39.425,1:39.096,1:39.519,1:39.806,1:40.282,1:39.668
mazepin,1:55.428,2:11.965,1:43.702,1:44.610,1:45.006,1:45.529,1:45.917,1:46.681,1:46.586,1:45.344,1:45.538,1:46.001,1:45.956,1:45.759,1:46.000,1:46.559,1:45.849,1:46.058,1:46.793,1:46.805,1:47.405,1:45.829,1:48.314,1:47.399,2:06.636,1:53.269,1:43.595,1:44.443,1:44.214,1:48.426,1:44.390,1:43.771,1:43.862,1:43.844,1:43.602,1:43.863,1:47.875,2:03.594,1:46.284,1:47.874,1:43.013,1:42.886,1:46.483,1:43.127,1:42.975,1:43.189,1:43.372,1:43.256,1:43.594,1:43.148,1:50.102,1:45.020,1:44.245,1:44.680,,
mick_schumacher,1:54.422,1:47.013,1:46.152,1:45.217,1:45.205,1:45.366,1:45.670,1:45.565,1:45.360,1:45.127,1:45.930,2:04.635,1:43.505,1:43.865,1:44.098,1:43.820,1:43.949,1:44.071,1:44.979,1:44.116,1:44.614,1:44.672,1:44.498,1:45.815,1:45.510,1:43.939,1:52.550,1:43.561,1:43.927,1:45.958,1:44.319,1:45.036,1:44.286,1:44.943,2:02.135,1:41.395,1:41.811,1:42.693,1:42.173,1:42.296,1:42.923,1:49.918,1:42.761,1:42.119,1:42.080,1:42.189,1:42.492,1:42.313,1:42.945,1:42.898,1:42.544,1:43.321,1:46.090,1:43.375,,
