Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56,Lap 57,Lap 58,Lap 59,Lap 60,Lap 61,Lap 62,Lap 63,Lap 64,Lap 65,Lap 66
alonso,1:34.655,1:26.882,1:25.698,1:25.097,1:25.177,1:25.115,1:24.966,1:34.310,1:57.266,2:11.431,1:28.119,1:26.158,1:25.340,1:25.556,1:25.459,1:25.438,1:25.157,1:25.634,1:25.195,1:25.331,1:28.466,1:42.352,1:23.886,1:23.858,1:24.705,1:24.733,1:24.418,1:24.591,1:25.604,1:24.274,1:24.089,1:24.484,1:24.187,1:24.102,1:24.106,1:24.329,1:24.377,1:24.032,1:24.046,1:23.944,1:24.011,1:24.120,1:23.968,1:23.923,1:24.040,1:24.205,1:24.423,1:25.825,1:24.350,1:24.342,1:24.861,1:24.596,1:25.347,1:24.629,1:25.543,1:25.384,1:25.150,1:25.336,1:25.706,1:27.797,1:31.873,1:46.209,1:21.182,1:23.452,1:21.355,
bottas,1:30.174,1:25.251,1:24.121,1:24.192,1:24.784,1:23.802,1:23.896,1:32.075,2:02.218,2:16.909,1:25.078,1:24.108,1:23.988,1:23.881,1:24.035,1:23.898,1:23.731,1:23.736,1:23.699,1:23.840,1:23.837,1:24.151,1:27.743,1:40.129,1:21.993,1:22.445,1:22.408,1:22.168,1:22.572,1:22.456,1:22.391,1:22.263,1:22.228,1:22.377,1:21.407,1:21.789,1:21.527,1:21.946,1:22.346,1:21.635,1:22.838,1:22.694,1:22.683,1:22.038,1:22.338,1:22.550,1:22.254,1:22.045,1:22.245,1:22.900,1:22.728,1:25.165,1:27.702,1:40.105,1:20.091,1:22.012,1:20.242,1:21.333,1:22.241,1:23.900,1:23.695,1:21.331,1:20.619,1:20.632,1:19.430,1:21.252
gasly,1:36.030,1:27.333,1:26.014,1:25.503,1:25.250,1:25.194,1:25.027,1:34.747,1:57.318,2:09.701,1:27.610,1:26.572,1:25.730,1:25.350,1:25.588,1:25.450,1:25.133,1:28.954,1:47.357,1:23.081,1:23.046,1:25.942,1:24.718,1:23.853,1:24.043,1:24.139,1:24.120,1:24.259,1:24.941,1:26.682,1:23.567,1:23.816,1:24.030,1:23.955,1:24.079,1:24.341,1:24.498,1:24.336,1:23.711,1:23.755,1:23.876,1:23.952,1:23.723,1:23.903,1:24.140,1:24.151,1:29.486,1:44.310,1:21.496,1:23.056,1:21.387,1:22.019,1:21.729,1:23.036,1:22.945,1:22.895,1:23.422,1:24.878,1:25.339,1:26.694,1:22.804,1:21.892,1:21.404,1:21.375,1:23.746,
giovinazzi,1:37.299,1:27.724,1:26.328,1:25.723,1:25.571,1:25.437,1:25.294,1:38.019,2:40.997,1:34.073,1:24.691,1:24.854,1:24.908,1:25.239,1:26.395,1:24.931,1:25.405,1:24.888,1:25.042,1:25.269,1:25.288,1:25.261,1:24.996,1:25.431,1:25.013,1:26.182,1:26.851,1:26.595,1:26.400,1:28.134,1:26.402,1:26.408,1:25.302,1:25.029,1:25.234,1:25.111,1:26.820,1:25.720,1:32.536,1:44.771,1:23.220,1:22.802,1:23.004,1:23.056,1:23.193,1:23.266,1:23.532,1:23.521,1:23.429,1:24.806,1:23.381,1:23.303,1:23.237,1:23.119,1:23.050,1:23.060,1:23.098,1:23.229,1:23.511,1:23.623,1:23.555,1:25.310,1:23.949,1:23.445,1:23.896,
hamilton,1:27.702,1:23.798,1:23.425,1:22.938,1:23.118,1:23.062,1:23.261,1:29.253,2:11.611,2:18.416,1:23.608,1:23.415,1:23.038,1:23.180,1:23.309,1:23.250,1:23.467,1:23.318,1:23.407,1:23.559,1:23.167,1:23.323,1:23.576,1:24.510,1:23.284,1:23.664,1:23.107,1:27.030,1:40.943,1:21.276,1:21.204,1:21.403,1:21.509,1:21.512,1:21.468,1:21.726,1:21.605,1:22.036,1:22.039,1:21.778,1:21.697,1:25.686,1:39.613,1:20.775,1:20.728,1:20.730,1:21.348,1:21.270,1:21.155,1:20.994,1:21.225,1:22.670,1:21.304,1:20.665,1:20.787,1:20.990,1:20.906,1:20.931,1:21.521,1:22.205,1:21.107,1:21.636,1:21.705,1:21.708,1:21.985,1:22.044
latifi,1:39.177,1:28.361,1:27.194,1:26.338,1:26.276,1:26.574,1:26.037,1:40.465,1:54.725,1:59.384,1:27.806,1:27.480,1:26.425,1:26.592,1:25.714,1:25.442,1:25.419,1:25.560,1:25.349,1:25.497,1:25.557,1:25.596,1:25.292,1:25.385,1:25.192,1:25.048,1:29.626,1:42.425,1:24.290,1:24.058,1:23.973,1:24.008,1:23.514,1:23.828,1:24.411,1:24.247,1:23.855,1:24.337,1:24.104,1:23.930,1:23.900,1:25.623,1:24.266,1:23.906,1:24.061,1:25.922,1:27.143,1:24.916,1:26.946,1:28.650,1:43.082,1:23.127,1:22.977,1:23.280,1:23.515,1:23.144,1:22.905,1:23.194,1:24.998,1:23.041,1:22.988,1:23.038,1:22.960,1:22.942,1:28.857,
leclerc,1:29.442,1:24.948,1:24.403,1:24.198,1:24.269,1:24.195,1:24.062,1:31.332,2:02.691,2:17.414,1:24.637,1:24.059,1:23.839,1:23.846,1:23.786,1:23.890,1:23.742,1:23.758,1:23.821,1:23.963,1:23.834,1:24.105,1:24.275,1:24.170,1:24.227,1:24.595,1:24.519,1:28.933,1:41.185,1:22.775,1:22.799,1:22.945,1:22.710,1:22.625,1:22.582,1:22.586,1:22.604,1:22.824,1:22.660,1:22.560,1:22.826,1:22.698,1:22.735,1:22.759,1:22.805,1:22.737,1:23.040,1:23.016,1:22.411,1:22.531,1:22.461,1:22.462,1:22.286,1:22.717,1:22.944,1:22.956,1:24.245,1:26.959,1:40.867,1:21.064,1:21.056,1:20.931,1:21.326,1:20.459,1:22.501,1:23.696
max_verstappen,1:26.190,1:23.561,1:23.250,1:23.209,1:23.206,1:23.227,1:23.090,1:25.483,2:14.880,2:19.896,1:23.251,1:23.297,1:23.009,1:23.155,1:23.152,1:23.515,1:23.263,1:23.289,1:23.317,1:23.362,1:23.460,1:23.513,1:23.729,1:28.038,1:41.545,1:21.411,1:22.171,1:22.258,1:22.446,1:22.621,1:22.714,1:22.456,1:22.131,1:21.533,1:21.571,1:21.487,1:21.872,1:21.727,1:22.084,1:21.990,1:21.717,1:22.118,1:21.632,1:21.886,1:21.987,1:22.473,1:22.589,1:23.039,1:22.924,1:22.340,1:22.513,1:22.358,1:22.168,1:22.529,1:22.664,1:22.923,1:22.554,1:22.411,1:22.546,1:28.448,1:41.338,1:18.149,1:20.216,1:19.619,1:20.146,1:20.875
mazepin,1:39.826,1:28.311,1:27.309,1:26.368,1:26.945,1:26.904,1:26.460,1:41.651,1:51.289,1:58.697,1:29.483,1:27.754,1:27.042,1:27.211,1:26.891,1:27.647,1:26.744,1:26.881,1:26.627,1:26.548,1:26.782,1:31.969,1:46.885,1:24.384,1:26.761,1:24.806,1:24.844,1:24.862,1:24.754,1:24.830,1:25.107,1:27.806,1:25.466,1:27.730,1:25.299,1:25.147,1:25.221,1:26.812,1:25.457,1:25.809,1:25.309,1:29.125,1:46.069,1:24.842,1:24.040,1:24.392,1:24.539,1:24.381,1:26.441,1:24.465,1:24.053,1:24.204,1:26.228,1:24.824,1:24.420,1:26.574,1:24.949,1:24.698,1:26.610,1:27.116,1:30.047,1:27.399,1:24.739,1:24.471,,
mick_schumacher,1:37.640,1:28.135,1:26.736,1:26.209,1:27.216,1:26.032,1:26.324,1:40.855,1:52.822,2:01.225,1:27.945,1:28.065,1:26.496,1:26.657,1:27.827,1:26.352,1:25.773,1:27.943,1:26.159,1:25.978,1:26.076,1:26.300,1:29.741,1:46.559,1:24.244,1:24.435,1:24.419,1:24.372,1:23.989,1:23.959,1:24.029,1:24.569,1:23.962,1:24.267,1:24.238,1:24.381,1:27.523,1:25.480,1:26.294,1:24.978,1:24.258,1:24.398,1:26.013,1:24.384,1:24.092,1:24.223,1:26.973,1:24.728,1:24.560,1:28.280,1:43.198,1:22.970,1:22.752,1:22.637,1:22.649,1:22.646,1:23.567,1:26.684,1:26.422,1:23.102,1:23.825,1:23.547,1:25.695,1:23.585,,
