Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56,Lap 57,Lap 58,Lap 59,Lap 60,Lap 61,Lap 62,Lap 63,Lap 64,Lap 65,Lap 66
norris,1:33.959,1:26.500,1:25.746,1:24.945,1:24.950,1:25.130,1:24.853,1:34.755,1:57.441,2:11.688,1:27.143,1:25.919,1:25.244,1:25.485,1:25.077,1:25.052,1:25.599,1:25.179,1:24.615,1:24.485,1:24.792,1:24.783,1:27.125,1:43.909,1:24.378,1:24.395,1:24.430,1:24.127,1:24.308,1:24.379,1:24.438,1:24.053,1:24.080,1:24.120,1:24.276,1:24.933,1:23.575,1:23.266,1:23.224,1:23.176,1:23.260,1:23.157,1:23.172,1:23.270,1:23.381,1:23.416,1:23.589,1:23.448,1:25.779,1:24.764,1:26.880,1:41.830,1:22.349,1:23.303,1:23.941,1:21.279,1:22.082,1:21.701,1:21.788,1:23.140,1:22.263,1:23.656,1:25.197,1:22.989,1:23.099,
ocon,1:32.775,1:25.631,1:25.236,1:24.858,1:24.449,1:24.906,1:24.617,1:33.985,1:57.570,2:15.246,1:26.308,1:25.262,1:25.014,1:24.952,1:24.906,1:24.954,1:24.623,1:24.886,1:24.729,1:25.167,1:25.228,1:25.145,1:28.110,1:43.206,1:24.122,1:24.926,1:23.980,1:24.085,1:23.955,1:24.226,1:23.873,1:24.213,1:24.326,1:24.204,1:24.272,1:24.119,1:23.999,1:23.823,1:23.745,1:23.452,1:23.484,1:23.466,1:23.640,1:23.472,1:23.353,1:23.311,1:23.799,1:23.611,1:23.583,1:23.793,1:24.691,1:25.589,1:25.088,1:24.758,1:26.767,1:26.157,1:24.520,1:24.479,1:25.084,1:24.941,1:26.208,1:26.775,1:25.230,1:26.766,1:26.593,
perez,1:31.943,1:25.241,1:24.792,1:24.723,1:24.067,1:24.544,1:24.305,1:33.466,1:59.695,2:16.144,1:25.649,1:24.816,1:24.437,1:25.046,1:24.989,1:24.563,1:24.530,1:24.394,1:24.514,1:24.512,1:24.723,1:24.764,1:24.545,1:24.527,1:25.924,1:23.608,1:26.984,1:43.231,1:21.962,1:22.141,1:22.906,1:23.181,1:23.043,1:23.051,1:22.951,1:23.361,1:22.768,1:22.955,1:22.920,1:23.371,1:24.725,1:22.967,1:23.103,1:22.770,1:23.211,1:22.272,1:22.055,1:21.883,1:22.204,1:22.024,1:22.579,1:22.567,1:23.031,1:22.690,1:22.682,1:23.110,1:27.212,1:40.501,1:22.891,1:19.483,1:21.668,1:21.400,1:20.955,1:21.703,1:21.408,1:20.971
raikkonen,1:36.748,1:27.611,1:26.177,1:25.585,1:25.363,1:25.421,1:25.434,1:35.413,1:56.450,2:08.604,1:27.580,1:26.762,1:25.986,1:25.503,1:25.589,1:25.541,1:25.463,1:25.485,1:25.171,1:25.447,1:25.123,1:24.940,1:24.769,1:24.991,1:24.725,1:24.788,1:24.791,1:24.391,1:26.309,1:26.038,1:25.928,1:25.187,1:24.913,1:24.949,1:26.779,1:25.867,1:30.354,1:44.270,1:23.915,1:23.444,1:23.170,1:25.493,1:22.964,1:23.002,1:23.194,1:23.530,1:24.800,1:24.879,1:23.560,1:23.284,1:23.570,1:22.935,1:23.112,1:22.868,1:23.146,1:22.947,1:23.395,1:24.922,1:25.413,1:27.936,1:23.668,1:23.465,1:23.102,1:23.057,1:23.610,
ricciardo,1:31.083,1:25.429,1:24.680,1:24.436,1:24.411,1:24.468,1:24.212,1:32.522,2:00.615,2:16.222,1:25.621,1:24.598,1:24.619,1:24.666,1:24.923,1:24.705,1:24.491,1:24.588,1:24.479,1:24.436,1:24.643,1:24.769,1:24.514,1:24.547,1:27.870,1:42.377,1:23.073,1:23.316,1:24.012,1:23.545,1:23.047,1:23.140,1:23.049,1:23.045,1:22.969,1:23.142,1:22.953,1:23.026,1:23.006,1:23.352,1:23.719,1:23.364,1:23.433,1:22.966,1:23.303,1:28.536,1:41.018,1:22.580,1:23.428,1:22.437,1:24.413,1:22.604,1:22.746,1:22.267,1:21.993,1:22.036,1:21.860,1:22.256,1:22.531,1:21.853,1:22.091,1:22.123,1:22.067,1:22.489,1:22.298,1:22.438
russell,1:38.084,1:28.774,1:27.083,1:26.223,1:26.348,1:26.158,1:26.109,1:38.318,1:54.735,2:02.194,1:27.634,1:26.442,1:26.057,1:25.749,1:25.522,1:25.845,1:25.212,1:25.455,1:25.448,1:25.712,1:25.679,1:25.048,1:25.104,1:25.086,1:24.691,1:24.705,1:25.994,1:27.780,1:41.012,1:23.208,1:23.651,1:23.631,1:23.614,1:23.986,1:24.412,1:24.067,1:24.495,1:24.515,1:24.016,1:23.915,1:23.882,1:23.649,1:23.780,1:23.890,1:25.394,1:24.241,1:23.949,1:24.159,1:23.707,1:23.995,1:24.183,1:25.238,1:24.483,1:24.480,1:25.577,1:24.782,1:25.045,1:25.435,1:28.620,1:27.411,1:26.176,1:24.867,1:25.234,1:26.770,1:25.794,
sainz,1:33.500,1:25.970,1:25.249,1:24.828,1:24.759,1:24.896,1:24.460,1:34.859,1:57.331,2:13.662,1:26.753,1:25.296,1:25.179,1:24.727,1:25.321,1:24.988,1:24.888,1:24.872,1:24.768,1:25.154,1:24.977,1:28.620,1:40.926,1:23.991,1:24.501,1:23.835,1:23.494,1:23.792,1:23.134,1:23.889,1:22.476,1:23.004,1:22.956,1:22.901,1:22.806,1:22.977,1:22.832,1:22.651,1:22.988,1:22.967,1:23.948,1:23.499,1:23.521,1:22.914,1:23.173,1:27.033,1:41.059,1:22.095,1:24.034,1:21.852,1:24.136,1:24.631,1:21.568,1:21.918,1:21.815,1:21.934,1:22.052,1:22.249,1:22.221,1:22.014,1:22.120,1:22.290,1:22.037,1:22.454,1:22.259,1:22.347
stroll,1:35.051,1:27.001,1:26.054,1:25.293,1:25.044,1:25.139,1:25.112,1:35.339,1:56.562,2:10.488,1:26.810,1:26.059,1:25.574,1:25.265,1:25.326,1:25.512,1:25.264,1:25.282,1:25.041,1:25.219,1:25.119,1:28.864,1:41.265,1:23.832,1:24.484,1:24.230,1:24.506,1:25.375,1:23.798,1:24.453,1:24.195,1:24.228,1:23.989,1:24.234,1:24.277,1:24.606,1:25.034,1:23.642,1:27.013,1:41.986,1:23.068,1:23.515,1:23.239,1:22.944,1:24.777,1:23.589,1:22.607,1:22.915,1:24.741,1:22.910,1:23.064,1:24.109,1:23.008,1:23.265,1:23.688,1:24.542,1:25.146,1:25.166,1:25.066,1:27.774,1:22.670,1:24.615,1:22.864,1:23.177,1:23.643,
tsunoda,1:38.543,1:27.714,1:26.760,1:26.189,1:24.825,1:25.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vettel,1:35.498,1:27.277,1:26.125,1:25.312,1:25.201,1:25.152,1:25.047,1:34.995,1:56.652,2:10.428,1:27.601,1:26.475,1:25.487,1:25.315,1:25.604,1:25.476,1:24.956,1:25.695,1:25.349,1:25.545,1:28.530,1:44.529,1:23.247,1:23.523,1:23.788,1:24.265,1:24.316,1:24.465,1:25.473,1:25.212,1:24.277,1:24.054,1:24.321,1:23.920,1:23.914,1:24.335,1:24.369,1:27.558,1:42.160,1:23.264,1:23.096,1:25.554,1:23.037,1:22.949,1:23.438,1:23.426,1:24.652,1:24.514,1:24.237,1:23.381,1:23.515,1:23.148,1:24.633,1:23.062,1:23.101,1:22.820,1:23.374,1:24.720,1:25.309,1:25.907,1:26.156,1:23.465,1:23.813,1:23.510,1:23.519,
