Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56,Lap 57,Lap 58,Lap 59,Lap 60,Lap 61,Lap 62,Lap 63,Lap 64,Lap 65,Lap 66,Lap 67,Lap 68,Lap 69,Lap 70
alonso,2:08.062,2:56.381,26:25.290,2:00.505,1:26.338,1:25.864,1:25.836,1:24.946,1:25.068,1:25.262,1:25.345,1:25.071,1:25.799,1:24.320,1:24.282,1:24.180,1:23.962,1:24.083,1:24.493,1:23.877,1:24.002,1:23.973,1:22.951,1:22.625,1:22.612,1:22.382,1:22.600,1:22.599,1:22.625,1:22.514,1:22.575,1:22.188,1:22.777,1:22.809,1:22.638,1:22.427,1:22.824,1:22.935,1:25.494,1:39.729,1:20.359,1:21.004,1:20.928,1:20.917,1:21.531,1:21.436,1:21.416,1:21.379,1:21.194,1:21.326,1:22.417,1:22.322,1:22.122,1:21.757,1:22.337,1:21.313,1:22.138,1:21.269,1:21.428,1:21.644,1:21.792,1:21.639,1:22.241,1:21.932,1:22.988,1:22.463,1:23.667,1:22.409,1:22.328,1:22.911
gasly,2:15.203,3:01.679,26:15.476,2:02.870,1:26.653,1:26.384,1:26.276,1:25.754,1:25.731,1:26.105,1:25.184,1:25.555,1:25.194,1:26.554,1:23.889,1:23.936,1:23.776,1:24.116,1:24.401,1:24.441,1:23.526,1:23.375,1:23.214,1:23.332,1:22.825,1:23.014,1:23.162,1:23.014,1:23.200,1:25.694,1:40.278,1:22.000,1:22.356,1:22.591,1:22.632,1:22.415,1:22.863,1:22.814,1:23.327,1:22.211,1:22.450,1:22.197,1:22.179,1:22.314,1:22.251,1:22.477,1:22.583,1:22.616,1:22.535,1:22.362,1:22.193,1:22.139,1:24.313,1:21.585,1:22.431,1:22.305,1:22.180,1:22.207,1:21.330,1:22.176,1:22.592,1:22.479,1:22.510,1:22.234,1:22.315,1:22.516,1:22.491,1:25.133,1:42.306,1:18.394
giovinazzi,2:42.558,2:52.852,26:01.610,2:00.644,1:25.801,1:25.923,1:26.093,1:25.872,1:25.892,1:26.656,1:28.208,1:50.025,1:23.988,1:24.412,1:24.297,1:24.632,1:24.355,1:26.540,1:24.235,1:24.120,1:24.209,1:23.800,1:23.740,1:23.682,1:23.774,1:23.464,1:23.537,1:23.870,1:24.144,1:24.171,1:23.890,1:24.045,1:26.449,1:41.621,1:23.514,1:23.244,1:23.349,1:23.001,1:22.995,1:23.057,1:22.949,1:23.173,1:23.004,1:22.736,1:23.074,1:23.302,1:23.657,1:26.030,1:22.748,1:26.409,1:23.443,1:24.640,1:22.754,1:23.609,1:23.148,1:23.236,1:23.436,1:23.261,1:23.424,1:23.405,1:23.008,1:22.886,1:23.519,1:23.307,1:23.230,1:23.025,1:23.401,1:23.032,1:23.713,
hamilton,1:58.069,2:49.020,26:46.873,1:49.712,1:43.232,1:23.637,1:25.597,1:25.736,1:25.710,1:24.966,1:25.237,1:25.421,1:25.255,1:26.772,1:25.614,1:23.219,1:23.432,1:23.596,1:26.667,1:39.467,1:21.531,1:21.076,1:24.186,1:20.609,1:21.223,1:22.812,1:21.534,1:22.594,1:23.111,1:23.091,1:22.977,1:21.596,1:21.422,1:21.237,1:21.494,1:21.174,1:21.584,1:22.101,1:21.649,1:21.439,1:21.612,1:21.509,1:21.628,1:21.733,1:22.307,1:21.954,1:24.232,1:36.937,1:18.715,1:19.028,1:19.104,1:19.652,1:20.344,1:20.550,1:22.538,1:21.155,1:22.207,1:21.301,1:21.316,1:21.725,1:21.755,1:21.386,1:22.570,1:21.687,1:20.809,1:22.950,1:20.479,1:19.306,1:19.663,1:20.111
latifi,2:06.501,2:54.068,26:22.876,2:04.546,1:25.975,1:25.819,1:25.199,1:24.574,1:24.508,1:24.460,1:24.611,1:24.543,1:24.636,1:24.329,1:24.399,1:24.297,1:24.455,1:24.340,1:24.555,1:24.797,1:24.604,1:24.676,1:26.212,1:42.720,1:23.145,1:23.496,1:24.129,1:23.629,1:23.519,1:23.650,1:23.435,1:23.436,1:23.697,1:23.666,1:23.246,1:23.325,1:23.276,1:23.430,1:23.481,1:25.010,1:23.490,1:23.146,1:23.265,1:23.200,1:23.346,1:23.263,1:23.308,1:23.344,1:23.239,1:23.298,1:23.208,1:23.608,1:23.311,1:23.368,1:23.426,1:23.438,1:23.373,1:23.192,1:22.883,1:23.016,1:23.177,1:22.831,1:23.935,1:23.582,1:23.508,1:23.535,1:23.613,1:23.787,1:23.675,1:24.474
max_verstappen,2:10.591,3:14.104,26:09.129,2:00.218,1:27.173,1:26.414,1:26.066,1:25.854,1:25.907,1:25.806,1:25.387,1:25.469,1:25.143,1:25.041,1:24.479,1:23.832,1:24.135,1:24.271,1:24.322,1:27.006,1:41.531,1:24.133,1:23.545,1:23.739,1:24.010,1:23.994,1:24.414,1:24.528,1:24.905,1:24.734,1:24.517,1:24.627,1:25.479,1:23.926,1:23.255,1:22.764,1:23.477,1:23.151,1:23.130,1:25.176,1:38.489,1:21.014,1:20.945,1:21.164,1:21.518,1:21.354,1:21.215,1:21.506,1:22.612,1:22.064,1:22.845,1:23.249,1:23.190,1:23.203,1:23.043,1:23.046,1:22.904,1:23.060,1:22.730,1:21.430,1:21.492,1:21.869,1:22.048,1:22.273,1:22.299,1:22.242,1:22.524,1:22.826,1:22.646,1:23.261
mazepin,2:17.794,3:09.487,26:08.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mick_schumacher,2:13.440,3:00.155,26:18.155,2:01.816,1:27.211,1:26.235,1:26.121,1:25.735,1:25.977,1:25.551,1:25.490,1:25.395,1:25.491,1:27.278,1:26.620,1:26.520,1:25.428,1:25.793,1:25.268,1:25.245,1:24.740,1:24.765,1:25.204,1:25.791,1:24.717,1:24.482,1:24.604,1:24.542,1:24.821,1:24.862,1:24.409,1:24.728,1:26.555,1:30.363,1:42.189,1:22.983,1:23.158,1:22.936,1:22.876,1:23.120,1:23.051,1:23.152,1:23.037,1:22.711,1:23.246,1:22.931,1:23.373,1:22.851,1:22.721,1:26.915,1:23.285,1:26.069,1:24.233,1:23.724,1:23.481,1:23.671,1:23.464,1:23.357,1:23.311,1:23.367,1:23.041,1:23.123,1:23.443,1:23.138,1:23.214,1:23.117,1:23.192,1:23.112,1:23.694,
norris,2:22.425,3:06.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ocon,1:59.634,2:49.656,26:30.847,2:03.712,1:24.575,1:24.374,1:24.159,1:24.384,1:24.056,1:24.104,1:23.983,1:23.907,1:23.822,1:24.046,1:24.129,1:24.091,1:24.113,1:23.696,1:23.582,1:23.902,1:23.738,1:23.584,1:23.711,1:23.278,1:23.324,1:23.114,1:22.881,1:22.752,1:22.811,1:23.043,1:22.992,1:22.942,1:22.863,1:23.183,1:22.893,1:22.816,1:25.071,1:40.201,1:21.762,1:21.839,1:21.912,1:22.127,1:21.804,1:22.022,1:21.925,1:22.297,1:22.459,1:22.770,1:22.433,1:21.832,1:21.886,1:21.784,1:21.717,1:21.421,1:21.578,1:21.671,1:21.693,1:21.594,1:21.586,1:21.551,1:21.700,1:21.686,1:22.089,1:21.429,1:21.503,1:21.591,1:21.687,1:21.942,1:21.855,1:22.085
raikkonen,2:10.748,3:00.622,26:19.497,2:00.984,1:27.155,1:25.887,1:25.980,1:25.481,1:25.062,1:25.605,1:25.145,1:25.162,1:25.628,1:25.169,1:27.487,1:56.162,1:23.333,1:23.243,1:23.165,1:23.733,1:23.499,1:23.958,1:23.006,1:23.054,1:23.328,1:23.264,1:23.596,1:23.752,1:24.431,1:25.103,1:23.820,1:23.955,1:25.163,1:25.699,1:23.075,1:22.946,1:23.455,1:23.079,1:23.243,1:23.128,1:23.018,1:23.055,1:23.063,1:23.181,1:23.184,1:23.491,1:23.415,1:23.431,1:23.305,1:24.356,1:23.492,1:23.262,1:26.133,1:42.182,1:21.766,1:22.278,1:21.622,1:21.518,1:21.788,1:22.278,1:22.317,1:21.988,1:22.200,1:21.882,1:21.921,1:24.688,1:22.146,1:21.855,1:21.644,
ricciardo,2:22.328,2:58.411,26:12.243,1:59.686,1:27.257,1:26.203,1:25.891,1:25.704,1:25.213,1:24.994,1:25.491,1:25.180,1:25.182,1:25.510,1:25.057,1:23.913,1:24.088,1:24.471,1:24.947,1:27.130,1:41.819,1:24.477,1:23.524,1:23.778,1:23.891,1:24.110,1:24.429,1:24.615,1:24.703,1:24.927,1:24.500,1:24.707,1:25.357,1:23.284,1:22.894,1:22.928,1:23.491,1:23.130,1:23.380,1:23.537,1:23.579,1:23.270,1:23.238,1:23.404,1:23.482,1:23.561,1:23.407,1:23.154,1:23.570,1:23.270,1:23.007,1:23.415,1:23.178,1:23.179,1:23.151,1:22.920,1:22.945,1:22.802,1:23.071,1:24.777,1:23.874,1:23.498,1:26.809,1:24.154,1:24.341,1:28.880,1:26.288,1:25.273,1:26.155,
russell,2:09.639,2:58.569,26:21.971,2:01.055,1:26.873,1:25.940,1:25.767,1:25.310,1:25.273,1:25.432,1:25.192,1:25.096,1:25.602,1:25.031,1:24.681,1:24.493,1:24.645,1:24.768,1:25.027,1:24.870,1:26.392,1:42.131,1:23.670,1:24.077,1:23.637,1:24.243,1:24.623,1:24.441,1:24.680,1:25.022,1:24.469,1:24.613,1:24.001,1:23.191,1:23.028,1:23.452,1:23.377,1:23.607,1:23.692,1:23.493,1:23.447,1:23.400,1:23.426,1:23.205,1:23.557,1:23.496,1:23.514,1:23.178,1:23.414,1:23.112,1:23.334,1:23.220,1:23.400,1:23.055,1:22.865,1:22.686,1:22.695,1:22.511,1:22.574,1:22.580,1:22.446,1:22.112,1:22.149,1:22.137,1:22.176,1:22.199,1:22.698,1:22.673,1:22.541,1:23.420
sainz,2:03.261,2:51.406,26:27.127,2:07.453,1:26.393,1:26.146,1:25.023,1:24.752,1:24.837,1:24.878,1:24.726,1:24.723,1:24.731,1:24.623,1:24.379,1:24.360,1:24.241,1:24.549,1:24.520,1:24.558,1:24.249,1:24.063,1:22.588,1:21.898,1:22.156,1:23.213,1:22.140,1:22.281,1:22.444,1:22.570,1:22.403,1:24.716,1:40.905,1:21.893,1:21.884,1:21.733,1:21.581,1:21.762,1:21.631,1:21.626,1:21.645,1:21.578,1:21.827,1:21.626,1:22.189,1:22.008,1:22.071,1:22.192,1:22.454,1:22.195,1:23.271,1:22.085,1:22.106,1:21.423,1:21.549,1:21.737,1:21.711,1:21.800,1:21.657,1:21.622,1:21.873,1:21.754,1:21.844,1:22.029,1:22.203,1:23.358,1:24.284,1:22.371,1:22.211,1:23.122
tsunoda,2:05.307,2:52.817,26:24.517,2:06.065,1:26.207,1:25.952,1:25.144,1:24.377,1:24.413,1:25.050,1:24.721,1:24.576,1:24.652,1:24.472,1:24.428,1:24.166,1:24.597,1:24.219,1:24.762,1:24.677,1:24.388,1:26.468,1:40.280,1:23.687,1:22.878,1:23.137,1:22.790,1:23.049,1:23.137,1:23.177,1:23.136,1:24.907,1:23.949,1:23.359,1:23.079,1:23.109,1:23.097,1:23.182,1:23.456,1:23.170,1:23.160,1:22.726,1:22.450,1:22.712,1:22.787,1:22.851,1:22.682,1:22.792,1:25.747,1:22.975,1:22.684,1:22.658,1:23.155,1:22.693,1:22.707,1:22.624,1:22.771,1:22.964,1:22.987,1:23.085,1:22.932,1:22.828,1:33.351,1:23.801,1:23.645,1:23.568,1:24.323,1:23.745,1:24.363,1:24.682
