Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53
alonso,1:53.420,1:27.173,1:27.688,1:27.750,1:27.418,1:27.745,1:27.629,1:27.727,1:27.840,1:27.749,1:27.520,1:27.407,1:27.299,1:27.319,1:27.359,1:27.369,1:28.781,1:27.743,1:27.347,1:27.299,1:27.756,1:27.710,1:27.838,1:28.781,1:32.110,2:14.490,1:59.084,2:35.966,2:31.038,2:22.422,1:28.280,1:27.490,1:27.168,1:26.614,1:26.448,1:26.690,1:26.480,1:26.239,1:26.224,1:26.110,1:25.868,1:26.017,1:27.180,1:45.578,1:26.574,1:26.474,1:26.342,1:26.238,1:26.021,1:25.861,1:25.910,1:25.472,1:25.511
bottas,2:01.031,1:28.071,1:26.545,1:27.601,1:26.378,1:26.180,1:26.771,1:28.351,1:26.988,1:27.445,1:26.700,1:27.456,1:26.596,1:26.871,1:26.951,1:26.964,1:26.777,1:26.631,1:26.664,1:27.056,1:28.008,1:26.438,1:26.638,1:26.248,1:26.821,1:50.032,2:30.848,2:38.889,2:29.590,2:25.925,1:28.061,1:26.597,1:26.669,1:24.827,1:25.756,1:25.971,1:26.197,1:26.549,1:25.848,1:25.942,1:25.928,1:25.692,1:27.569,1:44.645,1:25.500,1:25.723,1:25.632,1:25.726,1:25.287,1:25.593,1:25.649,1:25.191,1:25.270
gasly,2:02.171,1:29.005,1:49.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giovinazzi,2:09.159,2:00.859,1:27.123,1:26.850,1:26.959,1:27.037,1:26.925,1:27.023,1:27.091,1:27.395,1:27.235,1:27.269,1:27.115,1:26.945,1:27.100,1:27.007,1:27.063,1:26.937,1:26.884,1:27.379,1:27.300,1:27.283,1:27.347,1:27.438,1:36.621,2:18.111,1:44.550,2:14.982,2:32.348,2:13.971,1:29.174,1:28.890,1:27.596,1:27.222,1:26.718,1:26.704,1:26.613,1:26.487,1:26.444,1:26.792,1:26.429,1:26.635,1:27.484,1:43.011,1:27.588,1:26.724,1:26.991,1:26.656,1:26.226,1:25.718,1:25.859,1:26.153,1:26.161
hamilton,1:45.494,1:27.866,1:25.870,1:26.252,1:26.026,1:26.778,1:26.846,1:26.413,1:26.595,1:26.497,1:26.368,1:27.390,1:27.440,1:27.472,1:26.757,1:26.580,1:27.010,1:26.778,1:26.826,1:26.609,1:26.952,1:26.943,1:27.032,1:26.586,1:30.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kubica,2:00.167,1:28.892,1:28.736,1:27.546,1:28.040,1:27.829,1:28.115,1:27.733,1:28.044,1:27.977,1:27.996,1:27.774,1:27.751,1:27.905,1:27.685,1:27.583,1:27.806,1:27.447,1:27.876,1:28.013,1:27.969,1:28.079,1:27.965,1:28.065,1:27.614,1:58.104,2:14.609,2:34.921,2:32.357,2:16.175,1:28.911,1:28.843,1:27.262,1:26.937,1:26.757,1:26.547,1:26.637,1:26.409,1:26.760,1:26.597,1:26.370,1:27.068,1:27.018,1:43.240,1:28.246,1:26.822,1:26.688,1:26.844,1:28.639,1:26.250,1:26.292,1:26.375,1:25.849
latifi,1:56.194,1:27.106,1:27.110,1:27.643,1:27.580,1:27.493,1:27.804,1:27.826,1:27.411,1:27.663,1:27.694,1:27.716,1:28.852,1:27.705,1:27.829,1:27.624,1:27.768,1:27.707,1:27.534,1:27.858,1:28.021,1:27.688,1:32.043,1:46.192,1:26.391,1:57.024,1:59.303,2:37.605,2:31.230,2:18.164,1:28.688,1:29.035,1:27.131,1:26.962,1:26.680,1:26.739,1:26.582,1:26.235,1:26.686,1:26.443,1:26.170,1:26.797,1:26.991,1:43.538,1:26.672,1:27.469,1:26.377,1:26.181,1:26.171,1:25.953,1:26.259,1:26.289,1:26.282
leclerc,1:48.161,1:27.990,1:26.073,1:26.580,1:26.473,1:26.493,1:26.765,1:26.613,1:26.506,1:26.585,1:26.543,1:26.622,1:26.652,1:27.043,1:27.301,1:27.194,1:26.985,1:26.993,1:26.643,1:26.964,1:27.415,1:27.285,1:27.224,1:27.353,1:27.225,1:44.442,2:44.572,2:36.740,2:30.123,2:32.401,1:28.000,1:27.935,1:26.537,1:26.696,1:25.697,1:26.016,1:26.157,1:25.801,1:26.359,1:26.088,1:25.826,1:25.730,1:26.881,1:44.866,1:25.993,1:25.606,1:25.956,1:25.941,1:25.619,1:25.511,1:25.517,1:25.664,1:25.319
max_verstappen,1:39.532,1:30.125,1:25.808,1:26.395,1:26.377,1:26.341,1:27.159,1:26.333,1:26.531,1:26.499,1:26.668,1:26.741,1:26.443,1:26.691,1:26.309,1:26.702,1:26.777,1:26.780,1:26.812,1:27.125,1:27.708,1:27.466,1:31.184,1:54.069,1:25.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mazepin,2:01.117,1:29.945,1:28.699,1:28.045,1:28.487,1:28.302,1:28.416,1:28.626,1:28.608,1:28.631,1:28.729,1:28.356,1:29.021,1:29.258,1:29.063,1:28.859,1:29.038,1:28.796,1:29.058,1:29.063,1:29.008,1:29.328,1:29.550,1:33.767,2:01.885,1:56.859,1:42.886,2:09.771,2:35.222,2:11.254,1:29.951,1:30.285,1:28.019,1:27.891,1:30.116,1:28.286,1:27.921,1:27.339,1:36.154,1:53.307,1:27.202,,,,,,,,,,,,
