Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52
alonso,2:12.307,2:43.560,37:13.466,2:24.593,1:35.626,1:34.496,1:34.993,1:34.889,1:34.701,1:34.211,1:34.430,1:34.577,1:33.869,1:33.677,1:33.553,1:33.434,1:33.261,1:33.396,1:33.180,1:33.097,1:32.950,1:33.179,1:35.154,1:33.490,1:53.530,1:33.077,1:32.901,1:33.621,1:33.588,1:33.502,1:33.617,1:33.367,1:33.270,1:33.356,1:33.153,1:33.208,1:33.309,1:33.070,1:33.166,1:32.763,1:32.767,1:32.708,1:32.443,1:32.225,1:32.240,1:32.476,1:32.047,1:31.698,1:32.361,1:32.194,1:32.810,1:32.821
bottas,2:06.173,2:39.641,37:09.294,2:36.914,1:33.727,1:33.577,1:33.543,1:33.571,1:33.096,1:33.312,1:33.397,1:33.423,1:33.380,1:33.340,1:32.694,1:32.415,1:32.454,1:32.543,1:32.639,1:32.409,1:32.488,1:31.869,1:52.484,1:31.988,1:31.415,1:31.520,1:31.804,1:31.651,1:32.160,1:32.480,1:32.683,1:32.191,1:31.720,1:31.799,1:31.252,1:31.435,1:31.094,1:31.066,1:31.146,1:33.278,1:31.445,1:31.084,1:31.161,1:30.688,1:30.524,1:30.641,1:30.872,1:31.181,1:31.473,1:32.153,1:31.698,1:32.424
gasly,2:19.081,2:48.344,37:20.925,2:08.686,1:36.555,1:34.385,1:35.210,1:35.158,1:34.927,1:34.729,1:34.537,1:34.825,1:34.958,1:34.588,1:34.227,1:34.314,1:34.135,1:34.260,1:32.960,1:32.932,1:32.788,1:32.933,1:32.925,1:32.855,1:32.784,1:32.764,1:33.201,1:32.660,1:53.002,1:32.686,1:32.836,1:33.166,1:33.508,1:33.037,1:33.125,1:33.170,1:33.228,1:32.907,1:32.505,1:32.565,1:32.544,1:32.752,1:32.414,1:32.402,1:32.109,1:33.003,1:50.418,1:30.740,1:32.093,1:30.995,1:30.494,1:30.266
giovinazzi,2:20.441,2:49.294,37:21.267,2:05.661,1:36.308,1:35.876,1:35.379,1:35.295,1:36.091,1:34.858,1:34.635,1:34.917,1:34.743,1:34.656,1:34.571,1:34.554,1:34.051,1:34.331,1:34.034,1:33.478,1:33.765,1:33.622,1:33.119,1:53.252,1:33.247,1:33.205,1:33.431,1:33.590,1:33.867,1:33.726,1:33.565,1:33.729,1:33.290,1:33.200,1:33.257,1:33.495,1:33.226,1:33.080,1:33.135,1:32.925,1:33.924,1:33.584,1:32.621,1:32.817,1:32.873,1:32.705,1:32.668,1:33.270,1:32.346,1:34.269,1:34.792,
hamilton,2:05.599,2:38.142,37:09.155,2:37.266,1:33.049,1:33.113,1:32.738,1:32.928,1:33.013,1:33.458,1:32.950,1:32.943,1:33.158,1:32.749,1:32.713,1:32.473,1:32.291,1:32.548,1:32.597,1:32.076,1:32.297,1:32.189,1:32.311,1:32.686,1:32.115,1:31.854,1:32.852,2:03.392,1:30.762,1:31.113,1:31.257,1:32.488,1:32.038,1:31.219,1:30.817,1:31.025,1:30.807,1:30.594,1:30.859,1:30.443,1:30.468,1:30.160,1:30.258,1:29.801,1:29.699,1:29.701,1:30.520,1:30.503,1:30.525,1:30.900,1:31.037,1:31.635
latifi,2:26.229,2:54.392,37:22.718,1:56.501,1:37.107,1:35.620,1:35.773,1:35.548,1:35.350,1:34.984,1:34.706,1:35.126,1:34.897,1:34.867,1:34.273,1:34.480,1:34.387,1:34.490,1:33.034,1:52.614,1:33.566,1:33.515,1:33.497,1:33.803,1:33.600,1:33.169,1:33.241,1:33.452,1:33.780,1:33.484,1:33.654,1:33.574,1:33.253,1:33.339,1:33.146,1:32.932,1:33.255,1:32.994,1:32.807,1:33.468,1:32.787,1:33.104,1:32.765,1:32.982,1:33.203,1:33.142,1:33.571,1:35.201,1:33.043,1:32.718,1:32.477,
leclerc,2:02.700,2:39.045,37:07.083,2:40.134,1:32.805,1:32.910,1:33.003,1:33.105,1:32.970,1:33.232,1:32.841,1:32.939,1:32.969,1:32.744,1:33.282,1:32.623,1:32.475,1:32.296,1:31.985,1:32.128,1:31.974,1:32.223,1:32.259,1:32.296,1:32.048,1:31.993,1:32.082,1:31.958,1:31.847,1:51.720,1:31.552,1:31.541,1:31.716,1:31.978,1:31.448,1:31.384,1:31.500,1:31.542,1:31.599,1:31.425,1:31.539,1:31.271,1:30.917,1:30.846,1:30.569,1:30.724,1:31.228,1:31.291,1:31.149,1:32.956,1:32.454,1:32.857
mazepin,2:28.985,2:53.397,37:33.574,1:44.503,1:38.789,1:37.188,1:37.928,1:37.033,1:36.697,1:36.408,1:36.265,1:36.732,1:36.397,1:36.363,1:36.104,1:36.152,1:35.735,1:35.376,1:36.011,1:35.879,1:35.692,1:35.822,1:35.634,1:34.736,1:33.671,1:55.157,1:34.423,1:34.404,1:34.715,1:36.036,1:37.864,1:34.543,1:34.320,1:34.077,1:34.149,1:34.090,1:34.066,1:36.240,1:34.150,1:33.947,1:33.558,1:33.734,1:33.422,1:33.402,1:33.404,1:33.341,1:33.525,1:33.252,1:33.097,1:32.927,1:32.909,
mick_schumacher,2:25.570,2:52.950,37:20.706,1:59.887,1:39.029,1:37.141,1:36.993,1:37.531,1:36.428,1:36.098,1:36.141,1:36.616,1:36.449,1:36.074,1:35.820,1:35.631,1:35.857,1:35.940,1:37.027,1:35.630,1:35.951,1:35.452,1:35.387,1:33.930,1:57.006,1:34.381,1:35.266,1:35.721,1:36.468,1:37.139,1:35.172,1:34.412,1:34.158,1:34.080,1:33.972,1:33.959,1:34.097,1:36.633,1:34.579,1:33.895,1:33.536,1:33.481,1:32.997,1:33.292,1:33.654,1:33.767,1:33.371,1:33.091,1:33.179,1:32.862,1:32.987,
norris,2:08.698,2:38.631,37:11.598,2:32.439,1:33.318,1:33.428,1:33.556,1:33.402,1:33.373,1:33.011,1:33.286,1:33.295,1:33.193,1:33.165,1:32.827,1:32.778,1:32.586,1:32.520,1:32.586,1:32.293,1:31.418,1:55.033,1:33.509,1:32.830,1:32.274,1:32.040,1:32.047,1:32.096,1:32.217,1:32.073,1:33.668,1:33.174,1:32.410,1:32.139,1:31.940,1:31.945,1:31.848,1:31.823,1:32.061,1:31.624,1:31.800,1:31.572,1:31.762,1:31.420,1:31.666,1:31.836,1:31.900,1:31.750,1:32.868,1:32.679,1:32.208,1:32.244
