Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56
alonso,2:10.373,2:19.776,2:30.630,1:52.313,1:40.858,1:37.652,1:37.366,1:38.006,1:39.062,1:37.758,1:40.308,1:56.122,1:36.844,1:37.143,1:37.447,1:37.183,1:37.797,1:36.984,1:37.506,1:39.078,1:40.090,1:37.759,1:38.377,1:37.604,1:37.596,1:38.758,1:37.447,1:37.791,1:40.108,1:57.522,1:36.063,1:42.313,,,,,,,,,,,,,,,,,,,,,,,,
bottas,2:03.772,2:21.478,2:34.199,1:48.046,1:43.651,1:37.109,1:36.355,1:36.022,1:37.086,1:36.405,1:36.384,1:36.460,1:36.423,1:36.736,1:36.583,1:39.534,1:54.719,1:35.038,1:34.518,1:34.774,1:35.098,1:35.077,1:35.092,1:35.193,1:35.022,1:35.308,1:35.469,1:35.376,1:35.915,1:38.028,2:03.818,1:35.120,1:34.457,1:34.472,1:34.400,1:34.461,1:34.399,1:34.418,1:35.198,1:34.729,1:34.776,1:34.798,1:34.466,1:34.303,1:35.158,1:34.379,1:34.272,1:34.217,1:34.212,1:34.309,1:34.488,1:35.125,1:34.644,1:37.802,1:55.899,1:32.090
gasly,2:04.697,2:22.263,2:32.610,2:06.772,2:11.534,1:36.677,1:36.954,1:37.424,1:37.030,1:37.375,1:37.517,1:38.054,1:37.874,1:38.302,1:38.001,1:37.993,1:38.415,1:39.272,1:40.838,1:59.290,1:36.483,1:36.475,1:36.421,1:36.519,1:36.472,1:36.890,1:36.394,1:36.512,1:36.217,1:36.061,1:36.185,1:36.452,1:36.357,1:36.689,1:38.745,1:36.891,1:36.736,1:36.928,1:39.587,1:56.887,1:34.560,1:34.349,1:34.303,1:34.978,1:34.692,1:34.230,1:34.243,1:34.090,1:34.281,1:34.346,1:34.950,1:38.051,,,,
giovinazzi,2:18.362,2:18.879,2:25.126,1:53.761,1:42.150,1:37.852,1:37.993,1:37.972,1:38.008,1:37.846,1:37.765,1:40.892,2:05.351,1:37.462,1:36.790,1:37.458,1:37.201,1:37.139,1:37.005,1:37.279,1:37.387,1:37.442,1:36.936,1:37.236,1:36.899,1:36.918,1:37.210,1:36.940,1:36.987,1:39.490,1:56.373,1:35.122,1:36.937,1:36.088,1:36.110,1:35.713,1:35.952,1:36.306,1:36.424,1:36.515,1:36.261,1:36.206,1:35.971,1:36.787,1:35.868,1:35.680,1:35.747,1:35.338,1:35.298,1:35.367,1:36.135,1:39.448,1:36.225,1:35.900,1:35.788,
hamilton,1:59.538,2:22.712,2:36.656,1:44.932,1:45.139,1:36.169,1:36.123,1:36.075,1:36.148,1:36.082,1:36.143,1:36.507,1:38.924,1:55.006,1:34.057,1:35.104,1:35.099,1:35.266,1:35.346,1:35.324,1:35.837,1:35.539,1:35.219,1:35.087,1:35.359,1:35.622,1:35.940,1:37.835,1:55.194,1:34.365,1:35.305,1:34.729,1:35.041,1:34.665,1:34.745,1:34.754,1:34.740,1:34.720,1:34.816,1:34.890,1:34.334,1:34.199,1:34.163,1:34.015,1:34.583,1:34.492,1:34.591,1:34.167,1:34.136,1:34.354,1:34.579,1:34.939,1:36.155,1:34.814,1:34.706,1:34.918
latifi,2:25.219,2:19.416,2:18.832,2:01.239,1:40.773,1:39.237,1:38.390,1:38.518,1:38.784,1:38.027,1:38.280,1:38.781,1:38.526,1:42.131,1:59.286,1:36.602,1:37.665,1:37.508,1:37.644,1:37.447,1:37.556,1:37.618,1:37.320,1:38.097,1:37.694,1:38.179,1:38.149,1:37.802,1:39.666,1:38.422,1:39.096,1:42.667,1:58.954,1:37.348,1:37.437,1:37.610,1:37.971,1:38.151,1:37.195,1:37.802,1:37.811,1:38.105,1:37.724,1:38.899,1:39.670,1:38.396,1:39.391,1:39.385,1:38.661,1:49.275,1:46.133,,,,,
leclerc,2:02.698,2:21.183,2:35.188,1:46.103,1:45.543,1:38.294,1:37.148,1:37.886,1:38.667,1:37.518,1:37.729,1:40.477,1:56.773,1:35.552,1:35.955,1:36.415,1:36.936,1:36.432,1:36.289,1:36.603,1:36.721,1:36.457,1:36.195,1:36.338,1:36.428,1:36.406,1:36.616,1:36.555,1:37.096,1:36.871,1:37.108,1:39.973,1:55.256,1:35.096,1:35.141,1:35.055,1:35.020,1:35.264,1:34.988,1:35.118,1:35.041,1:35.284,1:35.168,1:35.294,1:35.373,1:35.287,1:35.381,1:35.153,1:35.419,1:35.067,1:35.546,1:37.113,1:35.684,1:35.945,1:36.190,1:36.951
max_verstappen,1:58.245,2:22.406,2:38.001,1:44.343,1:44.629,1:35.982,1:35.902,1:36.032,1:36.012,1:36.175,1:36.179,1:36.592,1:36.291,1:36.880,1:36.924,1:37.033,1:39.153,1:55.532,1:34.421,1:34.870,1:34.829,1:35.159,1:35.122,1:35.207,1:35.044,1:34.958,1:35.118,1:35.126,1:35.282,1:35.476,1:35.054,1:35.378,1:35.286,1:35.638,1:35.593,1:35.721,1:35.620,1:35.921,1:37.828,1:53.437,1:33.228,1:33.450,1:33.231,1:33.594,1:34.056,1:33.894,1:34.092,1:33.818,1:33.576,1:33.893,1:33.964,1:34.669,1:36.413,1:35.073,1:34.565,1:34.727
mick_schumacher,2:26.524,2:19.552,2:17.719,2:09.259,1:39.927,1:38.744,1:39.134,1:39.272,1:39.164,1:38.955,1:39.180,1:39.979,1:39.685,1:42.903,2:01.871,1:37.351,1:37.627,1:37.740,1:37.944,1:38.231,1:38.020,1:37.670,1:37.578,1:37.595,1:37.779,1:38.144,1:38.957,1:37.677,1:38.250,1:38.899,1:38.322,1:38.641,1:40.674,1:59.708,1:36.711,1:36.722,1:38.714,1:36.134,1:36.786,1:36.843,1:36.674,1:37.962,1:36.409,1:38.628,1:36.389,1:36.580,1:37.997,1:36.695,1:38.802,1:38.777,1:36.652,1:37.229,1:36.856,1:37.118,1:37.351,
norris,2:06.744,2:20.999,2:32.067,1:49.988,1:42.220,1:37.893,1:36.906,1:37.724,1:37.360,1:37.523,1:37.162,1:40.425,1:57.417,1:35.286,1:35.679,1:36.344,1:36.239,1:36.045,1:36.084,1:36.463,1:36.569,1:36.371,1:36.547,1:36.409,1:36.565,1:36.152,1:36.290,1:36.577,1:36.646,1:36.417,1:36.515,1:36.616,1:39.275,1:56.810,1:34.899,1:34.647,1:34.501,1:34.396,1:34.629,1:34.756,1:34.800,1:35.090,1:34.805,1:34.733,1:34.816,1:35.049,1:34.843,1:35.030,1:35.112,1:34.768,1:35.074,1:35.308,1:35.429,1:35.900,1:35.718,1:35.733
