Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51
norris,2:00.202,1:51.296,1:49.911,1:47.490,1:49.001,1:48.772,1:52.031,2:04.045,1:47.474,1:46.978,1:48.712,1:47.556,1:47.478,1:47.256,1:47.313,1:46.845,1:46.758,1:46.767,1:46.424,1:47.001,1:47.261,1:46.879,1:46.448,1:46.566,1:46.559,1:46.613,1:46.536,1:46.458,1:46.670,1:48.166,2:31.344,2:37.751,2:54.646,2:46.614,2:56.989,1:53.425,1:48.098,1:46.777,1:46.075,1:46.100,1:45.326,1:45.603,1:45.830,1:46.602,1:45.917,1:46.085,2:14.859,3:04.653,36:26.450,2:27.891,1:46.663
ocon,2:00.049,1:50.850,2:10.806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perez,1:54.523,1:49.180,1:48.644,1:47.842,1:47.157,1:47.513,1:47.046,1:47.273,1:47.415,1:46.881,1:47.497,1:46.800,1:49.960,2:04.379,1:45.868,1:46.341,1:46.122,1:46.063,1:45.798,1:45.837,1:45.722,1:45.898,1:45.616,1:45.591,1:45.605,1:46.973,1:45.995,1:45.860,1:45.810,1:46.023,2:15.567,3:07.842,2:55.360,2:53.159,3:04.268,1:49.238,1:46.516,1:45.889,1:45.405,1:45.196,1:44.950,1:45.051,1:44.794,1:44.873,1:44.687,1:44.735,2:16.165,3:06.897,36:25.269,2:38.614,1:44.703
raikkonen,2:01.534,1:51.655,1:51.973,1:50.255,1:48.865,1:49.024,1:48.785,1:48.567,1:48.499,1:49.285,1:49.351,1:49.263,1:54.150,2:05.079,1:48.235,1:48.408,1:47.681,1:47.797,1:47.474,1:47.202,1:47.658,1:47.458,1:47.457,1:47.535,1:46.956,1:47.106,1:47.696,1:47.061,1:46.644,2:01.820,2:28.201,2:19.686,2:45.000,2:40.708,2:51.587,1:55.163,1:49.247,1:47.662,1:46.164,1:46.272,1:46.290,1:45.631,1:45.601,1:45.924,1:47.316,1:46.959,2:19.263,3:02.673,36:27.195,2:22.545,1:46.426
ricciardo,2:00.631,1:50.972,1:50.246,1:48.635,1:48.401,1:48.255,1:48.938,1:48.211,1:48.407,1:48.715,1:52.582,2:05.143,1:47.980,1:47.580,1:46.981,1:47.324,1:47.822,1:47.200,1:46.779,1:47.023,1:47.034,1:46.741,1:46.759,1:46.731,1:47.021,1:46.596,1:46.567,1:46.820,1:46.549,1:47.757,2:28.090,2:37.575,2:53.493,2:45.961,2:53.628,1:54.044,1:49.082,1:47.290,1:46.295,1:46.101,1:46.009,1:45.923,1:45.713,1:45.779,1:46.053,1:46.541,2:19.455,3:00.019,36:25.754,2:29.461,1:46.618
russell,2:08.197,2:07.330,1:50.787,1:49.894,1:49.098,1:49.339,1:49.446,1:48.919,1:48.821,1:49.020,1:49.070,1:48.867,1:48.799,1:50.084,1:49.163,1:48.684,1:48.748,1:48.378,1:48.020,1:47.860,1:47.524,1:47.592,1:47.542,1:47.209,1:47.095,1:47.081,1:47.497,1:47.466,1:47.048,2:03.604,2:28.426,2:15.643,2:43.578,2:41.548,2:49.330,1:57.492,1:49.524,1:47.739,1:47.340,1:46.781,1:46.162,1:46.054,1:45.959,1:46.717,1:46.121,1:47.985,2:15.933,3:11.692,,,
sainz,1:55.799,1:49.542,1:49.300,1:48.563,1:47.796,1:47.894,1:48.084,1:47.762,1:47.295,1:51.542,2:24.010,1:47.524,1:47.216,1:47.108,1:47.136,1:47.956,1:48.058,1:47.732,1:47.874,1:48.022,1:47.279,1:47.583,1:48.433,1:46.035,1:46.342,1:46.595,1:47.451,1:46.299,1:45.971,1:55.573,2:30.484,2:20.384,2:53.797,2:43.934,2:52.976,1:53.772,1:48.282,1:46.966,1:46.229,1:45.735,1:45.901,1:45.700,1:45.823,1:46.245,1:45.701,1:46.940,2:15.333,3:03.320,36:26.392,2:30.256,1:46.175
stroll,2:04.253,1:51.395,1:49.532,1:48.911,1:48.862,1:48.509,1:48.233,1:48.315,1:48.007,1:48.182,1:48.086,1:48.432,1:48.095,1:47.262,1:46.882,1:46.798,1:46.953,1:46.752,1:46.737,1:46.641,1:46.813,1:46.611,1:46.582,1:46.421,1:46.296,1:46.553,1:46.408,1:46.207,1:46.534,,,,,,,,,,,,,,,,,,,,,,
tsunoda,1:57.578,1:50.071,1:48.534,1:48.998,1:48.142,1:48.695,1:48.910,1:48.338,1:51.376,2:05.319,1:47.980,1:47.429,1:47.482,1:47.272,1:46.842,1:47.023,1:46.921,1:46.684,1:46.852,1:46.951,1:46.688,1:46.932,1:46.615,1:46.388,1:46.500,1:46.727,1:46.570,1:46.530,1:46.640,1:47.042,2:21.750,2:47.597,2:52.159,2:50.831,2:58.048,1:53.216,1:47.860,1:46.373,1:46.039,1:46.099,1:45.809,1:45.893,1:45.744,1:45.894,1:45.481,1:44.939,2:14.982,3:05.185,36:26.385,2:33.320,1:45.401
vettel,1:58.358,1:50.157,1:49.020,1:48.427,1:48.787,1:48.717,1:48.430,1:48.189,1:49.127,1:47.658,1:47.274,1:47.065,1:47.184,1:46.852,1:46.643,1:46.609,1:46.582,1:50.359,2:02.792,1:46.527,1:46.593,1:46.694,1:46.468,1:46.521,1:46.344,1:46.112,1:46.649,1:46.611,1:46.298,1:47.095,2:21.217,2:50.195,2:52.520,2:50.842,2:59.206,1:51.402,1:46.757,1:45.928,1:45.481,1:45.462,1:44.890,1:45.376,1:45.250,1:44.914,1:45.789,1:45.326,2:13.659,3:07.726,36:24.047,2:36.528,1:45.138
