Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56,Lap 57,Lap 58,Lap 59,Lap 60,Lap 61,Lap 62,Lap 63,Lap 64,Lap 65,Lap 66,Lap 67,Lap 68,Lap 69,Lap 70,Lap 71
norris,2:01.858,1:37.178,1:15.530,1:15.632,1:26.984,1:42.489,1:36.139,1:37.267,1:59.078,1:20.256,1:17.957,1:41.743,1:39.314,1:19.583,1:16.392,1:16.352,1:16.025,1:16.102,1:16.057,1:16.590,1:16.211,1:16.214,1:16.318,1:16.237,1:16.231,1:15.793,1:16.279,1:16.883,1:17.131,1:31.345,1:17.207,1:15.986,1:16.168,1:15.713,1:15.623,1:15.817,1:19.164,1:33.595,1:14.581,1:14.382,1:16.635,1:15.900,1:15.040,1:14.732,1:14.578,1:14.663,1:14.240,1:14.403,1:14.294,1:14.115,1:14.477,1:14.334,1:13.761,1:14.018,1:14.766,1:15.844,1:14.034,1:14.179,1:14.452,1:14.252,1:14.552,1:14.506,1:16.323,1:16.284,1:14.620,1:14.340,1:14.575,1:14.305,1:14.626,1:14.605,
ocon,1:24.757,1:16.636,1:16.090,1:15.876,1:16.223,1:30.846,1:58.491,2:13.132,2:17.543,1:18.915,1:17.542,1:38.123,1:40.933,1:20.610,1:15.840,1:15.911,1:15.811,1:15.923,1:15.863,1:16.346,1:16.043,1:16.144,1:16.104,1:16.167,1:16.170,1:16.140,1:16.497,1:16.381,1:16.284,1:32.020,1:32.154,1:14.825,1:15.031,1:15.135,1:15.093,1:15.925,1:15.310,1:14.971,1:15.129,1:15.035,1:14.974,1:14.954,1:14.611,1:14.552,1:14.570,1:14.537,1:14.640,1:14.430,1:14.793,1:14.486,1:14.450,1:16.812,1:14.766,1:15.010,1:15.231,1:15.195,1:15.265,1:15.921,1:15.038,1:16.928,1:17.130,1:14.960,1:14.460,1:14.914,1:15.210,1:14.897,1:15.901,1:16.177,1:15.311,1:15.277,
perez,1:19.651,1:14.726,1:14.626,1:14.689,1:14.595,1:28.670,1:59.107,2:13.453,2:28.325,1:15.792,1:14.621,1:34.978,1:39.958,1:23.998,1:14.479,1:14.450,1:14.937,1:15.853,1:16.024,1:15.248,1:14.972,1:14.896,1:14.794,1:15.036,1:15.297,1:15.135,1:15.272,1:19.188,1:31.989,1:28.280,1:13.698,1:13.566,1:13.536,1:13.707,1:13.672,1:13.517,1:13.601,1:13.485,1:13.582,1:13.499,1:13.886,1:17.410,1:29.500,1:12.376,1:12.838,1:13.669,1:13.092,1:13.395,1:13.659,1:13.147,1:13.041,1:12.934,1:12.960,1:12.898,1:12.915,1:13.189,1:13.336,1:13.468,1:13.250,1:13.052,1:13.040,1:13.193,1:12.912,1:13.294,1:13.972,1:13.424,1:13.319,1:13.486,1:18.016,1:34.208,1:11.010
raikkonen,1:33.654,1:15.334,1:16.810,1:16.662,1:17.595,1:35.367,1:57.858,2:14.036,2:04.562,1:19.949,1:18.551,1:42.408,1:40.113,1:18.994,1:16.469,1:17.538,1:17.741,1:17.028,1:16.349,1:16.314,1:16.074,1:16.483,1:16.281,1:16.135,1:16.194,1:16.340,1:17.513,1:21.185,1:34.516,1:29.316,1:15.083,1:14.588,1:14.782,1:15.128,1:15.054,1:14.955,1:15.106,1:15.418,1:15.643,1:15.482,1:16.710,1:16.347,1:14.150,1:15.374,1:14.745,1:14.716,1:15.903,1:14.824,1:14.701,1:14.670,1:15.025,1:18.680,1:29.789,1:12.621,1:12.958,1:13.766,1:13.907,1:13.692,1:13.694,1:13.787,1:13.621,1:13.381,1:13.587,1:13.829,1:14.597,1:13.974,1:13.815,1:14.388,1:13.782,1:14.298,
ricciardo,1:24.595,1:17.399,1:15.973,1:15.987,1:16.145,1:31.745,1:57.463,2:13.496,2:17.097,1:18.607,1:16.755,1:37.642,1:41.592,1:20.045,1:15.656,1:15.583,1:15.805,1:15.679,1:15.671,1:16.272,1:15.219,1:15.511,1:15.625,1:15.468,1:15.607,1:15.300,1:15.831,1:16.651,1:15.818,1:30.060,1:31.466,1:15.371,1:14.681,1:15.137,1:15.136,1:14.872,1:14.854,1:14.589,1:14.595,1:14.443,1:14.696,1:14.723,1:14.787,1:14.879,1:14.641,1:14.724,1:15.470,1:16.146,1:32.007,,,,,,,,,,,,,,,,,,,,,,
russell,1:27.260,1:19.497,1:18.502,1:18.293,1:17.306,1:39.416,1:53.753,2:14.709,2:03.246,1:21.760,1:19.218,1:41.929,1:40.451,1:17.742,1:16.830,1:18.024,1:17.040,1:17.165,1:16.958,1:16.595,1:16.158,1:16.452,1:16.133,1:16.399,1:16.380,1:16.732,1:16.986,1:16.921,1:16.398,1:30.589,1:16.596,1:17.009,1:16.768,1:17.155,1:16.462,1:17.476,1:16.494,1:16.563,1:16.946,1:16.710,1:21.624,1:31.963,1:15.111,1:16.154,1:14.355,1:14.383,1:16.717,1:15.347,1:15.364,1:14.790,1:14.950,1:15.022,1:15.462,1:14.917,1:14.528,1:14.895,1:14.773,1:14.616,1:14.822,1:15.089,1:15.022,1:14.909,1:15.020,1:14.890,1:15.055,1:15.510,1:15.537,1:16.625,1:15.163,1:15.305,
sainz,1:22.506,1:16.140,1:16.321,1:15.747,1:15.677,1:28.611,1:58.669,2:11.905,2:22.998,1:18.032,1:16.074,1:36.671,1:41.287,1:20.992,1:15.077,1:15.120,1:15.348,1:15.684,1:15.504,1:15.713,1:15.689,1:15.652,1:15.423,1:15.850,1:15.561,1:19.586,1:31.824,1:15.285,1:15.594,1:31.341,1:14.540,1:14.324,1:14.890,1:14.317,1:14.285,1:14.462,1:14.249,1:14.163,1:14.032,1:14.035,1:14.502,1:14.551,1:14.560,1:14.208,1:14.755,1:14.148,1:14.268,1:14.071,1:14.421,1:14.862,1:14.640,1:15.241,1:18.510,1:30.648,1:13.280,1:13.075,1:13.094,1:12.811,1:12.971,1:12.990,1:12.960,1:13.228,1:12.710,1:12.901,1:13.221,1:12.957,1:13.005,1:13.532,1:13.377,1:12.849,1:13.147
stroll,1:25.162,1:18.331,1:16.639,1:17.206,1:16.897,1:30.844,2:00.022,2:12.500,2:13.082,1:19.148,1:17.542,1:40.128,1:39.375,1:20.158,1:16.301,1:16.036,1:16.305,1:16.163,1:16.382,1:16.892,1:17.721,1:19.904,1:34.622,1:15.382,1:15.344,1:16.581,1:17.717,1:16.295,1:15.537,1:30.293,1:15.408,1:15.440,1:15.564,1:15.469,1:15.644,1:15.669,1:15.827,1:16.310,1:16.896,1:16.566,1:16.514,1:15.629,1:15.748,1:15.790,1:17.615,1:16.190,1:20.943,,,,,,,,,,,,,,,,,,,,,,,,
tsunoda,1:26.465,1:17.739,1:16.344,1:33.623,1:50.411,1:44.239,1:36.065,1:45.295,2:01.876,1:20.836,1:18.422,1:42.217,1:40.862,1:19.158,1:16.447,1:16.061,1:16.450,1:15.882,1:15.970,1:16.093,1:16.124,1:16.129,1:15.832,1:16.076,1:16.259,1:16.190,1:16.335,1:18.607,1:16.724,1:30.895,1:16.393,1:16.374,1:16.346,1:15.972,1:16.271,1:16.372,1:17.689,1:17.653,1:21.801,1:46.372,1:16.664,1:14.592,1:15.127,1:16.613,1:16.305,1:14.717,1:16.810,1:15.103,1:14.988,1:14.966,1:17.298,1:15.174,1:14.261,1:14.317,1:14.435,1:14.605,1:14.771,1:14.765,1:14.808,1:14.772,1:14.386,1:14.204,1:16.217,1:16.082,1:15.113,1:14.921,1:14.880,1:14.956,1:15.556,1:15.377,
vettel,1:23.106,1:16.794,1:15.670,1:15.979,1:16.008,1:29.959,1:57.782,2:13.124,2:20.499,1:18.370,1:16.388,1:37.057,1:40.898,1:20.775,1:15.735,1:15.796,1:15.860,1:16.801,1:16.033,1:16.584,1:16.508,1:16.146,1:16.134,1:16.409,1:16.251,1:16.446,1:16.543,1:20.262,1:33.946,1:31.338,1:15.083,1:14.760,1:16.189,1:15.126,1:15.348,1:14.817,1:15.007,1:17.002,1:15.461,1:15.775,1:15.567,1:15.394,1:15.151,1:15.241,1:15.172,1:15.061,1:14.879,1:14.657,1:14.902,1:14.938,1:14.873,1:15.054,1:14.817,1:14.558,1:18.281,1:31.855,1:14.097,1:14.024,1:13.742,1:13.790,1:13.759,1:13.749,1:13.848,1:13.754,1:13.842,1:13.960,1:13.919,1:13.833,1:13.634,1:14.025,
