Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53
norris,1:51.536,1:43.526,1:41.389,1:41.538,1:40.540,1:40.359,1:40.873,1:40.685,1:40.358,1:40.548,1:40.420,1:40.669,1:40.889,1:40.995,1:41.272,1:41.155,1:40.294,1:39.936,1:39.869,1:40.503,1:40.319,1:39.912,1:40.393,2:00.360,1:43.254,1:38.660,1:38.257,1:40.829,1:39.322,1:39.289,1:38.263,1:38.281,1:37.485,1:38.019,1:38.760,1:38.629,1:38.607,1:38.430,1:38.508,1:38.552,1:39.110,1:38.536,1:38.715,1:38.344,1:38.126,1:38.485,1:38.955,1:38.428,1:38.467,1:38.374,1:37.895,1:37.425,1:37.459
ocon,1:52.392,1:43.919,1:41.830,1:41.550,1:41.021,1:40.536,1:40.917,1:40.817,1:40.751,1:40.979,1:40.829,1:40.982,1:41.259,1:41.429,1:41.614,1:41.604,1:41.133,1:40.801,1:41.821,1:41.649,1:41.387,1:41.386,1:40.920,1:40.995,1:40.981,1:42.701,1:43.355,2:00.943,1:43.459,1:39.876,1:38.995,1:38.808,1:38.645,1:38.961,1:38.689,1:38.894,1:38.995,1:39.377,1:39.509,1:39.409,1:39.101,1:39.353,1:39.051,1:38.869,1:40.793,1:39.020,1:41.021,1:39.061,1:39.089,1:39.644,1:40.463,1:39.304,
perez,1:48.257,1:40.612,1:40.549,1:40.419,1:39.998,1:39.240,1:39.665,1:39.072,1:39.305,1:39.151,1:39.303,1:39.318,1:39.189,1:39.370,1:40.487,1:39.773,1:39.364,1:39.338,1:39.149,1:39.520,1:39.310,1:39.698,1:39.100,1:58.410,1:41.545,1:37.404,1:37.229,1:37.674,1:38.056,1:37.917,1:38.280,1:37.801,1:38.075,1:37.827,1:39.396,1:37.886,1:37.395,1:37.154,1:37.239,1:37.355,1:37.351,1:37.332,1:37.129,1:37.161,1:37.111,1:37.876,1:38.172,1:38.220,1:39.640,1:37.578,1:37.363,1:37.125,1:36.693
raikkonen,1:53.586,1:43.743,1:42.222,1:41.280,1:41.507,1:40.619,1:41.099,1:40.594,1:42.030,1:40.873,1:41.208,1:41.053,1:41.151,1:41.244,1:41.429,1:42.199,1:41.546,1:41.138,1:41.163,1:41.318,1:41.219,1:42.572,1:43.560,1:41.313,1:40.980,1:41.609,1:41.201,1:41.337,1:40.847,1:41.473,1:41.073,1:41.973,2:02.988,1:40.906,1:38.368,1:40.902,1:38.441,1:38.631,1:39.131,1:40.052,1:38.406,1:38.117,1:39.962,1:38.171,1:38.351,1:37.992,1:38.786,1:39.054,1:39.902,1:40.353,1:40.236,1:39.546,
ricciardo,1:51.350,1:42.492,1:41.218,1:41.124,1:40.531,1:40.425,1:40.860,1:40.850,1:40.741,1:40.515,1:40.862,1:40.622,1:40.757,1:40.424,1:41.634,2:00.026,1:42.037,1:39.309,1:39.203,1:39.372,1:39.683,1:41.066,1:40.251,1:40.011,1:39.909,1:41.135,1:40.073,1:39.187,1:39.697,1:39.663,1:39.510,1:39.037,1:39.398,1:39.284,1:38.852,1:39.165,1:39.217,1:39.431,1:39.117,1:39.150,1:39.066,1:38.608,1:38.717,1:38.693,1:38.324,1:38.661,1:39.251,1:39.017,1:38.720,1:38.604,1:38.775,1:38.787,1:39.216
russell,1:55.420,1:44.277,1:43.160,1:42.635,1:41.532,1:41.461,1:41.152,1:41.407,1:41.095,1:41.059,1:40.784,1:40.490,1:40.945,1:41.678,1:41.979,1:41.684,2:00.045,1:41.947,1:39.275,1:39.867,1:39.862,1:39.744,1:39.877,1:40.537,1:40.427,1:39.787,1:39.522,1:40.281,1:39.900,1:39.961,1:39.898,1:40.418,1:39.553,1:40.397,1:39.650,1:39.776,1:39.721,1:39.340,1:40.866,1:40.103,1:39.419,1:39.467,1:39.544,1:38.791,1:38.708,1:40.589,1:40.218,1:40.501,1:39.415,1:38.578,1:38.763,1:38.314,
sainz,1:48.811,1:41.546,1:41.069,1:41.085,1:40.342,1:39.836,1:40.547,1:40.621,1:40.779,1:40.712,1:40.798,1:41.268,1:41.710,1:41.293,1:41.620,1:41.040,2:00.880,1:42.990,1:38.931,1:39.593,1:39.751,1:40.295,1:41.280,1:39.971,1:40.117,1:40.381,1:40.212,1:40.192,1:39.859,1:39.878,1:40.693,1:39.676,1:39.169,1:39.542,1:39.673,1:41.853,1:41.578,1:39.884,1:39.491,1:39.786,1:39.572,1:39.194,1:38.966,1:40.766,1:39.338,1:39.345,1:39.045,1:40.585,1:39.899,1:39.595,1:39.512,1:39.612,1:40.926
stroll,1:55.002,1:43.047,1:41.900,1:41.411,1:41.613,1:40.586,1:41.048,1:40.751,1:40.492,1:40.689,1:40.632,1:40.644,1:41.395,1:41.047,1:41.065,1:41.628,1:41.131,1:40.668,1:40.432,1:41.167,1:40.893,1:40.617,1:40.710,1:40.480,1:40.569,1:40.431,1:39.784,1:40.563,1:40.352,1:40.301,1:40.243,1:40.103,1:39.699,2:00.727,1:42.250,1:39.132,1:39.205,1:38.718,1:38.727,1:39.219,1:38.560,1:38.376,1:38.580,1:37.828,1:37.933,1:37.867,1:37.939,1:37.919,1:38.443,1:38.447,1:38.977,1:38.698,1:39.078
tsunoda,1:55.798,1:43.228,1:42.618,1:41.485,1:40.996,1:40.577,1:41.051,1:40.724,1:41.195,1:41.032,1:41.060,1:41.158,1:41.491,1:41.649,2:01.362,1:44.511,1:39.686,1:38.980,1:40.667,1:40.627,1:39.629,1:39.895,1:39.615,1:39.911,1:40.019,1:39.785,1:39.782,1:40.467,1:40.040,1:40.656,1:40.083,1:41.013,1:40.122,1:39.669,1:39.459,1:39.109,1:39.476,1:39.720,1:39.882,1:39.474,1:39.372,1:40.610,1:39.625,1:39.476,1:39.593,1:39.411,1:39.871,1:42.541,1:39.503,1:40.406,1:40.632,1:39.400,
vettel,1:52.847,1:42.974,1:41.460,1:41.728,1:40.534,1:40.476,1:40.941,1:40.590,1:40.571,1:40.489,1:40.720,1:41.062,1:41.036,1:40.691,1:41.023,1:40.751,1:40.620,1:40.256,1:40.012,1:40.007,1:40.448,1:40.008,1:40.134,1:40.315,1:40.275,1:40.295,1:39.808,1:43.439,1:40.288,1:40.142,1:40.880,1:40.619,1:40.019,1:39.509,1:39.398,1:39.595,1:59.971,1:42.044,1:38.488,1:38.498,1:38.427,1:37.967,1:37.880,1:38.298,1:38.326,1:37.799,1:37.866,1:37.554,1:37.878,1:37.615,1:38.080,1:37.138,1:37.647
