Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53
alonso,1:50.690,1:42.370,1:40.797,1:41.498,1:40.733,1:40.604,1:40.749,1:40.907,1:40.544,1:40.802,1:43.221,1:41.151,1:42.744,1:41.370,1:41.883,1:41.443,1:41.145,2:01.622,1:41.935,1:39.372,1:39.278,1:39.378,1:39.951,1:39.644,1:39.894,1:39.824,1:38.842,1:40.018,1:39.534,1:40.623,1:39.902,1:39.502,1:38.918,1:38.554,1:38.716,1:40.008,1:39.064,1:38.981,1:39.412,1:39.203,1:38.463,1:38.633,1:37.783,1:37.646,1:38.141,1:37.991,1:38.087,1:38.180,1:38.572,1:38.783,1:38.292,1:38.613,1:39.455
bottas,1:46.833,1:40.188,1:39.822,1:39.889,1:39.293,1:38.604,1:39.510,1:39.229,1:39.264,1:39.018,1:39.290,1:40.266,1:39.473,1:39.406,1:39.864,1:39.239,1:59.129,1:40.235,1:36.960,1:37.488,1:37.514,1:37.377,1:37.922,1:37.642,1:37.799,1:39.013,1:38.071,1:38.291,1:38.629,1:38.713,1:38.982,1:38.831,1:38.346,1:37.702,1:38.392,1:38.111,1:38.188,1:37.862,1:38.016,1:38.738,1:38.724,1:38.247,1:37.612,1:39.479,1:39.073,1:38.719,1:37.695,1:38.768,1:41.084,1:39.226,1:38.322,1:38.440,1:37.860
gasly,1:50.025,1:41.402,1:41.048,1:40.899,1:40.313,1:40.032,1:40.629,1:40.547,1:40.680,1:41.339,1:41.002,1:41.284,1:41.170,1:41.219,1:41.761,1:41.027,2:01.423,1:41.971,1:38.878,1:39.434,1:40.017,1:40.019,1:41.144,1:39.930,1:40.126,1:40.414,1:40.197,1:40.760,1:40.839,1:39.839,1:39.851,1:39.257,1:39.119,1:39.334,1:39.598,1:39.638,1:39.242,1:38.962,1:38.933,1:38.783,1:38.561,1:38.446,1:38.190,1:38.103,1:38.177,1:38.400,1:38.656,1:38.130,1:38.525,1:38.530,1:38.642,1:38.732,1:39.189
giovinazzi,1:53.165,1:43.587,1:42.095,1:41.479,1:41.075,1:40.700,1:40.890,1:40.877,1:40.844,1:40.772,1:40.821,1:40.972,1:41.689,1:42.464,1:41.517,1:41.389,1:41.510,1:40.977,1:40.954,1:41.627,1:41.425,1:41.178,1:40.968,1:41.855,1:41.701,1:42.644,1:41.381,2:01.408,1:43.020,1:39.571,1:39.921,1:39.473,1:39.253,1:39.029,1:39.194,1:38.702,1:38.999,1:39.007,1:39.297,1:39.272,1:39.051,1:39.050,1:39.051,1:40.508,1:39.648,1:40.462,1:39.200,1:39.251,1:39.082,1:40.691,1:41.488,1:39.182,
hamilton,1:44.859,1:39.625,1:39.776,1:39.692,1:39.549,1:38.787,1:39.204,1:38.763,1:39.268,1:38.778,1:38.977,1:39.432,1:38.929,1:39.160,1:39.511,1:39.395,1:38.926,1:39.035,1:58.684,1:41.873,1:37.480,1:37.551,1:37.702,1:37.786,1:37.947,1:37.905,1:37.979,1:37.712,1:38.457,1:38.226,1:38.503,1:38.392,1:38.429,1:38.666,1:38.411,1:38.565,1:39.137,1:37.650,1:37.458,1:38.182,1:37.685,1:37.818,1:37.640,1:37.410,1:37.542,1:37.545,1:38.431,1:38.089,1:38.189,1:37.946,1:38.242,1:38.735,1:39.041
latifi,1:54.228,1:44.439,1:42.496,1:43.552,1:41.738,1:41.116,1:41.564,1:41.284,1:41.096,1:41.046,1:40.615,1:40.764,1:42.606,1:42.057,1:42.013,1:41.602,1:41.350,2:00.899,1:42.723,1:39.754,1:39.546,1:40.102,1:40.581,1:41.257,1:40.380,1:40.253,1:40.439,1:41.369,1:40.932,1:41.019,1:41.448,1:41.247,1:40.459,1:40.051,1:40.161,1:40.027,1:39.788,1:41.621,1:41.949,1:41.468,1:40.984,1:38.971,1:38.752,1:39.006,1:39.007,1:38.854,1:38.952,1:39.260,1:38.687,1:38.313,1:38.712,1:38.684,
leclerc,1:50.607,1:41.749,1:40.847,1:41.116,1:40.393,1:40.017,1:40.773,1:41.148,1:40.515,1:40.735,1:41.078,1:41.217,1:41.278,2:02.349,1:42.242,1:39.038,1:39.286,1:39.511,1:39.538,1:39.771,1:40.259,1:40.024,1:40.061,1:40.147,1:40.324,1:40.997,1:40.458,1:41.931,1:42.017,1:42.483,1:41.553,1:40.960,1:40.012,1:39.967,1:40.273,1:39.358,1:39.526,1:59.965,1:41.981,1:37.947,1:37.796,1:37.898,1:37.681,1:38.246,1:41.125,1:39.088,1:43.009,1:39.585,1:39.825,1:40.328,1:39.142,1:39.470,
max_verstappen,1:46.339,1:39.613,1:39.571,1:40.024,1:39.408,1:38.727,1:39.430,1:39.059,1:39.122,1:38.950,1:39.214,1:39.307,1:39.214,1:39.015,1:40.297,1:39.199,1:39.246,1:58.099,1:39.966,1:37.776,1:37.516,1:37.052,1:38.086,1:37.915,1:37.706,1:38.278,1:37.727,1:37.657,1:38.040,1:37.833,1:37.844,1:56.764,1:40.458,1:36.743,1:36.404,1:36.579,1:36.582,1:36.863,1:36.973,1:37.033,1:37.081,1:36.849,1:37.092,1:37.450,1:37.129,1:37.558,1:37.627,1:37.459,1:37.430,1:36.968,1:37.413,1:36.942,1:37.143
mazepin,1:57.026,1:44.607,1:42.672,1:42.601,1:42.001,1:41.805,1:41.831,1:42.003,1:41.289,1:41.864,1:41.579,1:41.809,1:41.816,1:42.379,1:43.792,1:42.828,1:42.600,1:41.893,1:42.506,1:43.532,1:41.897,1:41.800,1:42.412,1:42.032,1:41.332,1:41.914,1:41.268,1:41.417,1:41.808,1:41.792,2:01.696,1:46.710,1:39.904,1:39.317,1:39.574,1:39.691,1:39.589,1:40.043,1:40.232,1:39.849,1:40.155,1:40.101,1:39.888,1:39.573,1:39.916,1:40.511,1:40.216,1:40.796,1:41.480,1:41.065,1:40.251,1:43.340,
mick_schumacher,1:56.462,1:44.178,1:42.660,1:47.603,1:42.872,1:42.279,1:41.986,1:41.310,1:41.098,1:41.318,1:42.069,1:42.200,1:42.548,1:42.549,2:03.242,1:45.277,1:40.379,1:39.947,1:40.071,1:40.997,1:41.231,1:41.243,1:41.200,1:41.366,1:40.992,1:40.736,1:41.137,1:41.566,1:47.121,1:40.625,1:40.354,1:40.750,1:43.647,1:39.913,1:40.081,1:39.887,1:40.204,1:40.278,1:39.999,1:39.513,1:40.356,1:39.784,1:39.741,1:39.392,1:39.717,1:39.882,1:40.167,1:40.115,1:40.273,1:39.712,1:38.847,1:39.033,
