Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56,Lap 57,Lap 58,Lap 59,Lap 60,Lap 61,Lap 62,Lap 63
alonso,2:10.127,2:23.276,2:19.978,2:25.540,2:22.849,2:04.153,1:44.943,1:41.792,1:39.432,1:39.713,1:35.079,1:35.295,1:38.046,1:35.044,1:31.981,1:30.330,1:29.978,1:30.802,1:28.275,1:29.093,1:31.414,1:30.010,1:31.219,1:31.392,1:29.980,1:29.486,1:31.553,1:36.599,1:55.858,1:26.822,1:54.573,2:01.804,26:30.538,2:41.883,1:29.201,1:23.814,1:22.342,1:22.190,1:21.290,1:23.317,1:21.542,1:20.600,1:20.679,1:20.370,1:20.014,1:20.093,1:20.029,1:19.985,1:19.882,1:19.757,1:19.562,1:19.719,1:20.289,1:20.148,1:20.059,1:19.714,1:19.553,1:19.750,1:19.848,1:19.852,1:19.647,1:19.396,1:19.660
bottas,2:00.892,2:22.900,2:20.725,2:25.912,2:23.930,2:07.949,1:44.829,1:41.601,1:37.303,1:37.736,1:37.553,1:32.386,1:31.538,1:31.124,1:30.774,1:29.260,1:29.446,1:29.931,1:28.844,1:28.511,1:28.778,1:30.124,1:30.068,1:30.479,1:30.295,1:29.615,1:28.984,1:33.667,1:55.306,1:28.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasly,1:54.003,2:23.030,2:20.848,2:24.697,2:23.932,2:13.841,1:45.639,1:38.549,1:40.324,1:37.475,1:38.770,1:37.121,1:40.823,1:40.055,2:01.674,1:29.982,1:30.990,1:28.948,1:29.568,1:28.735,1:30.048,1:28.688,1:30.218,1:30.053,1:29.771,1:36.337,2:00.643,1:28.310,1:24.198,1:35.377,2:04.947,1:59.472,25:54.705,2:37.649,1:29.219,1:23.867,1:22.344,1:22.267,1:21.232,1:21.196,1:20.018,1:19.765,1:19.715,1:20.080,1:20.026,1:19.267,1:19.232,1:19.225,1:19.348,1:19.008,1:18.828,1:18.972,1:19.142,1:19.098,1:19.407,1:19.093,1:21.250,1:19.354,1:18.782,1:19.229,1:19.820,1:19.205,1:20.007
giovinazzi,2:05.332,2:23.868,2:20.385,2:26.814,2:23.313,2:04.766,1:45.362,1:41.536,1:38.446,1:36.764,1:37.105,1:36.193,1:34.176,1:31.684,1:31.168,1:30.411,1:29.378,1:29.283,1:29.946,1:29.746,1:29.854,1:30.082,1:30.485,1:30.155,1:29.089,1:32.546,1:32.995,1:57.324,1:25.859,1:23.033,1:52.900,2:16.380,26:31.250,2:50.353,1:29.248,1:23.368,1:22.181,1:21.999,1:21.562,1:26.123,1:43.562,1:20.675,1:20.293,1:20.392,1:20.615,1:20.448,1:20.186,1:20.282,1:19.690,1:19.763,1:19.934,1:19.706,1:19.756,1:19.707,1:19.694,1:22.056,1:19.470,1:19.761,1:19.574,1:19.549,1:19.765,1:19.483,
hamilton,1:42.572,2:28.397,2:21.831,2:21.660,2:25.146,2:18.618,1:39.225,1:34.591,1:31.302,1:30.100,1:28.724,1:28.592,1:28.250,1:28.029,1:27.072,1:26.578,1:27.501,1:26.640,1:27.021,1:26.959,1:28.283,1:29.277,1:28.421,1:28.139,1:28.842,1:27.073,1:26.959,1:30.425,1:53.281,1:23.138,2:47.042,2:47.378,26:30.280,2:59.588,1:28.464,1:23.218,1:20.972,1:21.444,1:19.479,1:19.303,1:19.206,1:18.332,1:18.648,1:18.615,1:18.716,1:18.406,1:18.538,1:18.868,1:19.154,1:17.858,1:18.512,1:19.001,1:18.805,1:19.206,1:17.950,1:18.505,1:18.622,1:18.957,1:18.534,1:16.702,1:18.824,1:18.787,1:18.038
leclerc,1:47.198,2:25.323,2:21.062,2:22.840,2:25.489,2:16.873,1:39.585,1:34.848,1:32.511,1:31.679,1:30.706,1:30.268,1:29.440,1:29.089,1:28.806,1:29.571,1:28.137,1:27.540,1:28.092,1:28.526,1:27.624,1:27.050,1:27.210,1:26.790,1:28.310,1:28.054,1:27.537,1:32.467,1:53.853,1:24.319,1:24.395,1:51.855,2:11.844,29:16.098,1:25.394,1:21.509,1:20.807,1:20.439,1:20.430,1:19.512,1:19.561,1:19.446,1:19.399,1:19.237,1:19.219,1:19.370,1:18.938,1:19.145,1:19.025,1:18.818,1:18.784,1:19.094,1:18.739,1:19.310,1:20.016,1:18.970,1:18.622,1:18.676,1:18.689,1:18.379,1:18.575,1:18.461,1:18.624
max_verstappen,1:38.603,2:29.163,2:23.247,2:20.332,2:25.691,2:20.804,1:36.303,1:32.925,1:30.953,1:30.130,1:29.168,1:28.814,1:28.119,1:27.740,1:27.059,1:26.597,1:26.605,1:27.002,1:27.068,1:27.097,1:28.626,1:28.257,1:29.532,1:29.794,1:28.967,1:28.182,1:31.736,1:51.252,1:24.169,1:26.433,1:22.954,1:44.215,2:24.051,29:32.740,1:23.743,1:21.006,1:20.353,1:19.726,1:19.579,1:18.935,1:18.786,1:18.680,1:18.529,1:18.403,1:18.284,1:18.011,1:18.161,1:18.087,1:18.171,1:18.576,1:18.158,1:17.963,1:17.937,1:17.766,1:17.803,1:17.909,1:18.396,1:18.032,1:17.993,1:17.524,1:18.261,1:17.526,1:17.972
mazepin,2:13.405,2:26.056,2:18.071,2:22.477,2:23.337,2:04.816,1:47.421,1:43.599,1:41.907,1:40.809,1:41.711,1:45.258,2:04.703,1:38.394,1:37.178,1:34.541,1:35.922,1:32.090,1:37.635,1:32.301,1:31.792,1:36.466,1:38.945,2:09.184,1:30.235,1:28.129,1:26.363,1:25.943,1:26.310,2:20.440,1:52.033,26:45.967,2:07.288,1:33.235,1:29.624,1:25.506,1:23.627,1:24.669,1:22.608,1:23.024,1:22.763,1:24.993,1:22.407,1:22.346,1:21.803,1:21.356,1:21.748,1:23.412,1:21.181,1:20.665,1:20.919,1:21.073,1:27.691,1:20.622,1:20.402,1:20.674,1:20.474,1:20.681,1:35.212,1:23.452,1:27.971,,
mick_schumacher,2:09.679,2:21.704,2:20.080,2:43.646,2:25.633,2:26.613,1:40.345,1:41.258,1:38.300,1:36.089,1:34.933,1:33.667,1:37.606,1:33.178,1:33.651,1:31.196,1:30.704,1:31.330,1:30.214,1:34.379,1:38.836,2:12.310,1:36.313,1:32.818,1:28.198,1:26.717,1:31.879,1:30.596,1:28.569,1:49.105,2:19.925,27:04.753,2:25.957,1:30.136,1:24.263,1:23.719,1:23.893,1:21.789,1:21.534,1:22.612,1:21.006,1:20.496,1:20.823,1:20.874,1:22.309,1:20.402,1:20.314,1:19.882,1:20.277,1:20.498,1:20.702,1:20.260,1:20.306,1:19.553,1:20.025,1:19.735,1:19.875,1:19.193,1:19.886,1:19.991,1:22.102,,
norris,1:59.977,2:22.471,2:19.843,2:27.079,2:21.984,2:10.516,1:44.428,1:38.389,1:34.898,1:33.029,1:32.971,1:31.482,1:31.918,1:29.719,1:30.113,1:28.964,1:27.946,1:27.101,1:27.049,1:27.419,1:27.988,1:28.538,1:28.908,1:28.592,1:29.157,1:29.051,1:28.315,1:32.204,1:52.737,1:24.987,1:33.211,2:08.260,1:56.233,28:39.827,1:23.618,1:21.800,1:20.748,1:20.578,1:19.946,1:19.745,1:19.386,1:19.591,1:19.484,1:19.352,1:19.388,1:19.205,1:18.979,1:18.984,1:19.025,1:19.074,1:18.838,1:18.950,1:18.787,1:19.053,1:18.717,1:18.756,1:18.653,1:18.951,1:18.659,1:19.342,1:18.557,1:18.571,1:18.259
