Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56
leclerc,1:44.832,1:42.605,1:41.743,1:41.504,1:41.759,1:41.722,1:42.576,1:42.048,1:42.567,1:41.953,1:42.440,1:42.593,1:42.328,1:41.866,1:42.183,1:44.010,1:42.847,1:42.450,1:42.726,1:43.822,2:06.846,1:40.133,1:40.400,1:39.740,1:39.719,1:39.361,1:39.578,1:39.636,1:39.763,1:39.839,1:39.492,1:39.804,1:39.742,1:39.806,1:40.515,1:40.580,1:40.782,1:40.689,1:40.487,1:40.666,1:41.016,1:42.087,2:01.196,1:36.169,1:40.235,1:39.026,1:38.543,1:38.685,1:38.600,1:38.897,1:38.649,1:38.464,1:38.223,1:38.475,1:40.523,1:40.952
max_verstappen,1:41.552,1:41.456,1:41.104,1:41.011,1:40.651,1:40.895,1:41.796,1:41.346,1:41.983,1:41.218,1:41.851,1:41.879,1:41.800,1:58.764,1:39.604,1:40.230,1:39.798,1:39.967,1:39.835,1:40.191,1:40.746,1:39.954,1:39.716,1:40.442,1:40.264,1:40.417,1:40.130,1:40.097,1:39.733,1:40.581,1:40.622,1:40.738,1:40.911,1:41.491,1:58.421,1:38.632,1:38.691,1:38.339,1:38.712,1:39.033,1:39.124,1:38.214,1:38.722,1:38.980,1:38.798,1:38.961,1:38.441,1:38.404,1:38.400,1:38.746,1:39.218,1:40.840,1:38.866,1:39.192,1:40.706,1:40.442
norris,1:45.748,1:43.433,1:42.971,1:42.311,1:42.262,1:42.148,1:42.774,1:44.128,1:43.391,1:43.095,1:43.430,1:43.161,1:42.847,1:42.722,1:42.832,1:43.079,1:42.807,1:43.427,1:43.932,2:02.548,1:40.378,1:40.865,1:41.833,1:41.823,1:40.921,1:41.066,1:40.808,1:40.569,1:40.908,1:42.418,1:41.645,1:41.727,1:41.343,1:41.181,1:43.253,1:42.039,1:41.271,1:41.447,1:41.612,1:41.714,1:41.395,1:41.685,2:00.657,1:38.074,1:39.129,1:39.164,1:39.127,1:39.531,1:39.745,1:39.168,1:39.996,1:38.803,1:39.036,1:39.264,1:39.643,1:40.133
perez,1:53.540,1:44.620,1:44.333,1:43.702,1:43.972,1:43.907,1:43.988,1:44.276,1:44.027,1:43.221,1:43.864,1:43.218,1:42.915,1:42.477,1:42.670,1:42.345,1:42.502,1:42.375,1:42.577,1:43.025,1:43.009,1:42.291,1:45.090,1:43.332,2:00.237,1:40.384,1:41.333,1:41.707,1:41.320,1:40.749,1:40.753,1:40.296,1:40.513,1:40.165,1:40.391,1:41.017,1:40.573,1:40.865,1:40.760,1:41.064,1:41.961,1:41.092,1:40.725,1:40.901,1:40.970,1:40.443,1:40.398,1:41.834,1:41.904,1:44.637,1:43.995,1:42.961,1:41.231,1:42.623,1:45.277,
raikkonen,1:49.596,1:44.351,1:43.889,1:43.358,1:43.231,1:43.322,1:43.436,1:43.950,1:42.570,1:43.376,1:43.173,1:43.179,1:42.997,1:43.091,1:43.272,1:42.974,1:43.366,1:43.841,2:00.963,1:42.603,1:42.057,1:41.731,1:41.851,1:42.006,1:42.502,1:41.795,1:41.849,1:41.266,1:41.696,1:41.577,1:41.242,1:41.461,1:41.467,1:41.666,1:41.353,1:41.810,1:41.106,1:41.324,1:41.140,1:43.467,1:59.597,1:41.254,1:41.107,1:39.928,1:41.796,1:39.608,1:41.084,1:41.261,1:40.941,1:40.327,1:40.229,1:40.054,1:41.240,1:40.852,1:41.098,
ricciardo,1:46.886,1:42.902,1:43.193,1:42.353,1:42.257,1:42.204,1:42.559,1:42.528,1:42.900,1:42.579,1:43.280,1:42.841,1:42.790,1:42.900,1:42.648,1:42.732,1:42.660,1:42.741,1:42.724,1:43.287,1:43.950,2:00.493,1:41.180,1:41.127,1:41.717,1:41.217,1:41.096,1:40.564,1:40.580,1:41.960,1:41.499,1:41.222,1:41.775,1:41.560,1:41.815,1:41.124,1:42.149,1:41.307,1:41.534,1:41.705,1:40.939,1:41.102,1:41.125,1:40.750,1:41.420,1:40.863,1:40.655,1:41.550,1:40.806,1:40.706,1:40.689,1:40.895,1:40.666,1:41.753,1:41.784,1:41.778
russell,1:54.574,1:46.387,1:44.934,1:44.650,1:44.732,1:44.009,1:44.049,1:45.502,1:44.370,1:44.490,1:44.732,1:44.492,1:44.227,1:44.064,1:44.492,1:44.456,1:44.365,1:46.719,1:44.933,1:45.349,1:46.602,1:46.039,1:45.801,2:01.880,1:41.628,1:41.309,1:43.584,1:41.706,1:42.365,1:42.166,1:41.679,1:42.259,1:42.573,1:42.856,1:42.772,1:42.574,1:42.449,1:44.323,1:42.389,1:42.148,1:42.810,1:42.973,1:42.917,1:44.044,1:45.293,1:44.238,2:06.179,1:41.599,1:44.762,1:43.790,1:44.404,1:47.476,1:41.785,1:41.239,,
sainz,1:48.208,1:44.543,1:43.318,1:42.688,1:42.757,1:43.048,1:43.306,1:43.326,1:43.010,1:43.061,1:43.493,1:43.554,1:43.350,1:42.936,1:43.413,1:43.330,1:43.408,1:43.713,2:00.820,1:41.763,1:41.094,1:41.453,1:41.242,1:41.535,1:41.233,1:40.895,1:41.508,1:41.167,1:40.993,1:41.463,1:42.756,1:41.456,1:41.258,1:41.176,1:41.640,1:41.482,1:41.323,1:41.060,1:41.181,1:41.133,1:41.252,1:41.227,1:40.911,1:40.844,1:42.478,1:41.425,1:40.906,1:41.239,1:41.572,1:41.261,1:41.708,1:43.291,1:41.721,1:44.691,1:45.582,
stroll,1:52.606,1:44.938,1:44.357,1:43.730,1:44.027,1:43.743,1:44.160,1:44.176,1:44.553,2:03.698,1:43.342,1:42.415,1:42.440,1:42.360,1:42.758,1:42.524,1:43.342,1:42.494,1:42.405,1:42.042,1:42.282,1:43.131,1:41.894,1:42.353,1:41.749,1:41.961,1:42.056,1:42.052,1:42.386,2:01.754,1:40.854,1:40.745,1:41.491,1:41.156,1:41.153,1:41.815,1:43.385,1:41.260,1:42.462,1:41.163,1:42.308,1:40.380,1:41.012,1:40.827,1:41.414,1:40.848,1:40.573,1:40.645,1:41.404,1:42.459,1:41.951,1:41.731,1:41.705,1:42.837,1:44.269,
vettel,1:46.688,1:44.089,1:43.091,1:42.300,1:42.194,1:42.165,1:42.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
