Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52
leclerc,1:37.570,1:35.314,1:36.624,2:01.142,1:34.170,1:34.705,1:35.658,1:35.647,1:35.977,1:37.379,1:36.921,1:36.978,1:36.975,1:36.009,1:36.718,1:35.812,1:37.155,1:35.660,1:35.276,1:35.193,1:35.373,1:35.332,1:35.425,1:35.980,1:39.203,1:53.364,1:33.687,1:33.973,1:34.248,1:34.724,1:34.949,1:34.194,1:34.022,1:35.362,1:33.160,1:32.794,1:32.785,1:33.293,1:33.311,1:33.579,1:33.573,1:33.471,1:33.858,1:33.799,1:35.286,1:36.816,1:55.048,1:31.611,1:33.305,1:34.190,1:35.133,
max_verstappen,1:46.658,1:38.122,1:37.608,1:38.075,1:37.396,1:37.461,1:37.378,1:37.789,1:37.922,1:37.249,1:37.318,1:37.371,1:37.724,1:39.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norris,1:40.013,1:36.708,1:36.235,1:39.822,1:56.571,1:35.655,1:34.748,1:35.780,1:37.543,1:35.801,1:36.151,1:36.641,1:37.103,1:37.578,1:36.068,1:36.842,1:36.560,1:36.083,1:36.111,1:35.848,1:36.612,1:36.552,1:37.348,1:37.777,1:41.533,1:58.225,1:34.756,1:35.207,1:36.078,1:36.062,1:34.116,1:35.189,1:36.276,1:35.882,1:35.326,1:35.158,1:37.283,1:34.529,1:35.731,1:35.356,1:34.746,1:36.368,1:34.428,1:34.515,1:34.480,1:34.957,1:36.011,1:34.997,1:34.895,1:35.040,1:35.210,
perez,1:42.821,1:37.455,1:37.096,1:36.568,1:36.947,1:36.530,1:36.193,1:36.296,1:36.123,1:36.401,1:36.657,1:36.755,1:36.533,1:36.631,1:37.809,1:36.513,1:36.792,1:36.785,1:39.894,1:54.627,1:35.407,1:35.573,1:35.758,1:35.559,1:37.647,1:36.044,1:35.644,1:35.017,1:34.881,1:36.033,1:35.868,1:35.259,1:35.698,1:35.297,1:35.278,1:35.474,1:35.473,1:35.609,1:35.728,1:35.295,1:38.643,1:52.784,1:33.336,1:33.560,1:32.747,1:32.621,1:32.846,1:33.455,1:33.950,1:35.361,1:36.894,
raikkonen,1:45.158,1:38.163,1:37.895,1:37.890,1:37.492,1:37.520,1:37.261,1:37.223,1:37.329,1:37.099,1:37.357,1:37.267,1:37.907,1:38.491,1:40.313,1:57.010,1:36.070,1:36.031,1:36.215,1:36.362,1:36.308,1:36.417,1:37.494,1:36.436,1:36.472,1:36.061,1:35.870,1:37.930,1:35.640,1:36.031,1:35.684,1:36.193,1:36.634,1:38.548,1:36.925,1:39.631,1:53.786,1:33.360,1:33.543,1:34.553,1:33.908,1:34.245,1:34.884,1:34.036,1:34.771,1:33.876,1:34.226,1:34.808,1:36.254,1:33.190,1:33.724,
ricciardo,1:45.391,1:38.216,1:37.625,1:36.741,1:36.183,1:36.123,1:35.567,1:36.083,1:36.034,1:36.061,1:36.165,1:36.548,1:36.459,1:36.236,1:36.168,1:36.544,1:36.536,1:36.807,1:36.331,1:36.046,1:37.325,1:36.721,1:36.795,1:36.570,1:37.066,1:37.431,1:37.328,1:37.491,1:40.221,1:54.884,1:34.297,1:34.112,1:34.124,1:34.303,1:34.254,1:34.649,1:34.713,1:34.669,1:34.658,1:34.885,1:34.366,1:35.067,1:35.199,1:35.337,1:33.965,1:36.782,1:36.151,1:33.481,1:34.563,1:34.178,1:34.009,
russell,1:47.714,1:38.422,1:37.739,1:38.117,1:37.568,1:38.082,1:38.802,1:37.938,1:38.335,1:38.982,1:38.220,1:38.287,1:38.477,1:38.527,1:38.185,1:38.175,1:37.752,1:37.437,1:37.396,1:37.027,1:37.461,1:37.449,1:40.934,1:39.143,1:40.548,1:57.869,1:35.458,1:35.603,1:35.626,1:35.741,1:36.961,1:35.940,1:35.977,1:35.780,1:35.795,1:36.250,1:37.624,1:36.087,1:36.549,1:36.591,1:36.034,1:36.166,1:38.643,1:38.120,1:37.329,1:37.007,1:36.878,1:38.237,1:37.883,1:37.113,,
sainz,1:39.200,1:36.089,1:36.075,1:35.988,1:35.933,1:35.855,1:35.597,1:35.962,1:35.879,1:36.094,1:36.037,1:36.063,1:35.888,1:36.199,1:36.124,1:36.298,1:36.132,1:37.100,1:36.461,1:36.180,1:36.526,1:37.029,1:36.415,1:36.693,1:36.983,1:40.522,1:54.282,1:34.646,1:34.604,1:34.975,1:34.614,1:34.220,1:34.623,1:34.623,1:34.413,1:34.197,1:33.864,1:33.789,1:33.804,1:33.608,1:33.708,1:33.592,1:33.677,1:33.741,1:34.037,1:33.563,1:33.691,1:34.362,1:34.029,1:34.097,1:33.955,1:33.820
stroll,1:41.898,1:37.142,1:36.700,1:36.597,1:36.406,1:36.043,1:36.135,1:36.381,1:36.415,1:36.239,1:36.456,1:36.464,1:36.473,1:36.469,1:36.824,1:36.599,1:36.947,1:39.403,1:55.171,1:35.622,1:36.293,1:36.246,1:36.360,1:37.205,1:36.373,1:34.713,1:35.115,1:35.322,1:35.750,1:35.758,1:35.698,1:35.597,1:36.182,1:35.807,1:35.751,1:35.599,1:35.436,1:35.568,1:35.416,1:35.312,1:35.449,1:35.396,1:35.345,1:36.306,1:36.153,1:36.587,1:36.928,1:37.765,1:37.212,1:36.892,1:37.482,
vettel,1:35.943,1:34.549,1:34.565,1:34.646,1:34.456,1:34.920,1:34.823,1:34.899,1:34.701,1:35.082,1:35.127,1:35.059,1:35.190,1:35.518,1:35.509,1:38.208,1:53.529,1:34.110,1:33.141,1:33.020,1:33.319,1:33.519,1:33.273,1:33.386,1:33.543,1:33.537,1:33.421,1:33.699,1:34.033,1:33.714,1:37.594,1:52.791,1:32.192,1:32.405,1:32.609,1:32.937,1:32.820,1:32.122,1:33.351,1:33.495,1:33.350,1:32.361,1:32.733,1:32.701,1:32.504,1:32.646,1:32.772,1:32.830,1:33.637,1:34.660,1:32.526,1:32.623
