Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52
albon,1:40.558,1:36.527,1:36.384,1:36.353,1:35.228,1:35.372,1:35.324,1:35.758,1:35.968,1:36.053,1:36.138,1:36.090,1:36.348,1:36.322,1:38.401,1:53.192,1:33.959,1:34.437,1:34.817,1:34.942,1:34.209,1:34.714,1:34.414,1:34.386,1:35.056,1:34.940,1:34.305,1:34.406,1:34.496,1:34.501,1:34.512,1:34.325,1:34.352,1:36.582,1:53.575,1:32.775,1:33.399,1:33.583,1:33.570,1:33.644,1:33.717,1:33.640,1:33.735,1:33.497,1:33.370,1:33.628,1:33.210,1:33.397,1:33.505,1:33.609,1:33.312,1:33.757
bottas,1:34.571,1:34.600,1:34.195,1:34.496,1:34.384,1:34.344,1:34.669,1:34.935,1:34.652,1:34.687,1:34.649,1:34.551,1:34.608,1:34.408,1:34.546,1:34.698,1:36.449,1:51.522,1:32.137,1:32.689,1:32.957,1:33.524,1:33.210,1:33.309,1:33.513,1:33.937,1:34.002,1:33.582,1:33.420,1:34.530,1:33.450,1:33.909,1:33.166,1:33.185,1:34.021,1:35.853,1:52.033,1:32.565,1:32.894,1:32.656,1:32.484,1:32.494,1:32.333,1:32.204,1:32.409,1:33.553,1:33.216,1:32.267,1:31.862,1:32.505,1:32.736,1:33.186
gasly,1:41.359,1:37.074,1:36.681,1:36.413,1:36.320,1:35.913,1:36.111,1:36.275,1:36.406,1:36.225,1:36.513,1:36.373,1:36.532,1:36.394,1:36.753,1:36.807,1:36.873,1:39.231,1:55.704,1:35.554,1:36.178,1:36.372,1:36.501,1:35.979,1:35.448,1:35.386,1:35.659,1:35.464,1:35.452,1:35.549,1:36.125,1:35.470,1:35.637,1:36.889,1:35.739,1:35.700,1:35.486,1:35.498,1:35.395,1:35.330,1:35.500,1:35.322,1:35.321,1:35.484,1:35.385,1:36.277,1:36.946,1:36.578,1:36.791,1:38.157,1:37.266,
giovinazzi,1:43.548,1:37.631,1:37.357,1:37.012,1:37.188,1:37.152,1:38.427,1:37.115,1:36.853,1:37.085,1:36.872,1:37.309,1:37.221,1:36.962,1:37.155,1:37.992,1:37.412,1:40.740,1:57.415,1:35.504,1:36.036,1:37.115,1:37.738,1:36.100,1:36.315,1:36.106,1:36.136,1:35.971,1:37.245,1:35.932,1:36.011,1:35.891,1:35.979,1:36.363,1:36.919,1:35.594,1:37.440,1:38.080,1:37.274,1:36.398,1:36.821,1:36.014,1:36.104,1:35.842,1:36.801,1:36.193,1:36.533,1:38.143,1:39.419,1:54.240,1:32.369,
grosjean,1:44.665,1:37.986,1:37.416,1:37.732,1:38.188,1:37.332,1:37.116,1:37.315,1:37.149,1:37.333,1:37.555,1:37.274,1:37.300,1:37.962,1:37.565,1:41.398,1:54.853,1:34.988,1:35.547,1:35.660,1:37.006,1:37.385,1:35.609,1:36.795,1:36.116,1:35.749,1:35.546,1:35.773,1:35.696,1:35.909,1:37.916,1:35.836,1:35.935,1:35.918,1:35.913,1:37.434,1:36.001,1:37.986,1:36.185,1:40.359,1:36.750,1:36.130,1:35.918,1:36.802,1:36.187,1:35.946,1:36.308,1:36.219,1:36.751,1:37.287,1:36.815,
hamilton,1:37.881,1:35.402,1:34.890,1:34.565,1:34.622,1:34.464,1:34.630,1:34.667,1:34.635,1:34.856,1:35.121,1:34.762,1:35.070,1:34.938,1:35.262,1:35.597,1:34.707,1:34.908,1:35.223,1:35.350,1:38.272,1:53.893,1:32.874,1:32.763,1:33.075,1:33.175,1:33.028,1:32.824,1:32.800,1:32.738,1:33.025,1:32.513,1:33.065,1:34.503,1:33.224,1:32.540,1:32.551,1:32.605,1:32.646,1:32.841,1:33.097,1:35.867,1:52.303,1:31.538,1:30.983,1:31.635,1:32.329,1:33.065,1:33.510,1:34.357,1:32.943,1:32.481
hulkenberg,1:42.139,1:37.446,1:36.985,1:36.748,1:36.494,1:36.316,1:36.172,1:36.261,1:36.421,1:36.392,1:36.398,1:36.814,1:36.319,1:36.298,1:36.702,1:36.525,1:36.704,1:37.024,1:38.582,1:56.138,1:35.725,1:35.799,1:36.243,1:36.130,1:36.621,1:37.673,1:34.928,1:35.096,1:35.116,1:35.273,1:36.431,1:35.339,1:35.377,1:35.324,1:35.560,1:35.497,1:35.235,1:35.508,1:35.564,1:35.318,1:35.318,1:35.350,1:35.316,1:36.483,1:36.985,1:35.391,1:34.921,1:35.990,1:37.445,1:37.154,1:37.792,
kevin_magnussen,1:44.206,1:37.920,1:37.315,1:37.217,1:37.143,1:38.286,1:37.436,1:37.244,1:37.202,1:37.318,1:36.991,1:37.333,1:37.490,1:37.199,1:38.582,1:37.700,1:40.843,1:56.677,1:36.402,1:36.347,1:36.474,1:36.806,1:37.191,1:36.545,1:36.656,1:36.431,1:36.402,1:37.846,1:36.190,1:36.169,1:37.943,1:38.538,1:36.577,1:36.576,1:35.950,1:36.032,1:37.338,1:36.103,1:36.226,1:35.927,1:36.209,1:36.150,1:35.959,1:36.235,1:37.950,1:36.827,1:38.974,1:57.551,1:31.732,1:33.807,1:33.223,
kubica,1:49.502,1:39.314,1:38.884,1:38.735,1:39.209,1:39.326,1:40.013,1:39.422,1:39.057,1:39.224,1:39.391,1:39.513,1:39.082,1:38.812,1:38.712,1:39.329,1:38.953,1:39.205,1:39.616,1:39.245,1:40.732,1:42.435,2:03.231,1:37.065,1:37.742,1:38.261,1:38.277,1:38.620,1:39.546,1:38.553,1:43.629,1:38.398,1:43.586,1:57.831,1:38.179,1:36.345,1:37.112,1:37.649,1:38.871,1:37.620,1:37.438,1:36.495,1:36.537,1:36.332,1:37.866,1:37.730,1:37.510,1:37.062,1:38.753,1:37.889,,
kvyat,1:45.922,1:38.223,1:37.498,1:37.785,1:37.565,1:37.659,1:37.013,1:37.393,1:37.248,1:37.359,1:38.089,1:37.436,1:37.217,1:36.894,1:36.909,1:36.737,1:35.923,1:36.519,1:36.226,1:36.032,1:37.696,1:36.605,1:37.108,1:36.988,1:38.450,1:38.486,1:42.118,1:55.952,1:34.228,1:35.324,1:35.133,1:34.777,1:36.754,1:35.666,1:34.912,1:34.997,1:36.797,1:36.034,1:36.231,1:35.727,1:34.883,1:34.970,1:34.172,1:34.370,1:34.418,1:34.369,1:33.239,1:33.692,1:33.655,1:33.712,1:34.005,
