Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56,Lap 57,Lap 58,Lap 59,Lap 60,Lap 61,Lap 62,Lap 63,Lap 64,Lap 65,Lap 66,Lap 67,Lap 68,Lap 69,Lap 70,Lap 71
albon,1:33.730,1:48.294,1:26.946,1:21.855,1:22.050,1:21.920,1:22.283,1:21.715,1:22.066,1:21.568,1:21.467,1:21.770,1:21.506,1:24.888,1:43.709,1:20.804,1:21.127,1:21.400,1:21.195,1:20.892,1:20.774,1:20.855,1:20.990,1:21.273,1:21.621,1:21.684,1:21.387,1:20.962,1:20.989,1:21.168,1:21.906,1:20.362,1:21.445,1:21.297,1:20.965,1:21.275,1:20.854,1:20.721,1:20.868,1:20.628,1:21.035,1:20.498,1:20.355,1:23.717,1:39.678,1:19.800,1:19.748,1:19.325,1:19.722,1:20.195,1:20.059,1:20.096,1:19.414,1:20.021,1:19.935,1:19.617,1:19.806,1:19.936,1:20.349,1:20.411,1:20.272,1:20.062,1:19.764,1:19.771,1:19.498,1:19.671,1:20.068,1:19.692,1:20.070,1:20.724,1:23.785
bottas,1:42.468,1:45.335,1:25.853,1:24.710,1:22.151,1:22.230,1:22.767,1:21.164,1:21.665,1:21.741,1:21.621,1:21.364,1:21.414,1:21.521,1:21.309,1:21.217,1:21.080,1:21.379,1:21.227,1:21.063,1:21.020,1:21.208,1:21.481,1:20.809,1:20.952,1:21.741,1:21.238,1:21.157,1:21.530,1:20.704,1:20.943,1:20.785,1:20.918,1:21.262,1:21.800,1:26.341,1:39.510,1:21.108,1:20.431,1:20.082,1:20.076,1:20.365,1:20.278,1:20.422,1:20.206,1:20.380,1:20.059,1:20.534,1:19.995,1:20.103,1:19.972,1:20.300,1:20.057,1:20.774,1:20.559,1:20.614,1:20.988,1:20.728,1:20.453,1:19.956,1:20.025,1:19.660,1:19.702,1:19.896,1:19.798,1:19.494,1:19.950,1:19.563,1:19.504,1:19.706,1:20.041
gasly,1:46.554,1:45.315,1:24.721,1:23.770,1:25.163,1:23.121,1:23.617,1:24.988,1:26.599,1:41.098,1:24.006,1:22.363,1:23.140,1:23.025,1:22.871,1:24.571,1:23.969,1:22.539,1:22.552,1:22.269,1:22.535,1:23.916,1:22.643,1:22.200,1:23.719,1:22.249,1:22.126,1:21.949,1:21.995,1:22.360,1:22.476,1:22.720,1:23.233,1:25.152,1:26.161,1:22.649,1:21.582,1:21.429,1:21.380,1:21.250,1:21.273,1:21.303,1:21.102,1:20.988,1:21.212,1:21.008,1:20.987,1:20.834,1:24.263,1:39.718,1:20.205,1:20.570,1:19.530,1:20.532,1:20.266,1:20.414,1:20.375,1:20.731,1:22.552,1:21.680,1:20.618,1:20.590,1:20.743,1:20.726,1:20.024,1:19.980,1:19.917,1:19.601,1:19.941,1:20.533,
giovinazzi,1:51.260,1:44.988,1:23.682,1:23.588,1:24.749,1:23.832,1:23.599,1:23.899,1:25.422,1:23.498,1:23.368,1:23.286,1:22.977,1:23.210,1:23.396,1:23.363,1:22.804,1:23.088,1:22.871,1:22.414,1:25.767,2:04.178,1:21.599,1:21.771,1:21.908,1:22.346,1:24.013,1:23.605,1:23.922,1:22.555,1:22.167,1:22.466,1:24.456,1:22.186,1:22.406,1:24.489,1:22.863,1:22.322,1:22.244,1:22.164,1:21.938,1:21.816,1:21.745,1:21.549,1:21.358,1:23.823,1:21.547,1:21.403,1:21.339,1:21.491,1:21.485,1:21.261,1:21.230,1:21.554,1:21.035,1:21.162,1:21.498,1:21.217,1:21.198,1:21.524,1:21.376,1:21.580,1:21.504,1:21.309,1:21.014,1:21.746,1:21.511,1:21.594,1:21.676,1:21.952,
grosjean,1:55.895,1:44.883,1:25.587,1:24.664,1:25.783,1:24.548,1:25.065,1:24.644,1:24.394,1:24.147,1:23.733,1:24.135,1:24.382,1:25.270,1:25.051,1:24.979,1:25.117,1:25.449,1:24.500,1:24.505,1:24.474,1:24.453,1:26.240,1:23.679,1:24.053,1:25.271,1:23.316,1:25.906,1:25.692,1:24.192,1:24.545,1:24.680,1:26.489,1:24.027,1:24.143,1:24.195,1:27.602,1:43.477,1:21.955,1:21.671,1:21.687,1:21.704,1:21.937,1:21.906,1:22.197,1:22.431,1:21.892,1:24.015,1:22.287,1:26.802,1:22.400,1:29.061,1:24.378,1:22.062,1:24.082,1:23.364,1:22.408,1:22.339,1:21.986,1:24.246,1:22.362,1:23.055,1:22.630,1:22.901,1:21.679,1:21.929,1:22.778,1:21.581,1:21.906,,
hamilton,1:39.041,1:46.004,1:26.482,1:21.275,1:21.982,1:21.641,1:21.830,1:21.815,1:21.854,1:21.626,1:22.127,1:21.616,1:21.096,1:21.426,1:20.660,1:21.185,1:21.264,1:21.012,1:21.313,1:21.253,1:21.008,1:21.111,1:24.334,1:38.903,1:19.926,1:20.993,1:20.975,1:20.584,1:21.330,1:21.611,1:21.185,1:21.064,1:21.252,1:21.279,1:21.274,1:21.352,1:21.463,1:20.968,1:21.210,1:21.123,1:20.992,1:21.015,1:21.255,1:20.892,1:20.785,1:20.822,1:20.872,1:20.332,1:20.239,1:20.138,1:20.111,1:20.109,1:20.375,1:20.881,1:20.419,1:20.919,1:20.856,1:20.511,1:20.088,1:19.889,1:19.640,1:20.213,1:20.211,1:19.775,1:19.528,1:19.461,1:19.461,1:19.750,1:19.848,1:19.949,1:20.121
hulkenberg,1:49.482,1:44.596,1:24.491,1:23.537,1:24.707,1:23.371,1:23.330,1:24.345,1:23.556,1:22.691,1:22.730,1:22.860,1:22.647,1:22.812,1:23.129,1:22.879,1:22.755,1:25.709,1:41.285,1:22.511,1:23.249,1:22.586,1:22.265,1:22.315,1:22.790,1:22.066,1:22.247,1:23.252,1:21.720,1:24.141,1:22.195,1:22.173,1:22.043,1:21.899,1:22.234,1:22.084,1:21.867,1:21.548,1:21.694,1:21.492,1:21.778,1:21.520,1:21.410,1:21.656,1:21.406,1:21.678,1:21.878,1:21.596,1:21.411,1:21.901,1:21.536,1:21.405,1:21.081,1:21.370,1:21.162,1:20.928,1:21.031,1:21.060,1:20.791,1:21.105,1:21.252,1:21.333,1:26.007,1:23.476,1:20.974,1:20.974,1:21.123,1:20.809,1:21.244,1:32.337,
kevin_magnussen,1:53.852,1:44.753,1:23.558,1:23.836,1:24.327,1:23.911,1:24.084,1:24.214,1:24.394,1:24.213,1:24.019,1:23.699,1:24.070,1:23.843,1:24.370,1:24.090,1:23.973,1:24.061,1:23.565,1:25.556,1:25.605,1:29.520,1:24.917,1:23.802,1:23.704,1:23.626,1:25.236,1:26.623,1:42.017,1:22.032,1:21.792,1:22.934,1:23.196,1:22.128,1:22.628,1:22.557,1:22.611,1:22.412,1:22.653,1:22.373,1:22.453,1:22.680,1:22.322,1:22.185,1:22.147,1:22.213,1:22.010,1:21.903,1:21.863,1:21.689,1:21.869,1:21.804,1:21.682,1:21.945,1:21.896,1:21.938,1:21.964,1:21.904,1:21.992,1:22.146,1:21.898,1:24.236,1:21.968,1:21.912,1:21.744,1:21.806,1:25.008,1:22.357,1:24.201,,
kubica,1:54.406,1:45.241,1:24.811,1:24.893,1:24.850,1:24.661,1:24.656,1:24.252,1:24.087,1:23.907,1:24.082,1:24.278,1:23.967,1:24.217,1:24.444,1:26.806,1:24.964,1:26.478,1:25.234,1:24.407,1:27.295,1:44.260,1:24.546,1:24.717,1:24.829,1:23.373,1:23.340,1:23.610,1:23.703,1:23.402,1:23.422,1:23.388,1:23.631,1:23.654,1:23.856,1:25.080,1:23.267,1:23.095,1:23.235,1:23.125,1:23.024,1:23.076,1:23.055,1:22.907,1:23.890,1:24.740,1:22.615,1:22.759,1:22.495,1:23.077,1:22.464,1:24.142,1:22.812,1:22.646,1:27.982,1:24.265,1:22.985,1:22.866,1:25.460,1:26.156,1:41.130,1:21.041,1:20.696,1:21.268,1:21.413,1:21.984,1:22.096,1:22.292,1:21.290,,
kvyat,1:45.296,1:44.845,1:25.415,1:23.515,1:24.112,1:23.297,1:23.423,1:23.278,1:24.154,1:27.899,1:42.242,1:21.909,1:23.069,1:22.508,1:22.498,1:22.806,1:22.571,1:22.308,1:22.502,1:22.279,1:22.390,1:23.784,1:22.358,1:22.200,1:22.060,1:22.182,1:21.891,1:21.809,1:21.670,1:21.712,1:21.446,1:21.956,1:22.109,1:21.674,1:21.956,1:21.973,1:21.627,1:23.197,1:21.631,1:21.596,1:21.640,1:22.432,1:22.036,1:24.795,1:38.657,1:20.426,1:19.990,1:19.905,1:20.194,1:20.439,1:20.991,1:21.563,1:21.737,1:21.116,1:21.765,1:22.760,1:25.721,1:21.793,1:21.595,1:20.894,1:20.986,1:20.194,1:20.778,1:20.164,1:19.986,1:20.104,1:20.017,1:20.177,1:20.980,1:24.139,
