Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44
albon,2:38.022,2:59.118,2:57.787,2:44.218,1:54.723,1:53.203,1:52.646,1:51.875,1:51.648,1:52.049,1:52.372,1:52.123,1:51.788,1:52.060,1:50.668,1:50.926,1:50.287,1:50.961,1:50.963,1:50.960,1:50.569,1:51.452,1:54.745,2:03.306,1:47.952,1:48.192,1:49.488,1:50.338,1:49.683,1:49.479,1:49.338,1:49.969,1:50.148,1:50.021,1:48.452,1:48.229,1:47.627,1:47.954,1:47.824,1:47.725,1:47.507,1:48.085,1:48.987,1:51.568
bottas,2:22.327,2:59.015,3:00.377,2:52.685,1:51.747,1:50.308,1:50.087,1:50.057,1:50.022,1:49.735,1:49.342,1:49.658,1:49.462,1:49.313,1:49.448,1:49.417,1:49.228,1:49.575,1:49.270,1:49.133,1:49.209,1:49.511,1:53.827,2:01.594,1:46.551,1:46.610,1:46.465,1:46.784,1:46.853,1:47.485,1:47.353,1:47.661,1:49.020,1:47.067,1:47.231,1:47.117,1:47.045,1:47.470,1:47.729,1:47.971,1:48.636,1:48.480,1:49.166,1:51.254
gasly,2:32.560,2:57.729,2:58.991,2:47.745,1:53.821,1:52.475,1:52.508,1:52.155,1:51.718,1:52.403,1:50.616,1:50.792,1:54.888,2:03.004,1:50.007,1:51.464,1:51.501,1:51.530,1:51.051,1:49.769,1:49.700,1:49.836,1:49.887,1:51.401,1:50.239,1:50.116,1:50.569,1:50.697,1:50.610,1:50.910,1:51.939,1:51.417,1:51.120,1:50.520,1:51.055,1:51.212,1:51.760,1:51.942,1:50.045,1:50.312,1:49.832,1:49.840,1:52.140,1:51.052
giovinazzi,2:36.641,2:58.487,2:57.885,2:45.464,1:54.219,1:53.030,1:52.583,1:51.888,1:51.626,1:52.265,1:52.388,1:52.463,1:51.832,1:50.963,1:50.887,1:51.011,1:50.717,1:50.723,1:50.790,1:51.658,1:50.675,1:50.810,1:50.754,1:51.071,1:50.629,1:50.483,1:50.356,1:50.688,1:55.984,2:02.709,1:47.560,1:48.305,1:48.611,1:50.652,1:50.470,1:51.083,1:50.552,1:50.202,1:48.742,1:48.321,1:48.411,1:48.209,,
grosjean,2:27.158,2:57.387,2:59.924,2:51.103,1:53.210,1:51.641,1:51.347,1:51.372,1:51.400,1:51.145,1:51.174,1:50.783,1:50.868,1:51.291,1:51.280,1:55.696,2:05.056,1:49.274,1:49.945,1:50.492,1:50.553,1:50.576,1:50.944,1:52.120,1:50.753,1:50.375,1:50.846,1:50.726,1:50.537,1:51.046,1:50.899,1:50.783,1:53.067,1:51.734,1:51.735,1:51.002,1:51.607,1:52.002,1:51.703,1:53.350,1:56.233,1:50.877,1:54.374,
hamilton,2:21.040,2:59.080,3:00.668,2:53.126,1:50.799,1:50.170,1:49.960,1:49.511,1:49.678,1:49.858,1:49.633,1:49.451,1:49.355,1:49.234,1:49.286,1:48.946,1:48.921,1:49.119,1:49.239,1:49.090,1:48.746,1:53.415,2:02.954,1:46.580,1:46.859,1:46.731,1:46.674,1:46.991,1:48.251,1:47.621,1:48.497,1:47.117,1:47.776,1:47.445,1:46.911,1:47.039,1:46.823,1:47.469,1:47.398,1:47.392,1:47.546,1:48.131,1:47.694,1:48.467
hulkenberg,2:38.998,2:59.244,2:58.151,2:42.910,1:53.956,1:53.132,1:52.574,1:51.845,1:51.683,1:52.211,1:56.421,2:03.333,1:49.466,1:50.837,1:49.725,1:50.494,1:51.818,1:50.807,1:52.426,1:49.762,1:50.272,1:50.051,1:50.395,1:50.033,1:50.143,1:50.200,1:50.254,1:50.345,1:51.187,1:50.381,1:55.785,2:02.737,1:48.532,1:48.349,1:48.504,1:48.940,1:49.072,1:49.244,1:50.613,1:51.018,1:48.423,1:48.479,1:49.622,1:49.977
kevin_magnussen,2:29.294,2:56.759,2:59.433,2:50.725,1:53.612,1:52.095,1:52.238,1:52.024,1:52.226,1:53.020,1:52.922,1:53.220,1:52.442,1:53.835,1:52.445,1:53.110,1:52.122,1:54.534,1:53.445,1:52.482,1:52.665,1:51.420,1:51.373,1:51.934,1:56.060,2:03.526,1:48.744,1:49.885,1:50.907,1:49.284,1:48.699,1:48.747,1:48.677,1:49.046,1:48.722,1:48.836,1:49.084,1:49.205,1:49.513,1:50.873,1:53.525,1:49.848,1:49.854,
kubica,2:43.210,2:58.771,2:57.429,2:40.983,1:55.637,1:55.171,1:54.315,1:53.307,1:52.615,1:52.480,1:52.047,1:52.756,1:52.668,1:54.267,1:53.968,1:52.776,1:52.555,1:52.718,1:52.420,1:52.204,1:52.024,1:52.153,1:52.304,1:52.207,1:52.100,1:52.055,1:52.046,1:53.446,1:52.215,1:52.666,1:56.608,2:06.038,1:49.220,1:49.781,1:49.834,1:51.452,1:51.415,1:50.684,1:50.326,1:50.648,1:50.226,1:50.384,1:51.832,
kvyat,2:35.504,2:58.103,2:58.429,2:45.928,1:54.167,1:52.687,1:52.631,1:52.031,1:51.698,1:52.262,1:52.373,1:52.339,1:50.534,1:51.328,1:50.978,1:50.730,1:50.861,1:50.837,1:50.562,1:50.687,1:51.448,1:50.791,1:50.743,1:54.845,2:02.570,1:48.143,1:48.722,1:50.125,1:48.977,1:50.137,1:50.401,1:50.769,1:50.322,1:48.926,1:48.831,1:48.696,1:49.976,1:49.448,1:49.184,1:49.229,1:49.255,1:49.311,1:49.439,1:50.410
leclerc,2:17.550,2:59.316,3:02.193,2:53.507,1:49.685,1:49.558,1:49.488,1:49.452,1:50.091,1:49.668,1:49.398,1:49.004,1:48.917,1:49.112,1:48.980,1:49.015,1:49.305,1:49.325,1:49.263,1:48.948,1:53.378,2:02.395,1:46.664,1:47.162,1:47.382,1:48.143,1:47.227,1:47.008,1:47.014,1:47.301,1:47.414,1:47.434,1:47.175,1:47.319,1:47.216,1:47.195,1:47.560,1:47.647,1:47.944,1:48.546,1:48.730,1:48.659,1:48.378,1:49.044
norris,2:25.499,2:57.783,2:59.789,2:51.798,1:52.573,1:51.512,1:51.359,1:51.347,1:51.133,1:50.700,1:50.646,1:50.536,1:50.203,1:49.979,1:50.120,1:50.272,1:51.343,1:50.568,1:54.592,2:03.752,1:48.321,1:49.030,1:48.956,1:49.243,1:49.177,1:49.053,1:48.743,1:49.156,1:48.997,1:49.531,1:49.099,1:49.129,1:49.380,1:49.216,1:48.918,1:49.431,1:49.462,1:49.459,1:49.348,1:49.808,1:49.352,1:49.161,1:53.274,
perez,2:30.965,2:56.700,2:58.963,2:49.843,1:53.860,1:52.270,1:52.374,1:52.102,1:51.914,1:50.368,1:50.811,1:50.289,1:50.155,1:50.556,1:55.359,2:05.910,1:50.319,1:50.340,1:49.812,1:49.634,1:50.387,1:50.486,1:50.733,1:50.106,1:50.746,1:49.409,1:49.673,1:49.754,1:48.781,1:49.720,1:49.610,1:49.629,1:49.466,1:49.557,1:49.052,1:49.132,1:49.344,1:49.928,1:49.336,1:49.435,1:49.436,1:49.483,1:49.161,1:55.250
raikkonen,2:47.682,3:01.672,2:53.331,2:38.657,1:55.297,1:53.188,1:52.685,1:52.521,1:51.913,1:52.068,1:51.910,1:52.016,1:52.465,1:52.201,1:52.274,1:52.394,1:54.071,1:54.005,1:53.418,1:52.503,1:51.828,1:52.136,1:52.527,1:52.784,1:52.555,1:52.188,1:52.446,1:53.064,1:53.100,1:53.666,1:57.882,2:09.169,1:48.844,1:49.812,1:49.774,1:51.165,1:48.753,1:49.903,1:49.471,1:50.205,1:49.577,1:49.299,1:53.008,
ricciardo,2:45.793,2:57.865,2:56.369,2:40.807,1:54.244,1:52.615,1:52.921,1:51.762,1:51.723,1:51.782,1:52.458,1:52.063,1:52.221,1:52.214,1:52.149,1:50.744,1:51.018,1:50.958,1:50.619,1:50.584,1:50.451,1:50.735,1:50.703,1:50.671,1:50.969,1:51.792,1:50.718,1:50.598,1:50.837,1:50.897,1:50.884,1:50.913,1:51.112,1:52.827,1:51.187,1:50.815,1:51.520,1:52.727,1:52.719,1:53.188,1:55.168,1:57.564,1:58.562,
russell,2:41.046,2:59.793,2:57.357,2:41.768,1:54.692,1:54.079,1:54.862,1:52.810,1:52.233,1:52.410,1:52.046,1:52.194,1:51.983,1:52.202,1:52.540,1:52.373,1:54.276,1:53.222,1:53.089,1:52.668,1:52.161,1:52.364,1:52.499,1:52.179,1:52.258,1:52.349,1:52.696,1:52.985,1:53.333,1:58.040,2:03.248,1:49.307,1:49.003,1:48.860,1:48.973,1:49.053,1:49.330,1:49.676,1:50.100,1:50.922,1:49.925,1:49.293,1:51.056,
sainz,3:14.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stroll,2:33.516,2:58.539,2:58.192,2:47.187,1:54.081,1:52.757,1:52.400,1:52.012,1:51.823,1:52.352,1:52.233,1:51.336,1:50.851,1:55.009,2:03.672,1:49.556,1:51.857,1:53.506,1:50.562,1:51.248,1:50.037,1:50.170,1:50.156,1:50.019,1:50.033,1:49.744,1:50.745,1:50.253,1:50.418,1:54.898,2:05.390,1:48.517,1:48.394,1:48.357,1:48.407,1:48.562,1:49.070,1:49.480,1:50.079,1:51.250,1:49.152,1:49.013,1:49.758,1:50.957
vettel,2:20.088,2:58.415,3:01.412,2:53.410,1:50.498,1:49.840,1:49.459,1:49.969,1:49.986,1:49.819,1:49.602,1:49.237,1:49.249,1:49.341,1:53.829,2:02.264,1:47.087,1:48.165,1:48.049,1:47.870,1:47.586,1:47.829,1:47.956,1:48.238,1:48.349,1:48.691,1:49.809,1:47.922,1:48.261,1:48.067,1:48.932,1:49.831,1:53.728,2:02.166,1:47.890,1:46.409,1:46.730,1:46.570,1:46.767,1:47.462,1:47.070,1:46.785,1:49.008,1:52.487
