Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56,Lap 57,Lap 58,Lap 59,Lap 60,Lap 61
leclerc,1:49.604,1:48.967,1:48.579,1:49.409,1:49.357,1:49.685,1:49.298,1:49.570,1:49.773,1:49.677,1:49.283,1:49.405,1:49.400,1:49.355,1:48.754,1:48.303,1:47.825,1:49.011,1:49.610,1:57.053,2:07.019,1:46.564,1:46.975,1:47.472,1:47.892,1:47.810,1:48.671,1:49.033,1:47.554,1:48.331,1:48.220,1:48.534,1:46.678,1:45.250,1:45.054,1:59.170,2:42.833,2:46.442,2:45.185,2:49.997,1:47.032,1:46.126,1:45.525,2:06.894,2:46.478,2:43.551,2:52.684,1:46.818,1:45.731,2:02.467,2:52.185,1:45.547,1:45.186,1:45.418,1:45.179,1:45.328,1:45.264,1:45.246,1:44.723,1:45.276,1:47.048
max_verstappen,1:52.184,1:49.305,1:48.783,1:49.358,1:49.004,1:49.939,1:49.529,1:49.099,1:49.893,1:49.867,1:49.718,1:49.162,1:49.300,1:49.357,1:49.037,1:49.237,1:48.466,1:49.640,1:58.383,2:06.460,1:45.881,1:45.659,1:46.576,1:47.188,1:47.649,1:47.771,1:48.627,1:49.156,1:48.874,1:47.479,1:48.405,1:48.095,1:48.368,1:45.929,1:45.253,2:03.047,2:37.382,2:45.858,2:44.302,2:49.918,1:47.602,1:46.213,1:45.866,2:07.206,2:45.674,2:44.465,2:51.174,1:47.463,1:45.903,2:02.792,2:51.187,1:46.212,1:45.468,1:45.457,1:45.275,1:45.176,1:45.199,1:45.196,1:45.483,1:45.262,1:46.077
norris,1:57.650,1:49.722,1:49.100,1:49.311,1:48.651,1:49.089,1:49.611,1:49.384,1:49.681,1:49.759,1:49.354,1:49.593,1:49.474,1:48.892,1:48.806,1:48.943,1:49.567,1:49.360,1:49.470,1:57.538,2:09.272,1:46.952,1:47.329,1:46.780,1:46.961,1:47.469,1:48.326,1:48.618,1:47.717,1:48.376,1:49.273,1:49.010,1:47.867,1:51.454,1:49.563,2:11.058,2:30.393,2:28.496,2:48.192,2:43.585,1:49.647,1:48.181,1:47.435,2:09.272,2:41.281,2:45.418,2:46.547,1:49.253,1:47.471,2:09.407,2:42.037,1:47.525,1:46.692,1:46.387,1:46.096,1:46.239,1:46.127,1:45.716,1:45.998,1:45.853,1:46.208
perez,2:02.205,1:53.048,1:52.061,1:49.709,1:49.951,1:49.642,1:49.741,1:48.462,1:49.264,1:51.992,1:51.100,1:50.165,1:55.228,2:06.476,1:46.683,1:51.518,1:52.141,1:48.218,1:47.314,1:46.846,1:48.101,1:48.306,1:50.985,1:47.649,1:47.415,1:47.598,1:47.549,1:47.522,1:47.827,1:47.433,1:47.876,1:47.705,1:47.719,1:49.050,1:48.678,2:11.374,2:33.182,2:24.593,2:47.496,2:41.742,1:51.346,1:49.119,,,,,,,,,,,,,,,,,,,
raikkonen,2:00.020,1:50.939,1:50.595,1:50.258,1:50.073,1:48.973,1:49.402,1:49.710,1:49.459,1:49.883,1:49.412,1:50.189,1:49.142,1:49.521,1:57.122,2:11.933,1:47.370,1:47.062,1:48.789,1:47.822,1:48.858,1:49.801,1:48.050,1:47.426,1:47.337,1:47.194,1:48.092,1:47.514,1:47.462,1:48.005,1:47.536,1:47.968,1:48.000,1:51.455,1:48.992,2:11.506,2:32.875,2:24.924,2:47.412,2:43.073,1:50.648,1:48.975,1:48.488,2:11.191,2:38.408,2:45.397,2:44.445,1:52.349,1:50.656,,,,,,,,,,,,
ricciardo,2:02.741,1:52.791,1:49.614,1:49.404,1:50.190,1:49.688,1:49.128,1:48.605,1:49.506,1:52.292,1:48.417,1:48.291,1:48.633,1:49.279,1:49.707,1:48.106,1:48.687,1:49.770,1:48.015,1:48.722,1:48.025,1:48.391,1:48.679,1:48.567,1:48.634,1:48.918,1:48.416,1:48.508,1:50.207,1:48.710,1:51.705,1:49.013,1:54.035,2:29.217,2:13.316,2:33.342,2:30.364,1:58.951,2:11.454,2:34.560,1:52.720,1:47.808,1:49.289,2:14.886,2:36.473,2:44.725,2:40.914,1:53.831,1:49.076,2:10.554,2:35.039,1:51.264,1:46.870,1:46.797,1:45.915,1:46.211,1:47.001,1:47.657,1:47.371,1:47.992,1:54.336
russell,2:23.654,2:19.141,1:48.458,1:48.407,1:48.428,1:48.564,1:48.964,1:49.118,1:49.164,1:49.229,1:48.965,1:49.074,1:48.843,1:49.178,1:49.207,1:49.021,1:50.176,1:49.899,1:49.842,1:50.302,1:51.458,1:49.519,1:49.233,1:48.944,1:48.993,1:49.111,1:48.563,1:48.642,1:48.285,1:49.226,1:49.602,1:49.192,1:48.967,1:48.733,,,,,,,,,,,,,,,,,,,,,,,,,,,
sainz,2:44.711,3:08.020,1:49.891,1:51.442,1:50.582,1:52.237,1:50.802,1:50.815,1:52.419,1:48.976,1:50.535,1:49.322,1:48.672,1:48.596,1:48.484,1:48.545,1:48.938,1:49.927,1:51.128,1:55.225,1:56.710,1:48.317,1:48.953,1:48.769,1:48.517,1:48.535,1:48.735,1:49.089,1:49.511,1:48.968,1:49.016,1:49.251,1:50.057,1:50.864,2:25.999,2:46.627,1:51.539,2:08.887,1:46.438,1:46.524,1:45.969,1:45.983,1:47.244,2:18.416,2:30.889,2:34.618,2:38.620,1:51.575,1:49.914,2:10.050,2:35.257,1:51.444,1:46.965,1:46.428,1:46.022,1:46.337,1:47.000,1:47.500,1:47.544,1:48.129,1:53.164
stroll,2:01.499,1:51.452,1:50.877,1:49.887,1:49.935,1:49.818,1:51.090,1:48.858,1:49.163,1:52.068,1:49.392,1:49.121,1:48.850,1:48.726,1:49.029,1:48.589,1:48.501,1:49.164,1:48.620,1:48.463,1:48.320,1:48.224,1:48.645,1:48.637,1:48.349,1:48.554,1:49.974,1:48.733,1:49.937,1:50.299,1:56.866,2:06.488,1:46.699,1:47.184,1:47.114,2:14.323,2:30.492,2:22.229,2:47.571,2:40.152,2:08.253,2:15.227,1:45.896,2:34.228,2:47.950,1:51.540,2:28.137,1:52.647,1:48.991,2:12.995,2:33.251,1:52.262,1:50.868,1:49.786,1:45.908,1:45.020,1:44.896,1:45.166,1:45.303,1:47.344,1:52.526
vettel,1:51.679,1:49.025,1:48.845,1:49.204,1:49.163,1:49.952,1:49.334,1:49.249,1:49.978,1:49.761,1:49.690,1:49.067,1:49.185,1:49.409,1:49.217,1:49.049,1:48.309,1:48.716,1:56.992,2:06.109,1:45.453,1:47.000,1:47.220,1:47.189,1:47.556,1:48.133,1:47.812,1:47.851,1:47.432,1:48.126,1:47.668,1:46.868,1:46.410,1:45.993,1:45.766,1:59.337,2:46.368,2:46.237,2:45.047,2:50.416,1:46.740,1:46.399,1:45.378,2:05.774,2:47.588,2:43.286,2:53.429,1:46.302,1:45.689,2:02.185,2:52.455,1:45.643,1:45.103,1:45.307,1:44.943,1:45.077,1:44.802,1:45.070,1:44.903,1:45.529,1:46.250
