Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56,Lap 57,Lap 58,Lap 59,Lap 60,Lap 61,Lap 62,Lap 63,Lap 64,Lap 65,Lap 66,Lap 67,Lap 68,Lap 69,Lap 70,Lap 71
albon,1:19.671,1:13.891,1:14.164,1:14.025,1:14.172,1:14.399,1:14.593,1:14.520,1:14.683,1:14.377,1:14.526,1:14.307,1:14.227,1:14.332,1:14.052,1:14.249,1:14.270,1:14.566,1:14.470,1:14.400,1:14.102,1:14.549,1:15.354,1:20.012,1:32.160,1:12.668,1:12.855,1:12.505,1:12.582,1:12.890,1:12.677,1:12.786,1:12.689,1:12.836,1:12.932,1:12.658,1:12.521,1:12.685,1:12.946,1:13.075,1:12.905,1:12.793,1:13.202,1:13.073,1:13.424,1:13.263,1:13.499,1:13.664,1:14.027,1:18.604,1:30.125,1:11.087,1:17.643,1:37.916,1:35.178,1:29.310,1:49.764,1:48.449,1:55.121,1:13.444,1:11.849,1:11.484,1:11.940,1:11.645,1:11.546,1:23.250,1:50.740,1:55.878,2:18.631,1:24.192,1:12.583
bottas,1:18.822,1:14.106,1:13.822,1:14.274,1:13.941,1:13.859,1:14.418,1:14.081,1:14.339,1:14.142,1:14.048,1:14.118,1:14.140,1:13.941,1:14.069,1:14.011,1:14.221,1:14.491,1:14.345,1:14.398,1:14.004,1:14.159,1:14.297,1:14.314,1:14.631,1:18.124,1:31.690,1:12.390,1:12.487,1:12.736,1:12.502,1:12.584,1:12.716,1:13.179,1:12.980,1:12.726,1:12.728,1:13.234,1:13.309,1:13.059,1:16.659,1:30.455,1:10.698,1:12.088,1:12.012,1:14.199,1:13.600,1:13.397,1:14.178,1:14.089,1:13.369,,,,,,,,,,,,,,,,,,,,
gasly,1:20.480,1:14.873,1:14.212,1:14.617,1:14.372,1:14.785,1:14.939,1:14.800,1:14.983,1:15.840,1:15.199,1:14.823,1:15.051,1:14.889,1:14.558,1:14.908,1:14.829,1:15.075,1:14.900,1:15.016,1:15.007,1:18.958,1:31.507,1:13.600,1:14.376,1:13.682,1:14.408,1:14.208,1:14.013,1:14.151,1:13.902,1:13.605,1:13.385,1:13.632,1:13.986,1:13.712,1:13.847,1:13.593,1:13.566,1:13.813,1:13.690,1:13.988,1:14.113,1:13.759,1:14.332,1:14.422,1:18.104,1:31.568,1:12.928,1:13.982,1:15.515,1:14.165,1:30.117,1:42.996,1:56.893,1:28.179,1:18.327,1:18.442,1:43.138,1:15.272,1:12.996,1:12.471,1:12.722,1:12.613,1:12.425,1:24.079,1:43.834,1:56.079,2:17.798,1:15.250,1:12.458
giovinazzi,1:22.733,1:15.757,1:15.372,1:15.231,1:15.099,1:14.944,1:15.279,1:15.162,1:15.038,1:15.108,1:15.093,1:14.996,1:15.270,1:15.108,1:15.062,1:15.297,1:15.188,1:15.385,1:15.513,1:19.326,1:31.285,1:13.325,1:14.354,1:14.025,1:13.961,1:13.911,1:14.326,1:14.480,1:13.789,1:13.935,1:14.106,1:13.972,1:14.177,1:13.877,1:14.296,1:13.754,1:14.193,1:14.228,1:13.914,1:14.038,1:14.046,1:13.977,1:14.777,1:13.918,1:14.096,1:18.122,1:31.998,1:13.148,1:13.020,1:13.696,1:14.398,1:14.463,1:33.999,1:41.151,1:51.449,1:28.457,1:19.273,1:19.058,1:36.644,1:16.357,1:14.418,1:13.757,1:13.192,1:13.416,1:13.075,1:27.262,1:39.866,1:54.873,2:14.947,1:16.000,1:14.119
grosjean,1:21.293,1:15.041,1:14.683,1:15.712,1:15.933,1:15.095,1:15.287,1:15.080,1:15.130,1:14.995,1:15.173,1:15.247,1:15.244,1:15.171,1:15.260,1:15.225,1:15.136,1:15.393,1:15.327,1:15.351,1:15.186,1:15.223,1:15.988,1:15.425,1:15.590,1:20.102,1:32.789,1:13.761,1:13.619,1:13.768,1:13.670,1:13.916,1:14.151,1:14.035,1:14.073,1:13.850,1:14.261,1:14.042,1:14.270,1:14.079,1:13.941,1:15.588,1:14.211,1:14.132,1:14.080,1:14.198,1:14.136,1:14.145,1:13.987,1:17.192,1:14.268,1:15.157,1:31.650,1:40.919,1:55.871,1:28.939,1:18.183,1:18.655,1:41.324,1:18.159,1:15.333,1:14.310,1:15.314,1:15.799,1:19.899,1:54.322,1:39.471,1:27.297,2:04.390,1:16.976,1:14.505
hamilton,1:17.453,1:13.458,1:13.363,1:13.644,1:13.587,1:13.447,1:13.643,1:13.525,1:13.633,1:13.677,1:13.468,1:13.594,1:13.490,1:13.479,1:13.658,1:13.719,1:13.810,1:13.704,1:13.735,1:17.566,1:28.757,1:13.683,1:14.039,1:13.164,1:13.153,1:13.116,1:13.027,1:13.043,1:13.124,1:13.105,1:12.791,1:13.029,1:12.622,1:12.925,1:12.819,1:12.591,1:12.455,1:12.611,1:12.466,1:13.402,1:12.798,1:12.671,1:16.098,1:28.981,1:11.154,1:11.082,1:11.357,1:11.941,1:11.565,1:11.846,1:11.728,1:11.436,1:12.326,1:26.514,1:49.451,1:57.303,2:00.582,1:47.994,1:59.585,1:13.255,1:11.526,1:11.731,1:11.672,1:11.413,1:11.446,1:26.082,1:51.583,1:55.649,2:16.760,1:15.616,1:12.097
hulkenberg,1:24.845,1:16.883,1:16.407,1:15.486,1:15.287,1:15.503,1:15.589,1:16.116,1:15.192,1:15.163,1:15.351,1:15.456,1:15.269,1:15.159,1:15.328,1:15.187,1:15.262,1:15.111,1:15.537,1:15.103,1:15.402,1:15.271,1:15.728,1:15.512,1:15.605,1:16.124,1:19.645,1:33.040,1:14.134,1:14.382,1:13.852,1:13.773,1:15.701,1:15.355,1:14.247,1:13.898,1:14.121,1:14.106,1:14.295,1:14.370,1:15.237,1:14.297,1:13.932,1:18.010,1:33.731,1:14.219,1:13.989,1:13.227,1:13.719,1:13.884,1:13.363,1:15.881,1:42.810,1:41.022,1:24.676,1:25.350,1:21.496,1:18.126,1:31.990,1:15.754,1:15.425,1:14.219,1:14.121,1:12.934,1:13.030,1:27.676,1:39.766,1:55.156,2:11.513,1:17.079,1:14.310
kevin_magnussen,1:22.322,1:15.667,1:15.171,1:15.494,1:16.220,1:16.624,1:16.566,1:26.471,1:15.715,1:15.112,1:15.714,1:15.218,1:15.583,1:15.331,1:15.378,1:15.337,1:15.513,1:15.529,1:15.406,1:15.331,1:15.337,1:15.574,1:16.163,1:15.512,1:16.044,1:16.926,1:19.824,1:32.260,1:13.822,1:13.748,1:13.750,1:13.841,1:13.688,1:13.656,1:14.418,1:13.948,1:13.766,1:13.867,1:13.974,1:14.027,1:13.651,1:13.623,1:13.627,1:14.995,1:13.835,1:14.480,1:14.336,1:13.908,1:13.936,1:14.216,1:15.984,1:14.190,1:42.246,1:51.606,1:28.957,1:25.638,1:20.229,1:20.860,1:32.600,1:15.968,1:15.926,1:14.634,1:14.009,1:14.639,1:13.262,1:28.939,1:40.552,1:51.278,2:10.588,1:16.126,1:14.725
kubica,1:25.993,1:17.965,1:16.548,1:16.016,1:16.406,1:16.702,1:16.815,1:16.960,1:16.878,1:17.313,1:16.919,1:16.623,1:16.745,1:16.888,1:16.769,1:16.792,1:17.582,1:17.081,1:16.994,1:20.836,1:34.419,1:15.286,1:15.286,1:15.412,1:15.991,1:17.211,1:16.324,1:16.484,1:16.871,1:15.772,1:15.828,1:16.199,1:17.030,1:16.369,1:16.688,1:21.298,1:41.484,1:16.807,1:15.527,1:16.375,1:16.920,1:15.650,1:15.746,1:16.569,1:16.392,1:18.334,1:16.545,1:16.198,1:16.555,1:16.505,1:26.003,1:40.575,1:24.157,1:37.759,1:19.688,1:16.256,1:16.996,1:26.926,1:18.075,1:16.431,1:15.075,1:14.669,1:14.553,1:15.004,1:30.927,1:43.549,1:45.234,2:06.330,1:19.597,1:15.966,
kvyat,1:25.602,1:17.027,1:15.972,1:15.756,1:15.440,1:15.276,1:15.503,1:15.976,1:15.599,1:15.188,1:15.327,1:15.336,1:15.579,1:15.252,1:15.514,1:15.388,1:15.470,1:15.511,1:15.205,1:15.529,1:15.381,1:15.673,1:19.530,1:30.317,1:12.951,1:13.515,1:13.770,1:14.644,1:14.065,1:13.984,1:13.831,1:13.873,1:13.778,1:13.886,1:13.614,1:13.662,1:14.232,1:14.126,1:14.201,1:15.578,1:13.968,1:15.548,1:14.181,1:13.925,1:13.945,1:18.078,1:29.979,1:13.891,1:12.385,1:12.811,1:12.469,1:12.592,1:35.609,1:40.413,1:48.745,1:26.896,1:19.479,1:20.115,1:33.296,1:17.625,1:16.454,1:15.154,1:14.120,1:14.347,1:13.730,1:29.307,1:41.148,1:50.648,2:09.877,1:15.934,1:13.879
