Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56,Lap 57,Lap 58,Lap 59,Lap 60,Lap 61,Lap 62,Lap 63,Lap 64,Lap 65,Lap 66,Lap 67,Lap 68,Lap 69,Lap 70,Lap 71
leclerc,1:23.300,1:15.127,1:14.555,1:14.067,1:13.958,1:14.403,1:14.164,1:14.384,1:14.355,1:13.994,1:14.306,1:13.791,1:14.069,1:14.173,1:13.980,1:13.991,1:14.016,1:14.283,1:14.221,1:14.274,1:14.319,1:15.030,1:15.384,1:15.127,1:14.875,1:14.732,1:15.143,1:15.019,1:19.297,1:32.333,1:12.971,1:12.428,1:12.716,1:12.661,1:12.662,1:12.815,1:12.707,1:12.678,1:12.754,1:13.044,1:12.783,1:12.632,1:13.115,1:13.142,1:13.168,1:14.246,1:13.701,1:13.324,1:14.138,1:13.831,1:13.591,1:13.537,1:15.277,1:43.689,1:41.817,1:25.594,1:50.176,1:49.303,1:53.369,1:14.415,1:12.199,1:11.603,1:11.423,1:11.921,1:11.701,,,,,,
max_verstappen,1:16.111,1:13.099,1:13.007,1:13.336,1:13.462,1:13.493,1:13.605,1:13.518,1:13.683,1:13.719,1:13.484,1:13.611,1:13.664,1:13.646,1:13.556,1:13.494,1:13.689,1:13.901,1:13.968,1:14.015,1:18.141,1:30.128,1:12.448,1:12.667,1:12.637,1:13.460,1:12.927,1:13.107,1:13.177,1:12.748,1:12.580,1:12.579,1:12.471,1:12.787,1:12.747,1:12.876,1:12.512,1:12.571,1:12.655,1:12.979,1:13.072,1:12.699,1:12.858,1:16.121,1:28.667,1:11.270,1:10.962,1:11.812,1:11.874,1:11.897,1:12.046,1:11.436,1:12.324,1:29.403,1:52.268,1:56.137,1:58.349,1:47.960,1:58.690,1:11.498,1:10.862,1:11.287,1:11.156,1:11.063,1:11.286,1:25.815,1:52.225,1:55.801,2:19.143,1:11.528,1:10.911
norris,1:23.435,1:16.013,1:15.159,1:14.984,1:15.333,1:15.306,1:15.385,1:14.775,1:15.082,1:15.059,1:15.146,1:15.660,1:15.323,1:15.310,1:15.110,1:15.101,1:14.956,1:15.458,1:15.119,1:15.546,1:14.766,1:15.129,1:15.266,1:15.271,1:15.972,1:15.510,1:18.792,1:32.028,1:13.321,1:13.568,1:13.898,1:14.351,1:14.326,1:14.099,1:13.732,1:13.999,1:14.327,1:13.976,1:14.233,1:13.912,1:15.760,1:15.530,1:14.039,1:13.964,1:13.948,1:14.139,1:14.219,1:14.609,1:16.694,1:14.340,1:15.471,1:15.541,1:36.370,1:52.922,1:44.796,1:26.101,1:19.483,1:19.918,1:33.948,1:16.549,1:14.970,1:13.830,1:12.328,1:12.614,1:13.201,1:28.479,1:40.454,1:54.553,2:13.497,1:15.464,1:14.415
perez,1:24.260,1:16.981,1:15.984,1:15.852,1:15.162,1:15.378,1:15.782,1:16.099,1:14.825,1:15.440,1:15.170,1:15.184,1:15.347,1:15.170,1:15.097,1:15.032,1:18.913,1:31.240,1:14.009,1:13.489,1:14.382,1:14.412,1:14.417,1:14.681,1:14.196,1:14.406,1:14.629,1:14.562,1:14.006,1:14.098,1:13.938,1:13.929,1:13.862,1:14.145,1:14.008,1:13.982,1:14.261,1:14.057,1:14.164,1:14.064,1:13.997,1:14.221,1:14.216,1:14.116,1:17.620,1:30.714,1:13.192,1:13.057,1:13.073,1:13.253,1:13.621,1:14.625,1:35.239,1:39.583,1:52.311,1:27.494,1:19.616,1:19.897,1:35.470,1:17.687,1:15.358,1:14.569,1:13.494,1:12.840,1:12.980,1:28.648,1:39.468,1:54.950,2:12.198,1:16.049,1:14.038
raikkonen,1:21.488,1:15.125,1:14.499,1:14.537,1:14.842,1:14.782,1:15.677,1:15.138,1:14.741,1:14.775,1:15.426,1:14.998,1:14.967,1:15.178,1:15.044,1:15.059,1:15.176,1:15.227,1:15.032,1:15.225,1:19.324,1:32.001,1:14.051,1:13.732,1:13.572,1:13.813,1:15.159,1:13.968,1:13.846,1:13.986,1:13.855,1:13.858,1:13.793,1:13.801,1:13.715,1:13.830,1:14.266,1:13.993,1:13.877,1:14.169,1:13.622,1:13.765,1:14.138,1:14.285,1:14.070,1:14.080,1:18.279,1:32.611,1:13.237,1:14.016,1:14.867,1:13.764,1:32.692,1:41.443,1:54.548,1:26.999,1:19.905,1:18.511,1:39.035,1:16.274,1:14.245,1:13.578,1:13.403,1:13.334,1:13.135,1:26.534,1:39.801,1:55.186,2:15.420,1:16.103,1:13.705
ricciardo,1:23.440,1:17.024,1:16.138,1:15.028,1:15.070,1:15.466,1:16.164,1:20.227,1:39.334,1:13.810,1:14.183,1:14.151,1:14.369,1:14.324,1:14.516,1:15.385,1:14.674,1:15.177,1:14.984,1:14.262,1:14.241,1:14.246,1:14.217,1:14.211,1:14.056,1:14.791,1:14.348,1:14.228,1:14.016,1:13.929,1:13.826,1:13.844,1:13.966,1:14.061,1:13.877,1:13.988,1:14.303,1:13.941,1:14.148,1:17.636,1:37.747,1:12.813,1:14.010,1:12.733,1:12.929,1:12.807,1:13.178,1:13.113,1:13.151,1:13.022,1:12.857,1:13.832,1:35.121,1:40.062,1:52.039,1:27.545,1:19.923,1:19.236,1:34.471,1:16.255,1:14.514,1:13.650,1:13.295,1:13.380,1:13.292,1:27.633,1:39.914,1:55.196,2:14.274,1:15.707,1:13.921
russell,1:26.374,1:18.033,1:16.592,1:16.121,1:16.520,1:16.577,1:17.220,1:17.516,1:16.907,1:16.844,1:16.502,1:16.918,1:16.327,1:17.023,1:16.520,1:17.938,1:17.145,1:17.149,1:16.534,1:17.801,1:16.151,1:16.545,1:19.495,1:30.902,1:15.598,1:15.536,1:14.956,1:15.041,1:16.186,1:15.044,1:15.259,1:14.635,1:14.978,1:15.402,1:14.818,1:16.569,1:14.828,1:15.161,1:15.004,1:15.045,1:14.761,1:17.050,1:15.181,1:15.080,1:15.234,1:16.245,1:15.139,1:15.068,1:15.248,1:15.300,1:16.129,1:27.588,1:40.613,1:19.742,1:31.558,1:16.459,1:13.752,1:15.199,1:26.308,1:15.751,1:16.643,1:14.769,1:14.124,1:14.292,1:15.126,1:32.111,1:50.428,1:38.854,2:07.480,1:17.011,1:14.320
sainz,1:25.639,1:16.183,1:15.667,1:14.922,1:14.859,1:15.622,1:15.898,1:16.239,1:14.494,1:14.963,1:15.128,1:15.063,1:15.036,1:15.100,1:15.077,1:15.276,1:15.288,1:15.423,1:14.933,1:15.231,1:15.174,1:14.939,1:15.096,1:15.200,1:15.079,1:15.299,1:15.217,1:15.131,1:18.997,1:31.513,1:13.488,1:13.911,1:14.002,1:13.938,1:13.882,1:13.804,1:14.009,1:14.147,1:15.056,1:13.772,1:15.375,1:13.735,1:13.795,1:13.986,1:13.987,1:14.161,1:13.747,1:16.410,1:14.242,1:14.134,1:13.302,1:13.913,1:32.070,1:41.665,1:55.375,1:27.773,1:18.032,1:19.357,1:40.493,1:16.288,1:13.960,1:13.639,1:13.158,1:13.340,1:13.166,1:26.049,1:40.132,1:54.407,2:16.639,1:16.103,1:13.446
stroll,1:23.924,1:16.514,1:15.520,1:15.055,1:15.226,1:15.336,1:15.680,1:15.307,1:15.141,1:15.176,1:15.137,1:15.225,1:15.458,1:15.097,1:14.999,1:15.212,1:15.327,1:15.566,1:15.452,1:15.445,1:16.959,1:15.590,1:15.685,1:15.530,1:15.178,1:15.312,1:16.302,1:19.280,1:31.595,1:13.874,1:14.447,1:13.938,1:13.929,1:13.806,1:15.175,1:13.995,1:14.995,1:13.735,1:13.831,1:13.459,1:13.966,1:13.686,1:13.775,1:13.950,1:15.427,1:14.111,1:15.428,1:14.003,1:13.847,1:13.807,1:14.226,1:14.431,1:36.960,1:52.816,1:44.106,1:25.519,1:19.577,1:19.843,1:33.975,1:16.586,1:15.527,1:14.578,1:14.173,1:14.879,1:12.603,,,,,,
vettel,1:17.964,1:14.104,1:13.454,1:13.785,1:13.676,1:13.579,1:13.810,1:13.563,1:13.694,1:14.081,1:13.745,1:13.731,1:13.862,1:13.913,1:14.058,1:13.913,1:14.049,1:14.129,1:14.083,1:14.245,1:13.963,1:14.224,1:14.554,1:14.692,1:18.591,1:30.348,1:13.197,1:12.259,1:12.435,1:12.560,1:12.631,1:12.347,1:12.509,1:12.673,1:12.930,1:12.937,1:12.557,1:12.494,1:12.866,1:13.364,1:12.709,1:12.422,1:12.428,1:12.727,1:12.998,1:12.701,1:13.001,1:13.172,1:17.471,1:29.867,1:11.384,1:11.970,1:12.325,1:36.102,1:41.212,1:48.723,1:51.431,1:47.898,1:56.219,1:13.982,1:11.990,1:11.633,1:11.419,1:12.106,1:11.888,,,,,,
