Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53
max_verstappen,1:31.365,1:26.762,1:25.744,1:25.862,1:25.962,1:26.589,1:26.095,1:26.269,1:26.208,1:25.539,1:25.770,1:25.902,1:26.537,1:25.933,1:26.279,1:25.983,1:25.955,1:25.851,1:26.285,1:42.806,2:08.928,2:13.034,2:05.006,1:27.525,2:00.818,2:52.315,28:01.901,2:08.026,1:28.033,1:30.133,,,,,,,,,,,,,,,,,,,,,,,
norris,1:28.591,1:26.000,1:26.125,1:25.854,1:25.951,1:26.204,1:26.046,1:26.049,1:26.204,1:25.703,1:25.776,1:25.942,1:25.915,1:25.913,1:25.807,1:25.847,1:25.677,1:25.724,1:25.796,1:41.652,2:11.381,2:15.263,2:05.092,1:27.636,1:59.453,2:47.109,28:01.270,2:13.905,1:25.769,1:25.190,1:24.675,1:24.782,1:24.633,1:24.736,1:25.549,1:24.518,1:24.769,1:24.526,1:24.249,1:24.264,1:24.240,1:24.441,1:24.530,1:24.508,1:24.511,1:24.321,1:24.312,1:24.277,1:24.329,1:24.232,1:24.253,1:24.247,1:24.310
ocon,1:32.119,1:27.003,1:26.564,1:26.116,1:26.217,1:26.124,1:26.276,1:26.374,1:26.364,1:26.042,1:26.082,1:25.992,1:26.033,1:26.177,1:26.325,1:26.123,1:26.062,1:26.049,1:26.323,1:45.791,2:04.860,2:15.968,2:00.155,1:27.649,2:02.384,2:51.846,28:02.247,2:03.904,1:26.462,1:25.492,1:25.037,1:24.831,1:24.658,1:24.616,1:24.835,1:25.620,1:25.591,1:24.969,1:24.848,1:25.273,1:25.304,1:25.157,1:24.878,1:24.635,1:24.701,1:24.699,1:24.699,1:24.744,1:24.748,1:24.607,1:24.684,1:24.490,1:26.000
perez,1:29.372,1:26.136,1:25.889,1:26.019,1:26.423,1:26.025,1:25.733,1:25.821,1:26.612,1:25.715,1:25.921,1:26.134,1:25.980,1:26.043,1:26.026,1:25.869,1:25.775,1:25.470,1:25.596,1:41.203,2:11.256,2:14.803,2:06.769,1:29.775,2:03.207,2:53.657,28:01.313,2:02.131,1:26.391,1:25.626,1:24.839,1:24.820,1:24.836,1:24.556,1:25.058,1:25.189,1:25.312,1:25.676,1:24.728,1:25.062,1:25.315,1:25.599,1:25.962,1:25.547,1:25.523,1:24.922,1:24.464,1:24.487,1:25.490,1:24.336,1:24.821,1:24.632,1:25.416
raikkonen,1:33.635,1:27.629,1:26.820,1:26.318,1:26.468,1:26.218,1:26.331,1:26.453,1:26.418,1:26.110,1:26.404,1:26.215,1:26.387,1:26.189,1:26.291,1:26.492,1:26.341,1:30.683,1:46.392,1:54.667,1:58.974,1:44.371,1:55.684,1:27.134,1:57.398,2:42.943,28:02.502,2:17.830,1:24.835,1:24.955,1:25.064,1:24.856,1:24.926,1:26.295,1:26.632,1:25.851,1:26.169,1:25.642,1:25.034,1:25.200,1:25.263,1:25.312,1:27.247,1:25.988,1:25.729,1:27.555,1:25.676,1:25.509,1:25.891,1:25.828,1:26.924,1:27.447,1:27.243
ricciardo,1:30.222,1:26.185,1:25.976,1:25.983,1:26.308,1:26.064,1:26.153,1:26.008,1:26.178,1:25.761,1:25.823,1:25.990,1:26.079,1:26.113,1:26.147,1:26.123,1:25.474,1:25.682,1:25.644,1:41.805,2:11.125,2:13.747,2:05.316,1:27.928,2:00.373,2:50.973,28:01.241,2:08.417,1:26.084,1:25.244,1:25.034,1:24.686,1:24.575,1:24.679,1:25.394,1:25.512,1:25.252,1:23.898,1:24.403,1:24.167,1:24.129,1:25.232,1:24.407,1:24.100,1:24.922,1:23.929,1:24.245,1:24.237,1:24.257,1:24.297,1:23.963,1:24.392,1:24.571
russell,1:36.445,1:29.298,1:27.399,1:27.331,1:27.639,1:27.370,1:27.045,1:26.696,1:26.423,1:26.315,1:26.794,1:26.565,1:26.334,1:26.310,1:27.017,1:26.475,1:26.560,1:26.498,1:26.308,1:51.022,1:56.998,2:04.514,1:58.970,1:28.503,2:04.397,2:53.709,28:02.425,2:00.963,1:27.271,1:26.607,1:24.861,1:25.098,1:25.808,1:26.140,1:25.658,1:25.347,1:25.124,1:25.032,1:24.421,1:26.342,1:26.287,1:25.864,1:25.492,1:25.360,1:25.181,1:25.164,1:25.192,1:24.962,1:25.112,1:25.184,1:26.584,1:26.098,1:26.137
sainz,1:27.292,1:25.769,1:25.780,1:25.822,1:25.811,1:25.806,1:25.540,1:25.712,1:25.675,1:25.755,1:25.748,1:25.718,1:25.921,1:25.700,1:25.819,1:25.730,1:25.632,1:25.646,1:25.797,1:39.799,2:13.681,2:12.419,2:11.648,1:27.151,1:58.312,2:44.615,28:05.363,2:13.599,1:25.111,1:25.035,1:24.242,1:24.392,1:24.461,1:24.398,1:24.152,1:23.942,1:24.278,1:24.211,1:23.987,1:23.882,1:24.071,1:24.138,1:24.474,1:24.168,1:24.219,1:24.191,1:24.168,1:24.427,1:24.286,1:24.477,1:24.699,1:24.491,1:25.311
stroll,1:31.644,1:26.152,1:27.284,1:25.988,1:26.053,1:26.215,1:26.337,1:26.225,1:26.276,1:25.912,1:26.140,1:25.856,1:26.096,1:26.071,1:26.251,1:25.977,1:26.092,1:25.913,1:25.782,1:43.654,2:07.978,2:09.190,2:03.063,1:25.553,1:57.537,2:41.282,28:02.062,2:24.316,1:26.247,1:25.171,1:24.372,1:24.460,1:24.505,1:25.134,1:24.743,1:24.045,1:24.154,1:24.116,1:24.211,1:24.050,1:24.309,1:23.897,1:24.179,1:24.328,1:24.346,1:24.266,1:24.259,1:24.692,1:24.349,1:24.335,1:24.511,1:24.866,1:24.970
vettel,1:37.087,1:27.933,1:27.646,1:27.107,1:28.320,2:20.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
