Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53
albon,1:34.938,1:28.308,1:26.964,1:26.472,1:26.159,1:26.590,1:26.732,1:26.376,1:26.798,1:26.697,1:26.745,1:26.273,1:26.382,1:26.530,1:26.510,1:26.407,1:26.535,1:25.826,1:26.167,1:48.383,1:58.471,2:12.273,2:00.478,1:28.148,2:05.099,2:54.570,28:02.347,1:59.895,1:27.314,1:26.687,1:25.012,1:25.181,1:25.699,1:26.008,1:25.607,1:25.781,1:25.142,1:25.054,1:24.888,1:26.464,1:25.441,1:25.949,1:25.523,1:25.722,1:25.433,1:25.188,1:25.049,1:24.926,1:25.002,1:25.030,1:26.631,1:25.921,1:25.864
bottas,1:30.934,1:26.027,1:25.971,1:26.052,1:26.119,1:26.552,1:26.075,1:26.101,1:26.130,1:25.347,1:26.311,1:25.845,1:26.377,1:26.070,1:26.388,1:25.792,1:26.018,1:25.789,1:25.739,1:42.462,2:09.652,2:13.491,2:03.911,1:27.662,1:59.515,2:48.691,28:01.176,2:12.050,1:26.085,1:25.285,1:24.611,1:24.777,1:24.659,1:24.782,1:25.505,1:25.300,1:24.194,1:24.632,1:24.482,1:24.121,1:24.032,1:24.405,1:24.440,1:24.429,1:24.665,1:24.246,1:24.445,1:24.649,1:24.452,1:23.997,1:23.961,1:24.075,1:24.688
gasly,1:32.608,1:27.139,1:26.536,1:26.255,1:26.196,1:26.364,1:26.160,1:26.485,1:26.229,1:26.157,1:26.200,1:26.047,1:26.432,1:26.308,1:26.350,1:26.266,1:26.281,1:26.519,1:30.727,2:14.173,1:56.545,1:47.466,1:57.108,1:26.016,1:57.481,2:42.380,28:02.826,2:19.007,1:24.607,1:24.707,1:24.642,1:24.257,1:24.044,1:24.037,1:24.245,1:24.555,1:24.390,1:24.341,1:24.083,1:24.134,1:24.312,1:24.325,1:24.491,1:24.539,1:24.576,1:24.404,1:24.274,1:24.467,1:24.350,1:24.367,1:24.754,1:25.111,1:25.783
giovinazzi,1:34.388,1:28.219,1:27.114,1:27.834,1:26.385,1:26.631,1:26.613,1:26.496,1:26.742,1:26.683,1:26.719,1:26.566,1:26.664,1:26.619,1:26.757,1:26.523,1:27.155,1:26.524,1:26.623,1:52.074,2:14.369,1:46.855,1:56.623,1:27.887,1:57.955,2:43.733,28:02.496,2:16.861,1:25.496,1:29.629,1:52.567,1:25.338,1:25.252,1:25.101,1:25.590,1:25.729,1:25.773,1:25.518,1:25.322,1:25.005,1:25.494,1:25.086,1:24.856,1:25.040,1:25.191,1:24.937,1:25.116,1:25.203,1:25.088,1:25.509,1:25.489,1:25.814,1:26.004
grosjean,1:35.429,1:28.613,1:27.270,1:27.145,1:26.662,1:27.137,1:26.733,1:26.846,1:26.803,1:26.446,1:26.624,1:26.790,1:26.664,1:26.984,1:26.395,1:26.392,1:26.682,1:26.764,1:27.098,1:49.843,1:57.173,2:06.512,1:59.923,1:28.896,2:05.217,2:56.823,28:01.001,1:56.960,1:26.862,1:26.154,1:25.440,1:25.491,1:25.842,1:26.004,1:25.581,1:25.206,1:24.993,1:25.071,1:24.866,1:25.968,1:25.751,1:26.478,1:25.192,1:25.226,1:25.348,1:25.079,1:24.955,1:24.785,1:25.956,1:25.344,1:26.161,1:26.180,1:25.462
hamilton,1:25.914,1:25.265,1:25.539,1:25.372,1:25.541,1:24.890,1:25.074,1:25.006,1:25.470,1:24.928,1:24.852,1:25.225,1:25.077,1:24.995,1:24.915,1:24.626,1:24.894,1:24.768,1:24.795,1:36.982,2:31.856,2:09.960,2:09.173,1:23.504,1:59.828,2:40.309,28:02.497,2:25.356,1:52.230,1:23.765,1:23.464,1:22.901,1:22.955,1:22.746,1:23.549,1:23.334,1:24.384,1:25.073,1:24.850,1:24.456,1:24.844,1:23.777,1:23.374,1:24.559,1:24.384,1:25.315,1:24.110,1:24.231,1:22.908,1:24.110,1:23.743,1:23.446,1:24.182
kevin_magnussen,1:40.100,2:02.657,1:26.816,1:26.010,1:26.163,1:27.393,1:26.269,1:26.107,1:25.941,1:25.787,1:25.982,1:26.022,1:26.053,1:25.931,1:26.100,1:26.296,1:26.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kvyat,1:33.274,1:27.353,1:26.602,1:26.181,1:26.080,1:26.175,1:26.202,1:26.309,1:26.685,1:26.194,1:26.183,1:26.103,1:26.209,1:26.232,1:26.448,1:26.358,1:26.183,1:26.424,1:26.894,1:47.228,2:01.971,2:14.530,1:59.872,1:27.579,2:03.764,2:52.468,28:01.588,2:02.677,1:26.469,1:25.480,1:25.052,1:24.816,1:24.601,1:24.783,1:24.953,1:25.371,1:25.620,1:25.154,1:24.929,1:25.075,1:25.395,1:25.286,1:26.108,1:24.479,1:24.654,1:24.632,1:24.566,1:24.703,1:24.780,1:24.749,1:26.357,1:25.034,1:25.452
latifi,1:37.259,1:29.052,1:28.069,1:27.537,1:27.599,1:27.485,1:27.335,1:27.001,1:27.178,1:26.433,1:26.487,1:26.515,1:26.551,1:26.833,1:26.520,1:30.872,1:48.068,1:26.132,1:26.418,1:59.685,1:46.240,1:37.594,1:55.314,1:29.279,2:00.295,2:49.016,28:03.067,2:10.291,1:27.610,1:25.990,1:25.302,1:25.054,1:25.029,1:25.300,1:25.382,1:25.452,1:25.208,1:25.080,1:24.999,1:25.122,1:25.356,1:25.197,1:25.059,1:25.094,1:26.571,1:25.835,1:25.388,1:25.669,1:25.487,1:25.926,1:26.705,1:25.647,1:25.345
leclerc,1:34.071,1:28.003,1:26.925,1:26.623,1:26.354,1:26.545,1:26.527,1:26.623,1:26.752,1:26.405,1:26.409,1:26.377,1:26.557,1:26.709,1:26.721,1:26.779,1:33.330,1:47.411,1:26.026,1:55.933,1:57.406,1:37.614,1:55.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
