Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56,Lap 57,Lap 58,Lap 59,Lap 60,Lap 61,Lap 62,Lap 63,Lap 64,Lap 65,Lap 66,Lap 67,Lap 68,Lap 69,Lap 70
max_verstappen,1:39.556,1:33.264,1:34.529,1:35.025,1:47.204,1:23.730,1:23.206,1:22.741,1:22.313,1:22.402,1:22.509,1:22.170,1:21.998,1:22.296,1:22.086,1:21.769,1:22.112,1:21.559,1:21.726,1:22.278,1:22.748,1:21.520,1:21.893,1:21.747,1:21.847,1:21.722,1:21.739,1:21.809,1:21.936,1:22.188,1:22.340,1:22.877,1:22.531,1:22.736,1:23.376,1:25.839,1:40.097,1:20.492,1:20.265,1:20.090,1:19.906,1:20.299,1:20.175,1:20.659,1:20.437,1:20.617,1:20.211,1:20.573,1:20.268,1:19.830,1:19.827,1:19.975,1:19.872,1:19.763,1:19.886,1:20.217,1:20.465,1:19.767,1:19.867,1:19.184,1:19.413,1:19.564,1:20.047,1:19.324,1:19.250,1:19.321,1:19.304,1:19.346,1:19.321,1:20.222
norris,1:48.972,1:37.469,1:38.237,1:40.339,1:49.478,1:25.863,1:25.483,1:24.909,1:25.271,1:24.891,1:24.615,1:24.668,1:25.214,1:25.934,1:25.689,1:23.535,1:23.908,1:24.220,1:23.848,1:23.497,1:23.963,1:23.762,1:23.762,1:24.758,1:23.434,1:22.833,1:22.747,1:22.756,1:22.625,1:22.839,1:23.277,1:24.527,1:22.949,1:22.665,1:24.942,1:42.311,1:21.087,1:20.224,1:20.048,1:20.155,1:21.068,1:19.945,1:20.912,1:20.666,1:23.713,1:21.915,1:21.162,1:20.705,1:20.548,1:20.522,1:20.471,1:20.543,1:20.540,1:20.249,1:20.374,1:21.051,1:22.950,1:21.309,1:22.042,1:21.497,1:21.563,1:21.641,1:21.788,1:21.609,1:21.298,1:21.666,1:21.680,1:21.552,1:21.878,
ocon,1:50.545,1:36.111,1:35.650,1:37.793,1:50.086,1:27.531,1:26.014,1:25.551,1:24.852,1:24.469,1:24.878,1:24.545,1:25.741,1:26.385,1:24.775,1:24.384,1:24.384,1:24.439,1:23.680,1:23.496,1:23.215,1:23.483,1:23.221,1:23.283,1:22.872,1:25.142,1:22.561,1:22.642,1:22.750,1:23.634,1:26.027,1:42.970,1:22.481,1:22.394,1:22.064,1:21.615,1:20.772,1:20.579,1:20.649,1:20.261,1:20.898,1:20.884,1:21.625,1:21.008,1:21.168,1:21.326,1:20.844,1:24.388,1:20.350,1:20.494,1:20.590,1:20.545,1:20.555,1:20.595,1:20.664,1:21.250,1:21.492,1:23.148,1:21.829,1:21.649,1:21.406,1:21.504,1:22.238,1:21.279,1:21.517,1:21.282,1:22.120,1:21.418,1:23.447,
perez,1:43.895,1:35.320,1:38.609,1:53.691,1:34.809,1:26.792,1:25.140,1:24.052,1:23.551,1:23.103,1:23.304,1:24.015,1:23.596,1:23.501,1:24.006,1:24.223,1:24.352,1:24.961,1:25.525,1:25.517,1:21.769,1:22.090,1:21.914,1:21.928,1:22.159,1:22.231,1:22.555,1:23.108,1:23.982,1:23.491,1:22.171,1:22.479,1:22.461,1:22.811,1:26.055,1:40.279,1:21.763,1:21.282,1:20.090,1:20.445,1:20.431,1:20.212,1:20.602,1:20.686,1:20.214,1:20.589,1:20.582,1:20.267,1:20.604,1:20.715,1:20.310,1:20.556,1:22.608,1:20.952,1:20.308,1:21.065,1:20.922,1:20.606,1:20.696,1:20.490,1:20.968,1:20.735,1:20.248,1:20.478,1:20.424,1:20.947,1:22.051,1:21.797,1:21.011,
raikkonen,1:49.757,1:38.389,1:40.357,1:51.984,1:28.463,1:28.243,1:25.864,1:25.351,1:24.731,1:24.430,1:24.555,1:24.369,1:26.430,1:23.027,1:24.377,1:24.145,1:25.373,1:25.589,1:23.293,1:23.665,1:23.295,1:23.135,1:23.112,1:23.205,1:23.326,1:23.377,1:22.840,1:24.798,1:23.166,1:23.124,1:24.084,1:23.431,1:26.226,1:49.464,1:22.241,1:23.753,1:21.625,1:24.009,1:22.616,1:21.830,1:21.730,1:21.733,1:22.199,1:21.055,1:21.260,1:21.477,1:21.317,1:21.370,1:22.811,1:22.069,1:22.033,1:20.854,1:20.583,1:20.533,1:20.568,1:20.409,1:21.390,1:20.512,1:20.484,1:20.524,1:20.232,1:20.568,1:20.348,1:21.117,1:20.478,1:20.737,1:20.490,1:20.635,1:21.513,
ricciardo,1:45.692,1:36.511,1:35.918,1:37.019,1:51.736,1:27.280,1:25.192,1:23.968,1:23.543,1:23.226,1:23.540,1:23.755,1:23.599,1:23.445,1:23.650,1:24.201,1:24.370,1:24.933,1:25.251,1:25.736,1:23.038,1:23.003,1:22.790,1:22.704,1:22.728,1:22.687,1:22.509,1:22.605,1:22.462,1:23.714,1:22.645,1:23.159,1:22.107,1:22.318,1:22.160,1:21.567,1:21.545,1:21.562,1:21.720,1:21.426,1:21.566,1:22.376,1:24.270,1:39.420,1:19.727,1:19.532,1:20.196,1:19.799,1:19.877,1:19.830,1:20.335,1:20.174,1:20.176,1:20.365,1:20.246,1:20.768,1:20.506,1:20.617,1:20.634,1:20.712,1:20.966,1:20.785,1:20.765,1:20.482,1:20.178,1:23.343,1:20.017,1:20.370,1:21.003,
russell,1:50.274,1:38.734,1:37.727,1:39.756,1:46.226,1:26.458,1:25.588,1:25.307,1:25.050,1:24.713,1:24.786,1:24.545,1:25.405,1:26.607,1:27.206,1:25.608,1:26.089,1:26.981,1:30.653,1:41.469,1:22.549,1:22.493,1:21.884,1:21.685,1:21.995,1:21.691,1:22.133,1:22.201,1:22.116,1:22.026,1:22.199,1:24.164,1:22.807,1:25.545,1:23.151,1:23.740,1:24.368,1:22.112,1:23.902,1:21.833,1:21.880,1:21.197,1:21.460,1:21.320,1:21.164,1:21.677,1:21.457,1:21.458,1:21.767,1:26.125,1:40.660,1:20.514,1:20.164,1:20.238,1:22.853,1:21.023,1:21.056,1:20.968,1:22.398,1:20.620,1:20.954,1:20.280,1:20.346,1:20.369,1:20.785,1:20.541,1:19.984,1:20.197,1:20.613,
sainz,1:44.472,1:36.099,1:39.140,1:55.830,1:31.968,1:27.395,1:25.317,1:24.239,1:23.595,1:23.072,1:23.749,1:23.527,1:23.400,1:23.435,1:23.648,1:24.097,1:24.467,1:24.805,1:25.161,1:25.976,1:22.923,1:23.550,1:23.144,1:22.850,1:22.772,1:22.681,1:22.574,1:22.596,1:22.583,1:22.917,1:23.098,1:22.676,1:24.849,1:22.361,1:22.562,1:22.077,1:21.865,1:21.763,1:22.121,1:25.041,1:39.868,1:20.066,1:20.233,1:21.065,1:20.752,1:21.755,1:20.794,1:20.886,1:21.464,1:21.421,1:21.629,1:21.108,1:21.340,1:20.932,1:21.630,1:23.061,1:22.084,1:21.746,1:22.032,1:19.644,1:22.493,1:20.176,1:19.581,1:19.828,1:19.806,1:19.740,1:19.457,1:19.672,1:19.810,
stroll,1:38.777,1:33.732,1:38.277,1:57.475,1:28.510,1:25.602,1:23.104,1:23.649,1:23.440,1:23.549,1:23.110,1:23.022,1:23.105,1:22.741,1:22.904,1:21.523,1:22.184,1:22.039,1:22.354,1:21.707,1:21.629,1:21.868,1:22.009,1:22.109,1:22.154,1:21.882,1:21.946,1:21.975,1:22.228,1:22.152,1:22.324,1:22.395,1:23.570,1:23.151,1:26.452,1:40.902,1:21.144,1:21.205,1:20.955,1:21.237,1:21.589,1:20.929,1:20.751,1:20.822,1:20.778,1:20.746,1:20.922,1:20.713,1:21.207,1:21.595,1:20.899,1:23.652,1:38.188,1:19.550,1:20.012,1:20.253,1:20.262,1:19.475,1:19.598,1:19.224,1:19.397,1:19.324,1:19.337,1:19.427,1:19.378,1:19.537,1:19.694,1:18.973,1:19.151,1:20.578
vettel,1:40.746,1:34.777,1:39.675,1:57.261,1:29.026,1:26.230,1:25.027,1:24.807,1:23.830,1:24.022,1:25.775,1:23.397,1:23.222,1:24.218,1:24.262,1:24.391,1:24.478,1:25.208,1:22.686,1:22.435,1:22.462,1:22.331,1:22.808,1:22.980,1:22.787,1:22.766,1:23.042,1:23.404,1:27.223,1:41.180,1:20.786,1:20.734,1:21.617,1:21.867,1:22.539,1:21.808,1:21.091,1:21.129,1:20.966,1:20.856,1:20.503,1:20.878,1:20.966,1:20.807,1:20.408,1:20.624,1:20.865,1:20.456,1:20.363,1:20.621,1:20.647,1:21.081,1:21.596,1:20.964,1:20.623,1:20.928,1:22.882,1:20.495,1:20.681,1:20.809,1:20.831,1:20.713,1:20.805,1:20.641,1:20.540,1:22.717,1:20.850,1:22.863,1:20.955,
