Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55
albon,1:48.734,1:44.151,1:43.941,1:44.029,1:44.076,1:42.885,1:43.334,1:43.081,1:43.274,2:10.847,2:39.269,2:27.288,2:33.008,1:43.243,1:42.429,1:42.735,1:42.572,1:42.322,1:42.272,1:42.192,1:42.022,1:41.855,1:42.182,1:42.213,1:42.090,1:41.807,1:41.867,1:42.151,1:41.983,1:41.702,1:41.687,1:41.782,1:41.814,1:42.145,1:42.139,1:42.247,1:41.824,1:41.470,1:41.386,1:41.625,1:41.510,1:41.227,1:41.443,1:41.674,1:41.353,1:41.655,1:41.532,1:41.588,1:41.753,1:41.968,1:41.583,1:41.636,1:42.009,1:41.674,1:42.354
bottas,1:45.274,1:42.716,1:42.641,1:42.798,1:42.589,1:42.662,1:42.764,1:42.752,1:42.691,2:07.879,2:37.068,2:38.290,2:36.590,1:41.542,1:41.350,1:42.089,1:41.835,1:41.870,1:41.766,1:41.919,1:41.821,1:41.772,1:41.686,1:41.439,1:41.685,1:42.086,1:41.893,1:41.939,1:41.951,1:41.505,1:41.361,1:41.552,1:41.309,1:41.262,1:41.388,1:41.832,1:41.582,1:41.773,1:41.442,1:41.131,1:41.324,1:41.918,1:41.893,1:42.318,1:42.512,1:42.272,1:42.445,1:41.569,1:41.369,1:41.722,1:42.161,1:41.823,1:43.072,1:41.906,1:44.823
gasly,1:52.727,1:44.828,1:44.617,1:44.286,1:44.520,1:44.623,1:44.630,1:45.857,1:44.982,2:14.631,2:38.344,2:22.722,2:24.787,1:46.613,1:44.955,1:44.512,1:44.461,1:45.148,1:45.086,1:43.650,1:43.961,1:43.746,1:43.639,1:43.309,1:43.585,1:43.527,1:44.244,1:44.358,1:43.624,1:43.574,1:43.949,1:43.043,1:42.768,1:43.135,1:42.820,1:43.003,1:42.868,1:42.960,1:43.070,1:43.659,1:43.444,1:43.545,1:43.167,1:43.000,1:42.486,1:42.797,1:42.615,1:42.962,1:43.423,1:42.964,1:42.755,1:42.735,1:42.474,1:42.549,1:42.626
giovinazzi,1:55.759,1:46.822,1:45.538,1:45.375,1:45.775,1:46.616,1:45.724,1:45.605,1:46.179,2:21.133,2:22.078,2:22.193,2:23.229,1:46.987,1:46.923,1:46.017,1:46.386,1:45.262,1:45.074,1:45.375,1:45.369,1:47.130,1:45.724,1:45.392,1:44.960,1:45.004,1:46.790,2:03.049,1:41.675,1:42.055,1:42.932,1:42.846,1:42.312,1:42.571,1:42.747,1:42.734,1:44.874,1:42.973,1:42.437,1:42.440,1:42.317,1:42.495,1:42.523,1:43.060,1:47.125,1:43.064,1:43.468,1:45.728,1:43.708,1:43.496,1:43.674,1:44.230,1:43.876,1:43.553,
hamilton,1:46.347,1:43.524,1:43.154,1:43.051,1:43.157,1:42.997,1:43.033,1:43.069,1:43.289,2:09.878,2:40.325,2:31.224,2:34.323,1:42.117,1:41.947,1:42.109,1:42.106,1:41.819,1:41.791,1:41.991,1:41.720,1:41.600,1:42.004,1:41.894,1:41.745,1:41.979,1:42.034,1:41.658,1:41.811,1:41.649,1:41.993,1:41.510,1:41.457,1:41.744,1:41.431,1:41.689,1:41.420,1:41.502,1:41.452,1:41.429,1:41.572,1:41.611,1:42.168,1:41.630,1:41.650,1:42.431,1:42.097,1:41.794,1:42.482,1:41.979,1:42.282,1:42.652,1:42.992,1:42.083,1:42.665
kevin_magnussen,1:57.154,1:47.811,1:46.300,1:46.465,1:46.137,1:46.403,1:46.083,1:45.832,1:46.112,2:23.503,2:23.043,2:22.209,2:16.637,1:48.535,1:46.448,1:47.117,1:45.717,1:45.521,1:45.217,1:45.319,1:45.306,1:45.596,1:45.491,1:45.347,1:45.399,1:45.133,1:46.332,1:47.228,1:46.283,1:47.287,1:48.161,2:03.659,1:42.263,1:42.372,1:42.797,1:45.613,1:43.369,1:43.467,1:43.697,1:43.942,1:44.736,1:45.234,1:46.250,1:46.581,1:46.904,1:48.054,1:49.526,2:03.079,1:42.005,1:41.999,1:42.027,1:42.165,1:42.609,1:42.913,
kvyat,1:50.426,1:45.145,1:44.320,1:44.544,1:44.620,1:44.741,1:44.781,1:46.648,1:47.228,2:17.188,2:41.628,2:21.705,2:20.028,1:47.073,1:46.524,1:43.928,1:44.144,1:44.707,1:44.800,1:45.119,1:45.332,1:45.207,1:43.677,1:43.255,1:43.497,1:43.304,1:43.502,1:43.361,1:43.608,1:43.753,1:44.166,1:44.204,1:44.243,1:44.392,1:44.460,1:43.998,1:43.500,1:43.430,1:42.906,1:42.900,1:42.788,1:42.953,1:43.148,1:43.165,1:43.118,1:42.788,1:42.704,1:42.985,1:43.119,1:42.966,1:42.921,1:43.045,1:43.437,1:46.316,
latifi,1:58.259,1:48.696,1:46.668,1:46.472,1:46.725,1:46.462,1:46.600,1:46.800,1:50.998,2:21.517,2:22.720,2:36.183,1:57.238,1:48.423,1:46.373,1:46.361,1:45.837,1:45.479,1:45.913,1:46.089,1:45.348,1:45.078,1:45.077,1:45.086,1:45.143,1:45.032,1:46.248,1:45.227,1:45.032,1:44.853,1:44.147,1:44.204,1:44.058,1:44.194,1:45.609,2:03.180,1:45.031,1:42.786,1:42.773,1:43.593,1:42.937,1:42.742,1:42.592,1:42.638,1:42.938,1:42.591,1:42.607,1:42.842,1:42.497,1:42.958,1:43.368,1:42.959,1:43.087,1:43.294,
leclerc,1:54.522,1:45.693,1:45.231,1:45.079,1:45.070,1:44.795,1:45.143,1:44.867,1:45.498,2:17.453,2:23.156,2:24.517,2:29.087,1:46.755,1:44.579,1:44.576,1:44.596,1:44.936,1:46.133,1:45.712,1:45.682,1:47.724,2:03.178,1:41.908,1:42.762,1:43.100,1:42.228,1:42.530,1:42.661,1:42.686,1:43.273,1:42.854,1:43.993,1:43.091,1:42.424,1:42.537,1:42.960,1:43.274,1:43.195,1:43.832,1:43.147,1:43.158,1:43.088,1:42.796,1:42.825,1:43.260,1:42.777,1:45.367,1:43.126,1:42.945,1:42.993,1:43.120,1:46.365,1:44.464,
max_verstappen,1:43.833,1:42.292,1:42.207,1:42.450,1:42.652,1:42.562,1:42.651,1:42.506,1:42.461,2:06.235,2:36.851,2:41.381,2:37.752,1:40.958,1:41.153,1:41.315,1:41.571,1:41.427,1:41.423,1:41.560,1:41.462,1:41.250,1:41.400,1:41.579,1:41.653,1:41.357,1:41.362,1:41.318,1:41.491,1:41.296,1:41.281,1:41.254,1:41.162,1:41.201,1:41.455,1:41.565,1:41.725,1:42.119,1:41.334,1:41.228,1:41.180,1:41.421,1:41.569,1:41.546,1:41.621,1:41.367,1:41.650,1:41.982,1:42.033,1:41.805,1:41.838,1:41.497,1:41.596,1:41.626,1:42.182
norris,1:47.989,1:44.054,1:43.879,1:43.951,1:43.966,1:45.683,1:44.650,1:44.286,1:44.281,2:12.176,2:38.423,2:25.506,2:30.317,1:44.829,1:43.704,1:43.380,1:43.455,1:43.370,1:43.410,1:43.539,1:43.546,1:43.343,1:42.999,1:42.914,1:42.916,1:43.041,1:43.183,1:43.058,1:42.894,1:42.902,1:42.974,1:42.735,1:42.693,1:42.434,1:42.401,1:42.549,1:42.542,1:43.084,1:42.771,1:42.730,1:42.794,1:42.647,1:42.613,1:42.660,1:42.449,1:42.644,1:42.686,1:42.561,1:42.495,1:42.314,1:42.294,1:42.069,1:41.964,1:42.312,1:42.315
ocon,1:52.035,1:46.281,1:44.927,1:44.696,1:44.597,1:46.075,1:44.916,1:45.195,1:45.600,2:18.556,2:35.304,2:22.253,2:22.022,1:46.969,1:45.056,1:44.567,1:44.334,1:44.854,1:44.921,1:44.956,1:45.673,1:43.705,1:43.652,1:43.402,1:43.331,1:43.704,1:43.583,1:43.654,1:43.834,1:43.766,1:44.112,1:44.546,1:44.387,1:44.323,1:44.396,1:43.862,1:43.166,1:43.031,1:42.896,1:42.936,1:43.020,1:43.130,1:42.960,1:43.001,1:42.964,1:42.931,1:42.894,1:42.932,1:42.950,1:42.947,1:42.911,1:43.180,1:43.077,1:43.459,1:43.285
perez,1:58.615,1:47.554,1:45.701,1:44.762,1:43.786,1:43.263,1:45.123,1:44.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pietro_fittipaldi,1:57.550,1:48.137,1:47.006,1:46.070,1:46.498,1:46.442,1:46.510,1:46.930,1:49.150,2:23.976,2:44.251,2:22.086,1:53.035,1:46.939,1:46.398,1:46.153,1:46.148,1:45.720,1:45.652,1:46.169,1:45.686,1:45.746,1:45.207,1:45.257,1:45.406,1:45.978,1:45.135,1:45.419,1:45.729,1:44.796,1:45.304,1:45.237,1:46.001,1:50.451,2:12.398,1:42.960,1:43.243,1:43.789,1:44.592,1:44.548,1:46.578,1:44.528,1:46.408,1:45.472,1:45.819,1:45.552,1:47.183,1:48.619,2:04.670,1:41.707,1:42.828,1:43.272,1:42.650,,
raikkonen,1:54.909,1:46.177,1:45.200,1:45.230,1:45.326,1:45.367,1:45.939,1:46.553,1:46.348,2:20.626,2:38.295,2:21.753,2:12.308,1:46.828,1:46.572,1:45.161,1:44.203,1:45.196,1:44.927,1:44.789,1:45.282,1:45.043,1:44.538,1:44.412,1:44.373,1:44.011,1:44.509,1:44.112,1:44.361,1:44.023,1:43.804,1:43.776,1:43.596,1:43.861,1:43.412,1:43.711,1:43.359,1:43.665,1:43.211,1:43.672,1:43.319,1:43.161,1:42.936,1:42.854,1:42.657,1:42.869,1:42.414,1:42.891,1:42.567,1:42.281,1:44.854,1:42.403,1:42.148,1:44.382,
ricciardo,1:53.282,1:45.912,1:44.878,1:44.667,1:44.817,1:43.625,1:44.429,1:45.241,1:46.233,2:16.955,2:21.882,2:24.547,2:31.940,1:44.183,1:43.867,1:43.359,1:43.372,1:43.409,1:43.200,1:43.182,1:43.192,1:43.074,1:43.197,1:42.931,1:42.939,1:42.920,1:42.955,1:43.163,1:42.904,1:42.819,1:42.815,1:42.619,1:42.390,1:42.283,1:42.390,1:42.604,1:42.974,1:43.106,1:45.290,2:03.636,1:43.472,1:43.286,1:42.238,1:40.958,1:42.071,1:41.906,1:42.037,1:41.742,1:41.920,1:41.860,1:41.713,1:41.106,1:42.566,1:41.411,1:40.926
russell,1:56.502,1:47.476,1:46.192,1:45.619,1:46.794,1:46.466,1:45.834,1:45.771,1:45.844,2:22.381,2:35.441,2:23.979,2:06.430,1:48.307,1:46.200,1:44.923,1:45.325,1:45.409,1:44.867,1:45.237,1:45.282,1:44.718,1:44.819,1:44.297,1:44.105,1:44.053,1:44.413,1:44.157,1:43.870,1:43.855,1:44.599,1:43.846,1:44.146,1:45.820,1:44.420,1:44.199,1:43.669,1:43.386,1:43.523,1:43.762,1:44.744,1:45.804,1:44.064,1:43.610,1:43.548,1:47.859,1:43.694,1:45.775,1:43.356,1:43.641,1:43.359,1:44.641,1:43.671,1:43.328,
sainz,1:49.619,1:44.726,1:44.346,1:44.272,1:44.369,1:44.631,1:44.685,1:44.801,1:44.390,2:16.275,2:37.847,2:23.170,2:27.429,1:45.532,1:44.328,1:43.837,1:43.790,1:44.124,1:43.792,1:43.584,1:43.504,1:43.600,1:43.436,1:43.428,1:43.176,1:43.241,1:43.128,1:43.284,1:42.960,1:43.182,1:42.693,1:42.821,1:42.678,1:42.551,1:42.369,1:42.469,1:42.709,1:42.487,1:42.426,1:42.354,1:42.425,1:42.524,1:43.127,1:42.325,1:42.375,1:42.396,1:42.574,1:41.947,1:42.393,1:42.295,1:42.255,1:42.344,1:42.426,1:42.379,1:42.479
stroll,1:51.155,1:45.211,1:44.594,1:44.455,1:44.612,1:44.690,1:44.624,1:44.396,1:44.565,2:14.461,2:39.286,2:23.315,2:25.714,1:46.366,1:44.742,1:44.611,1:44.551,1:45.026,1:43.764,1:43.966,1:43.718,1:43.635,1:43.581,1:43.704,1:44.213,1:43.497,1:44.652,1:44.346,1:45.703,1:43.785,1:44.550,1:44.786,1:44.256,1:44.482,1:44.281,1:43.383,1:42.744,1:42.688,1:42.690,1:42.811,1:41.866,1:44.870,1:42.858,1:42.754,1:42.845,1:42.971,1:42.968,1:42.892,1:43.436,1:43.269,1:43.095,1:43.174,1:43.325,1:43.557,1:45.894
vettel,1:53.980,1:46.008,1:44.878,1:44.989,1:44.846,1:44.788,1:45.228,1:45.099,1:45.336,2:17.108,2:22.813,2:24.933,2:29.720,1:45.338,1:44.226,1:44.057,1:45.963,1:44.618,1:44.135,1:43.953,1:44.038,1:43.541,1:43.753,1:43.655,1:43.837,1:43.954,1:45.512,1:44.186,1:43.880,1:44.083,1:46.209,1:44.567,1:44.255,1:44.641,1:46.172,2:02.555,1:41.475,1:41.886,1:42.767,1:43.530,1:41.983,1:42.342,1:42.212,1:42.332,1:44.710,1:43.384,1:43.276,1:43.273,1:43.605,1:43.654,1:45.724,1:44.527,1:46.875,1:43.467,
