Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56,Lap 57,Lap 58,Lap 59,Lap 60,Lap 61,Lap 62,Lap 63,Lap 64,Lap 65,Lap 66
max_verstappen,1:27.347,1:24.754,1:24.835,1:24.596,1:24.621,1:24.325,1:24.193,1:24.192,1:24.132,1:23.990,1:23.623,1:23.541,1:23.473,1:23.422,1:23.759,1:23.568,1:23.761,1:24.089,1:23.971,1:24.579,1:28.176,1:40.705,1:22.959,1:23.582,1:23.624,1:23.644,1:23.227,1:23.491,1:23.367,1:23.353,1:23.201,1:23.269,1:23.106,1:23.113,1:22.896,1:23.548,1:23.478,1:24.038,1:23.775,1:23.096,1:26.019,1:39.927,1:22.221,1:21.919,1:23.114,1:22.100,1:22.609,1:21.851,1:21.732,1:21.911,1:22.406,1:21.562,1:21.477,1:21.485,1:21.852,1:21.638,1:22.045,1:21.779,1:21.570,1:22.184,1:21.904,1:21.486,1:21.709,1:22.144,1:22.764,1:23.629
norris,1:34.173,1:26.682,1:26.038,1:25.593,1:25.967,1:26.065,1:25.453,1:25.436,1:25.374,1:25.422,1:25.173,1:25.361,1:25.263,1:25.041,1:25.249,1:24.939,1:24.752,1:25.214,1:25.011,1:24.916,1:29.205,1:42.686,1:24.810,1:25.247,1:24.992,1:25.447,1:25.455,1:26.499,1:24.859,1:25.015,1:25.085,1:25.189,1:25.686,1:26.507,1:23.330,1:23.644,1:23.734,1:24.038,1:24.047,1:23.563,1:24.031,1:24.037,1:23.111,1:26.714,1:41.429,1:23.404,1:23.401,1:23.417,1:23.232,1:23.979,1:22.894,1:23.175,1:23.131,1:22.682,1:24.977,1:22.392,1:23.203,1:23.529,1:24.952,1:23.014,1:23.869,1:23.503,1:23.310,1:24.447,1:24.161,
ocon,1:37.691,1:27.756,1:27.062,1:26.003,1:26.246,1:26.062,1:26.085,1:26.015,1:25.914,1:25.926,1:25.742,1:25.643,1:25.814,1:25.917,1:25.685,1:26.126,1:25.532,1:25.812,1:26.351,1:25.429,1:25.170,1:25.400,1:25.619,1:25.892,1:25.427,1:25.641,1:25.627,1:25.135,1:25.390,1:26.752,1:25.221,1:25.348,1:26.587,1:30.189,1:44.840,1:26.429,1:24.746,1:24.692,1:24.524,1:24.817,1:25.503,1:25.019,1:25.015,1:25.600,1:26.222,1:23.775,1:23.871,1:24.401,1:23.991,1:23.579,1:23.491,1:23.708,1:23.962,1:23.426,1:23.937,1:23.674,1:22.820,1:23.239,1:23.025,1:23.023,1:22.823,1:22.786,1:22.764,1:23.122,1:22.174,
perez,1:30.347,1:25.147,1:25.131,1:25.283,1:25.103,1:25.522,1:25.243,1:24.605,1:24.723,1:24.748,1:24.895,1:25.016,1:25.139,1:25.156,1:25.289,1:25.122,1:25.360,1:25.323,1:25.205,1:25.392,1:25.635,1:25.873,1:25.734,1:25.524,1:25.965,1:26.186,1:26.376,1:25.317,1:29.245,1:43.044,1:22.574,1:25.050,1:24.669,1:24.567,1:25.129,1:24.355,1:24.097,1:24.447,1:24.310,1:24.351,1:24.464,1:24.691,1:24.581,1:24.326,1:23.885,1:24.518,1:24.813,1:25.244,1:24.020,1:23.904,1:23.772,1:24.055,1:23.363,1:23.044,1:23.072,1:25.184,1:22.988,1:22.515,1:22.952,1:23.169,1:22.735,1:23.119,1:23.152,1:23.141,1:23.560,
raikkonen,1:37.063,1:27.754,1:26.782,1:25.754,1:26.228,1:26.104,1:25.983,1:26.085,1:25.876,1:26.069,1:25.713,1:25.619,1:25.768,1:26.218,1:25.842,1:25.965,1:25.511,1:26.170,1:26.364,1:32.154,1:42.682,1:23.417,1:23.929,1:25.260,1:27.322,1:24.158,1:24.619,1:24.575,1:24.810,1:25.156,1:27.329,1:23.791,1:24.480,1:24.525,1:24.963,1:26.454,1:26.951,1:25.133,1:25.031,1:27.871,1:25.351,1:25.333,1:25.342,1:29.319,1:41.351,1:22.191,1:21.888,1:23.112,1:22.382,1:23.247,1:22.927,1:22.924,1:22.921,1:23.360,1:23.444,1:23.641,1:25.165,1:22.047,1:23.088,1:22.025,1:22.422,1:22.687,1:22.858,1:22.983,1:23.196,
ricciardo,1:35.089,1:28.222,1:26.157,1:25.905,1:26.598,1:25.747,1:25.818,1:25.949,1:26.006,1:25.632,1:25.350,1:25.060,1:25.458,1:25.601,1:25.804,1:25.492,1:25.443,1:25.359,1:25.123,1:25.553,1:26.115,1:24.630,1:25.137,1:25.005,1:25.214,1:25.269,1:25.474,1:25.594,1:27.145,1:25.040,1:25.455,1:25.482,1:25.185,1:25.299,1:29.972,1:44.384,1:26.655,1:25.005,1:24.897,1:28.239,1:24.306,1:24.610,1:24.493,1:23.990,1:24.263,1:23.446,1:23.625,1:23.025,1:22.976,1:22.843,1:22.464,1:24.511,1:22.515,1:22.595,1:22.816,1:22.795,1:24.810,1:22.760,1:22.944,1:22.861,1:22.701,1:23.710,1:23.123,1:24.095,1:24.306,
russell,1:38.758,1:28.166,1:27.264,1:26.168,1:25.663,1:26.025,1:26.163,1:26.147,1:26.308,1:26.112,1:26.061,1:25.828,1:26.111,1:26.309,1:25.609,1:25.839,1:25.699,1:26.506,1:29.470,1:42.091,1:23.576,1:23.916,1:24.064,1:25.805,1:24.729,1:25.444,1:25.047,1:24.956,1:24.753,1:25.460,1:24.840,1:25.051,1:24.893,1:24.859,1:27.956,1:40.624,1:22.503,1:23.157,1:24.738,1:25.260,1:24.938,1:24.701,1:25.461,1:26.257,1:25.058,1:23.843,1:24.522,1:24.294,1:24.016,1:24.058,1:23.775,1:24.008,1:24.424,1:23.863,1:24.245,1:24.022,1:25.274,1:25.234,1:24.412,1:24.478,1:25.649,1:24.923,1:24.724,1:24.890,1:25.659,
sainz,1:32.118,1:25.935,1:25.719,1:25.309,1:25.497,1:25.400,1:25.198,1:24.807,1:24.917,1:25.174,1:25.172,1:25.217,1:25.397,1:25.184,1:25.174,1:25.025,1:25.415,1:25.019,1:25.157,1:25.468,1:25.693,1:29.347,1:43.207,1:25.591,1:25.527,1:25.684,1:25.550,1:25.504,1:24.259,1:23.325,1:25.197,1:24.370,1:24.582,1:24.681,1:24.878,1:24.677,1:24.157,1:24.381,1:24.422,1:24.256,1:27.582,1:41.000,1:23.129,1:23.799,1:23.323,1:23.455,1:23.142,1:23.564,1:23.089,1:23.211,1:24.418,1:22.824,1:23.001,1:22.848,1:22.803,1:22.941,1:23.086,1:23.522,1:21.771,1:22.595,1:24.513,1:22.057,1:22.438,1:22.817,1:22.527,
stroll,1:28.830,1:25.189,1:24.823,1:25.410,1:26.029,1:24.850,1:24.979,1:24.623,1:24.819,1:24.745,1:24.917,1:24.928,1:25.234,1:25.254,1:25.039,1:24.996,1:25.112,1:25.383,1:25.483,1:25.389,1:25.647,1:26.239,1:25.248,1:26.104,1:25.665,1:26.470,1:30.159,1:43.759,1:24.230,1:24.573,1:24.486,1:24.203,1:24.688,1:24.533,1:24.164,1:24.478,1:24.293,1:24.935,1:24.413,1:24.452,1:24.376,1:27.852,1:40.974,1:23.259,1:23.084,1:23.162,1:23.188,1:22.699,1:23.471,1:23.027,1:23.201,1:22.825,1:24.425,1:22.914,1:23.235,1:22.024,1:22.736,1:22.406,1:22.355,1:22.639,1:22.356,1:22.482,1:22.797,1:23.177,1:23.289,
vettel,1:34.707,1:26.962,1:25.960,1:25.915,1:26.459,1:25.719,1:25.326,1:25.600,1:25.227,1:25.530,1:25.462,1:25.393,1:25.479,1:25.395,1:25.185,1:25.084,1:25.107,1:25.529,1:25.373,1:25.512,1:25.849,1:25.985,1:25.614,1:25.479,1:25.627,1:25.612,1:25.811,1:26.157,1:30.602,1:42.640,1:24.034,1:24.197,1:24.495,1:25.133,1:24.515,1:24.298,1:24.130,1:24.019,1:23.755,1:23.764,1:24.031,1:26.151,1:23.462,1:23.975,1:24.115,1:23.581,1:23.226,1:22.707,1:23.510,1:23.319,1:23.467,1:23.356,1:25.144,1:23.434,1:23.760,1:24.557,1:23.560,1:23.695,1:25.977,1:24.140,1:24.033,1:24.787,1:24.111,1:24.407,1:24.668,
