Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56,Lap 57,Lap 58,Lap 59,Lap 60,Lap 61,Lap 62,Lap 63,Lap 64,Lap 65,Lap 66,Lap 67,Lap 68,Lap 69,Lap 70,Lap 71
albon,1:15.104,1:10.362,1:09.579,1:09.853,1:09.412,1:09.525,1:09.808,1:09.649,1:11.677,1:10.495,1:10.097,1:09.883,1:09.752,1:10.010,1:10.108,1:10.082,1:09.823,1:09.907,1:10.085,1:09.947,1:10.102,1:09.896,1:09.997,1:09.935,1:09.919,1:27.164,1:50.964,1:46.649,1:55.676,1:52.142,1:10.050,1:09.365,1:09.271,1:08.703,1:08.618,1:08.703,1:08.593,1:08.734,1:08.722,1:08.678,1:08.774,1:08.880,1:09.007,1:08.827,1:09.120,1:09.085,1:08.743,1:08.637,1:08.584,1:08.432,1:20.622,1:49.417,1:53.584,1:37.290,1:39.511,1:54.081,1:56.349,1:51.006,1:41.457,1:36.508,1:16.768,1:10.174,1:09.610,1:09.920,1:10.521,1:10.859,1:10.182,,,,
bottas,1:11.454,1:09.441,1:09.598,1:09.592,1:09.159,1:09.386,1:09.051,1:09.185,1:09.357,1:09.457,1:09.407,1:09.649,1:09.333,1:09.547,1:09.300,1:09.417,1:09.224,1:09.049,1:09.260,1:09.512,1:09.699,1:09.847,1:09.617,1:10.405,1:10.149,1:24.118,2:02.933,1:50.849,1:55.283,1:53.743,1:08.736,1:08.733,1:08.520,1:08.524,1:08.433,1:08.260,1:08.194,1:08.235,1:08.303,1:08.131,1:08.142,1:08.272,1:08.472,1:08.322,1:08.231,1:08.462,1:08.421,1:08.279,1:08.422,1:08.351,1:15.384,1:55.395,2:00.100,1:40.093,1:36.079,1:54.808,1:57.837,1:49.815,1:42.625,1:38.546,1:08.204,1:08.378,1:08.062,1:08.174,1:08.238,1:08.199,1:08.023,1:07.657,1:10.046,1:08.200,1:08.412
gasly,1:19.106,1:12.412,1:11.311,1:10.725,1:11.511,1:12.028,1:11.173,1:10.912,1:10.902,1:11.031,1:11.089,1:11.069,1:10.897,1:10.827,1:10.970,1:10.953,1:10.762,1:10.844,1:10.712,1:10.939,1:10.733,1:10.535,1:10.672,1:10.568,1:10.610,1:35.769,1:49.983,1:21.920,1:54.011,1:45.599,1:11.099,1:10.283,1:09.999,1:09.628,1:09.952,1:09.969,1:09.864,1:09.576,1:09.839,1:09.821,1:09.813,1:09.805,1:09.595,1:09.821,1:10.115,1:09.646,1:09.453,1:09.429,1:09.370,1:09.370,1:28.958,1:34.649,1:43.812,1:33.431,1:41.284,1:55.497,1:55.197,1:50.947,1:43.204,1:32.585,1:10.672,1:10.370,1:09.341,1:09.025,1:09.359,1:09.943,1:09.521,1:09.361,1:09.484,1:09.121,1:09.640
giovinazzi,1:20.013,1:12.959,1:11.633,1:11.482,1:11.848,1:12.479,1:11.830,1:11.584,1:11.583,1:11.654,1:11.860,1:11.451,1:11.483,1:10.987,1:12.546,1:11.406,1:11.093,1:12.451,1:11.027,1:11.030,1:11.165,1:10.867,1:10.902,1:10.971,1:18.971,2:17.383,1:24.006,1:13.014,1:29.540,1:43.562,1:11.026,1:10.785,1:10.152,1:10.073,1:10.300,1:10.412,1:10.325,1:10.150,1:10.111,1:10.321,1:09.992,1:09.939,1:09.654,1:09.830,1:09.894,1:09.525,1:09.211,1:09.436,1:09.372,1:09.232,1:28.519,1:35.510,1:40.907,1:31.917,1:41.434,2:02.702,1:52.419,1:50.349,1:44.390,1:28.209,1:11.187,1:10.533,1:09.235,1:10.749,1:10.404,1:10.726,1:08.893,1:09.141,1:09.167,1:08.796,1:09.178
grosjean,1:21.365,1:13.534,1:12.183,1:11.576,1:11.829,1:11.868,1:11.904,1:12.008,1:11.829,1:11.843,1:11.891,1:11.615,1:11.706,1:11.437,1:11.377,1:11.224,1:11.554,1:11.526,1:11.243,1:25.870,1:32.297,1:12.924,1:14.399,1:11.061,1:31.223,1:35.554,1:44.706,1:32.143,1:11.366,1:11.083,1:11.070,1:10.909,1:11.264,1:10.376,1:10.726,1:12.430,1:10.681,1:10.403,1:10.940,1:10.567,1:10.342,1:10.339,1:10.305,1:10.360,1:10.476,1:10.228,1:10.261,1:11.175,2:06.287,,,,,,,,,,,,,,,,,,,,,,
hamilton,1:15.627,1:10.550,1:10.362,1:09.340,1:09.461,1:09.294,1:09.701,1:09.796,1:09.547,1:09.683,1:09.581,1:09.586,1:09.123,1:09.233,1:09.184,1:09.142,1:09.046,1:09.076,1:09.131,1:09.000,1:09.340,1:09.326,1:09.356,1:09.342,1:09.510,1:28.502,1:56.918,1:50.801,1:55.666,1:52.528,1:09.031,1:08.750,1:08.684,1:08.258,1:08.389,1:08.164,1:08.243,1:08.434,1:08.256,1:08.058,1:08.147,1:08.115,1:08.369,1:08.598,1:08.467,1:08.812,1:08.457,1:08.383,1:08.448,1:08.406,1:18.996,1:51.080,2:00.866,1:39.068,1:37.528,1:54.149,1:57.246,1:50.103,1:43.337,1:37.005,1:09.036,1:08.578,1:08.572,1:08.535,1:08.182,1:08.092,1:07.712,1:07.916,1:08.584,1:08.419,1:08.203
kevin_magnussen,1:19.587,1:12.762,1:11.531,1:11.582,1:11.879,1:11.463,1:12.869,1:11.489,1:11.520,1:11.688,1:11.722,1:11.141,1:10.902,1:11.152,1:11.386,1:11.075,1:11.766,1:11.274,1:10.974,1:10.852,1:10.843,1:10.884,1:10.720,1:11.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kvyat,1:20.360,1:13.127,1:11.726,1:11.327,1:12.095,1:10.997,1:10.962,1:11.132,1:10.988,1:10.869,1:11.403,1:11.094,1:10.962,1:10.753,1:11.003,1:10.831,1:11.190,1:10.637,1:10.839,1:10.928,1:10.784,1:10.523,1:10.590,1:10.420,1:10.655,1:42.320,1:44.170,1:20.170,1:54.238,1:44.410,1:10.997,1:10.473,1:10.128,1:09.898,1:10.224,1:10.657,1:10.035,1:10.461,1:09.827,1:09.769,1:10.086,1:09.734,1:09.473,1:09.375,1:09.829,1:09.327,1:09.286,1:09.703,1:09.663,1:09.135,1:27.749,1:48.009,1:33.944,1:30.350,1:42.464,1:56.833,1:54.212,1:50.394,1:44.104,1:29.982,1:11.427,1:10.110,1:10.242,1:10.781,1:10.378,1:10.623,1:11.475,1:10.456,1:11.794,,
latifi,1:22.200,1:13.861,1:12.354,1:11.901,1:11.919,1:11.812,1:12.103,1:12.201,1:12.571,1:12.720,1:12.422,1:11.990,1:11.808,1:11.681,1:11.663,1:11.746,1:11.845,1:11.743,1:11.605,1:12.716,1:11.818,1:11.240,1:11.213,1:13.943,1:26.061,1:57.217,2:00.782,1:37.331,1:15.231,1:12.150,1:11.290,1:10.895,1:10.483,1:10.436,1:10.841,1:10.812,1:10.334,1:10.311,1:10.292,1:10.442,1:10.273,1:10.262,1:10.229,1:10.305,1:10.298,1:10.038,1:09.817,1:10.265,1:10.760,1:16.161,1:35.318,1:37.124,1:13.419,1:21.845,1:41.900,1:58.167,1:52.812,1:50.087,1:44.493,1:29.059,1:12.088,1:10.688,1:09.662,1:10.933,1:10.910,1:10.709,1:10.393,1:10.906,1:10.613,1:11.012,1:10.860
leclerc,1:16.847,1:11.418,1:09.925,1:10.271,1:10.310,1:10.287,1:10.596,1:10.611,1:10.511,1:10.460,1:10.690,1:10.544,1:10.489,1:10.333,1:10.308,1:10.278,1:10.138,1:10.177,1:10.072,1:09.954,1:10.181,1:10.245,1:10.392,1:10.117,1:10.199,1:29.806,1:50.117,1:41.051,1:54.953,1:47.566,1:10.877,1:10.125,1:09.596,1:09.538,1:09.245,1:09.479,1:09.263,1:08.973,1:09.184,1:09.112,1:09.126,1:09.120,1:09.103,1:09.218,1:09.581,1:09.129,1:09.031,1:08.781,1:09.153,1:09.085,1:24.700,1:47.833,1:44.214,1:34.516,1:41.270,1:54.511,1:55.821,1:50.846,1:43.477,1:33.349,1:10.053,1:08.916,1:08.389,1:07.901,1:08.339,1:08.020,1:08.073,1:08.127,1:08.324,1:07.935,1:08.260
