Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56,Lap 57,Lap 58,Lap 59,Lap 60,Lap 61,Lap 62,Lap 63,Lap 64,Lap 65,Lap 66,Lap 67,Lap 68,Lap 69,Lap 70,Lap 71
max_verstappen,1:13.501,1:09.859,1:09.380,1:09.428,1:09.351,1:09.469,1:09.577,1:09.538,1:09.459,1:09.451,2:18.665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norris,1:14.567,1:10.366,1:11.197,1:10.810,1:09.949,1:10.017,1:10.228,1:10.324,1:10.132,1:10.324,1:10.449,1:10.112,1:10.309,1:10.210,1:10.187,1:10.235,1:10.052,1:09.984,1:10.029,1:09.860,1:10.012,1:09.933,1:10.106,1:09.940,1:09.963,1:30.234,1:50.203,1:43.795,1:54.141,1:50.654,1:10.457,1:09.651,1:10.548,1:09.008,1:09.311,1:09.205,1:09.111,1:08.923,1:09.026,1:09.044,1:09.074,1:08.865,1:08.787,1:08.898,1:09.217,1:09.175,1:08.978,1:08.699,1:08.695,1:08.638,1:23.701,1:49.362,1:45.573,1:36.233,1:40.490,1:54.196,1:56.164,1:51.211,1:43.284,1:33.893,1:09.662,1:08.923,1:08.362,1:09.354,1:08.518,1:09.211,1:08.574,1:08.529,1:09.102,1:07.781,1:07.475
ocon,1:20.678,1:13.291,1:11.786,1:11.415,1:12.056,1:11.727,1:11.816,1:11.640,1:11.645,1:11.868,1:11.642,1:11.523,1:11.499,1:10.935,1:10.703,1:10.850,1:11.347,1:11.155,1:10.782,1:10.874,1:11.014,1:10.617,1:10.826,1:11.056,1:17.862,1:32.675,1:40.493,1:20.267,1:54.091,1:43.941,1:11.098,1:10.594,1:10.150,1:09.777,1:10.300,1:10.600,1:10.066,1:10.425,1:09.892,1:09.703,1:10.321,1:09.563,1:09.729,1:09.528,1:09.666,1:09.313,1:09.264,1:09.456,1:09.691,1:09.299,1:29.574,1:33.731,1:41.602,1:32.905,1:42.357,1:56.363,1:54.426,1:50.739,1:43.597,1:31.146,1:11.756,1:09.809,1:09.528,1:08.932,1:09.160,1:09.903,1:09.691,1:09.157,1:09.733,1:08.912,1:09.665
perez,1:16.326,1:10.812,1:10.271,1:10.265,1:10.062,1:09.922,1:10.417,1:10.291,1:10.252,1:10.416,1:10.241,1:10.011,1:10.514,1:10.717,1:10.701,1:10.555,1:10.340,1:10.261,1:10.162,1:10.060,1:09.828,1:10.140,1:09.775,1:10.002,1:10.011,1:28.737,1:49.475,1:43.896,1:54.857,1:49.313,1:10.708,1:09.819,1:08.837,1:08.634,1:08.495,1:09.229,1:08.669,1:08.910,1:08.799,1:08.885,1:08.962,1:08.748,1:08.788,1:08.900,1:09.310,1:08.797,1:08.633,1:08.515,1:08.558,1:08.482,1:22.569,1:37.867,1:59.664,1:38.406,1:38.135,1:53.979,1:56.971,1:51.032,1:43.868,1:35.607,1:09.426,1:08.748,1:08.305,1:08.554,1:08.546,1:09.858,1:08.374,1:08.921,1:10.695,1:08.718,1:10.280
raikkonen,1:20.781,1:13.309,1:12.098,1:11.372,1:11.920,1:11.893,1:11.771,1:11.941,1:11.475,1:11.895,1:11.618,1:11.793,1:11.354,1:11.319,1:11.366,1:11.588,1:11.213,1:10.375,1:10.752,1:10.727,1:10.570,1:10.713,1:10.898,1:14.725,1:43.423,1:53.799,1:23.601,1:13.482,1:30.605,1:42.148,1:10.779,1:10.997,1:10.400,1:10.188,1:10.332,1:10.355,1:10.007,1:10.336,1:10.496,1:10.158,1:09.962,1:10.013,1:09.952,1:09.400,1:09.973,1:09.432,1:09.062,1:09.031,1:09.417,1:09.384,1:30.453,1:48.390,1:27.815,,,,,,,,,,,,,,,,,,
ricciardo,1:18.766,1:12.125,1:11.236,1:10.628,1:10.636,1:10.954,1:10.813,1:10.610,1:10.925,1:10.755,1:11.281,1:10.885,1:10.929,1:10.814,1:10.828,1:10.824,1:38.320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russell,1:21.596,1:13.736,1:12.334,1:11.594,1:11.724,1:12.130,1:12.152,1:11.784,1:12.207,1:12.297,1:11.923,1:11.817,1:11.557,1:11.588,1:11.563,1:11.674,1:11.538,1:11.186,1:11.053,1:11.210,1:11.014,1:10.891,1:11.039,1:11.106,1:19.305,2:14.065,1:23.330,1:13.150,1:30.313,1:42.414,1:11.215,1:10.962,1:10.317,1:10.148,1:10.107,1:10.393,1:10.312,1:10.236,1:10.335,1:10.261,1:09.901,1:10.220,1:10.025,1:11.190,1:10.457,1:10.014,1:09.693,1:09.888,1:09.317,,,,,,,,,,,,,,,,,,,,,,
sainz,1:17.168,1:11.958,1:10.243,1:10.316,1:10.317,1:10.342,1:10.563,1:10.651,1:10.571,1:10.518,1:10.701,1:10.549,1:10.392,1:10.421,1:10.322,1:10.378,1:10.405,1:10.434,1:10.250,1:10.010,1:10.105,1:10.051,1:10.133,1:10.316,1:10.141,1:30.179,1:52.463,1:37.161,1:55.235,1:46.943,1:11.454,1:10.021,1:09.718,1:09.320,1:09.328,1:09.685,1:09.246,1:09.365,1:09.427,1:09.460,1:09.105,1:09.457,1:09.329,1:09.243,1:09.374,1:09.220,1:09.089,1:08.928,1:08.974,1:09.232,1:24.968,1:35.696,1:57.478,1:32.324,1:41.084,1:56.046,1:54.877,1:50.839,1:43.568,1:32.073,1:10.526,1:08.576,1:07.974,1:08.497,1:08.446,1:09.339,1:08.917,1:08.712,1:09.155,1:09.028,1:08.308
stroll,1:17.583,1:12.184,1:10.570,1:10.326,1:10.333,1:10.508,1:10.845,1:10.655,1:10.847,1:11.253,1:11.495,1:11.412,1:11.006,1:10.629,1:10.734,1:10.611,1:11.431,1:14.041,1:15.253,1:19.510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vettel,1:18.362,1:12.072,1:10.670,1:10.483,1:10.422,1:10.594,1:10.841,1:10.716,1:11.613,1:11.011,1:11.103,1:11.043,1:11.084,1:10.649,1:10.823,1:10.650,1:10.994,1:10.617,1:10.604,1:10.332,1:10.455,1:10.529,1:10.644,1:10.653,1:10.778,1:33.851,1:50.020,1:27.415,1:53.981,1:46.730,1:20.761,1:10.065,1:10.032,1:09.590,1:10.785,1:10.077,1:09.508,1:09.775,1:09.469,1:09.812,1:09.743,1:09.863,1:10.043,1:10.485,1:10.875,1:10.049,1:09.669,1:09.576,1:09.446,1:09.755,1:32.503,1:50.124,1:20.445,1:28.931,1:42.023,1:57.835,1:52.817,1:50.336,1:44.460,1:29.292,1:11.743,1:10.433,1:10.387,1:10.415,1:10.623,1:10.755,1:11.236,1:10.004,1:09.453,1:08.729,1:08.623
