Driver,bahrain,jeddah,albert_park,imola,miami,catalunya,monaco,baku,villeneuve,silverstone,red_bull_ring,ricard,hungaroring,spa,zandvoort,monza,marina_bay,suzuka,americas,rodriguez,interlagos,yas_marina
albon,-0.32939572477781615,-0.8944044922744983,-0.586893119613411,-0.7097449193762144,,-0.48086654361109743,-0.736161793295959,-0.9817888761927169,-0.6172995365704004,-0.61318731040796,-0.7376001893261324,-0.7899243036308758,-0.5252949562493741,-0.5673772853191612,-0.40169809388003425,-0.5748517349615155,-0.5638377208275813,-0.31844761727246784,-0.5516395252314755,-0.23481239726362463,-0.6379248916866965,-0.10040219732347712
alonso,-0.4145514632628059,-0.8944044922744983,0.30208200063139423,-0.9657605865730513,,-0.030847867338276713,0.22608321149769303,-0.3557704737587367,0.1868767869541827,-0.08772543610217105,-0.5035377317344967,-0.43962635346372236,0.4131809586561324,-0.12954924433692833,-0.40169809388003425,-0.23792788384793348,0.6934380456444716,-0.47731660078020305,0.0794159433243488,-0.6550718462229593,0.386837258971736,-0.27292250292304665
bottas,1.4529002106318938,1.2438276497672958,1.1132897824316232,0.11566299551160295,,1.4351329713722814,0.29858170278403423,1.3808106478709847,1.2232427429854025,1.4715389929956486,1.6986729271792547,1.595317017538139,0.4780490804649877,1.4344466199618071,1.626451789304106,1.8706598146723679,0.6962037465783749,1.3680408908904838,1.0340820416576928,0.9510462894305388,0.8694673412135847,1.3025742061762873
gasly,-0.10756114578269373,0.68443149611844,-0.586893119613411,-1.1199603035121373,,-0.42638238721823973,0.10018451798426406,-0.5876031201339295,-0.6172995365704004,-0.096096847968203,-0.5009544788691559,-0.43228038356004095,-0.3095512701497371,-0.32859623040422076,-0.40169809388003425,-0.6113919981178928,-0.6153031832287768,-0.642538172626801,-0.7545879429414628,-0.34733497365361254,-0.6498310756092011,-0.44047579565579165
hamilton,3.037416441305937,1.9150883251850452,2.4706652354237946,1.375567406577454,,2.6940319350592716,2.4285622877237443,2.1196761584990074,2.5629365912698523,3.098022392663587,2.4291422464194765,2.4225321117118477,2.9728638989233542,2.341172836656053,2.402529308937189,2.6388762433526085,1.9124172297650575,2.528054694354361,2.93408808466752,1.9819700512892635,2.6501264378124154,2.5662893653549497
kevin_magnussen,-0.6006609943613601,-0.8944044922744983,-0.8268644564625672,-0.7954249550242721,,-0.4918772991644153,-0.577413850891796,-0.6025444429902428,-0.5788417897723879,-0.7128038210920138,-0.5747412662329427,-0.42697531840701525,-0.6615801355361349,-0.6171087353929972,-0.40169809388003425,-0.7609095752658513,-0.7744777676558029,-0.5620106311961324,-0.6357636423073562,-0.6550718462229593,-0.600640087825198,-0.8235658253735619
latifi,-0.764809367940848,-0.5844632629135523,-0.586893119613411,-0.4115258077771015,,-0.7024815459419471,-0.8485012455132718,-0.7229432254040776,-0.6172995365704004,-0.8016243774378442,-0.6216233057221395,-0.7899243036308758,-0.6369728509284007,-0.7329768059408406,-0.40169809388003425,-0.6950120672763598,-0.7328406614297253,-0.642538172626801,-0.7545879429414628,-0.6550718462229593,-0.7170125824782063,-0.8507709411694822
leclerc,-0.3034228186065443,0.8600579231854274,-0.2840641885424928,1.7325196632009545,,-0.1446199429797132,-0.8485012455132718,0.1147208465948307,-0.07461221698008585,0.1638889796073084,0.17842945436714638,0.4313545967345689,-0.2783913982592686,-0.11301183612184966,-0.40169809388003425,-0.11334459981778722,-0.46821279633630086,-0.642538172626801,-0.16455983051183068,0.06083279911224763,-0.12540125237609465,-0.20950751674356946
max_verstappen,0.566129665384499,1.741906099527318,0.870594544866666,1.850134655585849,,1.2144573057545294,0.8110791998229828,0.24089885629844351,0.44472865763672503,0.6044854125276375,1.592711706727243,2.09434759832324,0.8780008355287854,0.4204778492674923,2.799886497719286,-0.17797437057253418,0.8187536368742132,0.8039193562053707,1.2474192132160016,2.529428094422762,1.3635095608767573,1.5971848990933872
mick_schumacher,-0.764809367940848,-0.8944044922744983,-0.586893119613411,-0.7954249550242721,,-0.7024815459419471,-0.8485012455132718,-0.983107586305494,-0.6172995365704004,-0.8945922762873344,-0.7376001893261324,-0.7899243036308758,-0.6397476073349702,-0.849749299215836,-0.40169809388003425,-1.0031745190834382,-0.7328406614297253,-0.642538172626801,-0.7545879429414628,-0.6550718462229593,-0.7170125824782063,-0.8507709411694822
norris,-0.10405472128106508,0.5216798870605824,-0.586893119613411,1.1588067090093923,,-0.7024815459419471,-0.3284547477376166,-0.39629835349479636,-0.6172995365704004,-0.20308758533598503,-0.37660174860659995,-0.3213069364512473,-0.6397476073349702,-0.5894352538917754,-0.40169809388003425,-0.3431128221961126,-0.5898415029770712,-0.642538172626801,-0.4197013229788656,-0.6550718462229593,-0.7209192778053926,-0.4639352116526061
ocon,-0.44540149005817303,0.8481410828739361,-0.5454694250741142,-0.9594045990612621,,-0.7024815459419471,-0.36021044909439964,-0.5451096724556173,-0.3778490574193887,-0.3308428098210007,-0.5326721001021313,-0.7899243036308758,-0.32828049836114953,-0.12088203893786097,-0.40169809388003425,-0.13851615832107705,-0.6131031953540571,-0.3305064473448624,-0.5208017775816635,-0.6550718462229593,-0.5729166701247048,-0.4944776184902395
perez,-0.028973176372300822,-0.8944044922744983,-0.4980797874671329,0.6922607956758239,,-0.34301094091225853,0.48985562750507694,0.9284842016296447,-0.1399107019399617,-0.5309966696779406,0.21845579391781983,0.1562273849213537,-0.5961420697888151,0.541351171320379,-0.40169809388003425,0.9602469215310647,0.0704602190081324,-0.03985264927999107,0.18712518551153767,0.34756590627649775,0.32404258753779414,-0.05705789958482867
ricciardo,0.5476724368327835,0.6423270337454774,0.5394455646192309,0.729833594068368,,0.7789000985970466,1.3442310850966608,0.3076351443347177,0.43686182989478306,1.1475622508773689,0.14555353818436842,0.32937714696938897,0.4365726213825389,1.0656463276529227,-0.40169809388003425,0.9903912535436801,1.6395940044901949,1.118779886185745,0.5847294779867309,0.18009210518549273,0.3272322497157571,0.5596832433416736
russell,-0.764809367940848,-0.8944044922744983,-0.586893119613411,-0.7954249550242721,,-0.7024815459419471,-0.8485012455132718,-0.9817888761927169,-0.6172995365704004,-0.7878396409517628,-0.7376001893261324,-0.7899243036308758,-0.6352194718295802,-0.7898046126405536,-0.40169809388003425,-0.6477800570563284,-0.7328406614297253,-0.642538172626801,-0.7545879429414628,-0.6550718462229593,-0.8217334433561908,-0.8507709411694822
